Feature,Coefficient,OddsRatio,Layer
(Intercept),-1.3297495865114572,0.2645434982664351,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CCR6+CXCR3+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CCR6+CXCR3-_CD161+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CCR6+CXCR3-_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CCR6-CXCR3+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CCR6-CXCR3-_CCR4+_GP,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CCR6-CXCR3-_CCR4+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CCR6-CXCR3-_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CD45RO+CD27+_CXCR5+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CD45RO+CD27+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CD45RO+CD27-_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CD45RO-CD27+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_CD45RO-CD27-_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_HLA-DR+CD38+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_IFNy_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_IL-17a_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_IL-21_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_IL-22_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_IL-2_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_PD-1_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD4_Proliferating_TNFa_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CCR6+CXCR3+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CCR6+CXCR3-_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CCR6-CXCR3+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CCR6-CXCR3-_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CD107a_P,0.4132763402662831,1.5117627291323543,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CD45RO+CD27+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CD45RO+CD27-_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CD45RO-CD27+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_CD45RO-CD27-_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_HLA-DR+CD38+_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_IFNy_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_IL-17a_P,-0.09837379658911218,0.9063100648185399,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_IL-21_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_IL-22_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_IL-2_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_PD-1_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR-_CD8_Proliferating_TNFa_P,0,1,Flow_Maternal_Entry_GAG
MatFlow_GAG_gdTCR_Proliferating_CCR6+CXCR3+_P,0,1,Flow_Maternal_Entry_GAG
