Analyte,n_pairs,median_12Wks,median_44Wks,median_diff_44minus12,p_value,test,p_adj
CD14,31,14.336232847777167,14.614880432399566,0.2840039935181675,2.6873745730335877e-6,paired_wilcox,9.137073548314199e-5
CD163,18,14.228879611994142,14.248308219805313,-0.02142602009566552,0.6631969581949773,paired_wilcox,0.835136910319601
CD25,18,7.938049240947943,7.855349940160043,-0.11381327006497166,0.06111461900453386,paired_wilcox,0.20778970461541513
CRP,18,14.29338909918463,14.872658215451935,-0.13029330524230254,0.5712886735999279,paired_wilcox,0.8176995513836639
D-Dimer,17,15.757570877354631,15.132876777645036,-0.3321899829834827,0.20120398589876773,paired_wilcox,0.4291800426258431
GM-CSF,31,0,0,0,0.888840680809476,paired_wilcox,0.9418715202206588
ICAM-1,18,11.109743271297774,11.094126612280299,-0.016761610785011705,0.4330950333629029,paired_wilcox,0.6693286879244863
IFN-a2,31,0,0,0,0.8767013015603727,paired_wilcox,0.9418715202206588
IFN-g,31,1.9050881545350582,1.724550719534605,-0.023530497410193973,0.7613210682843542,paired_wilcox,0.92446129720243
IL-10,31,1.5706970841176697,1.3762440252663892,-0.017857617400006465,0.5899524148415707,paired_wilcox,0.8176995513836639
IL-13,31,3.630720539940404,0,-0.08501849376777759,0.017648315543293665,paired_wilcox,0.08572038978171208
IL-17A,31,1.0473189942805592,1.3787660946990992,0.1664301894573199,0.21459002131292154,paired_wilcox,0.4291800426258431
IL-18,18,6.5812648817301564,6.67173778320924,-0.00990628154329709,0.6012496701350469,paired_wilcox,0.8176995513836639
IL-1RA,31,6.082972051352103,6.045052706277911,0.0048112467843868245,0.914169416684757,paired_wilcox,0.9418715202206588
IL-1a,31,4.5827200571505,4.365516082546892,-0.21720397460360719,0.13383843293277384,paired_wilcox,0.3648915395076149
IL-1b,31,0.29266961396282,0.37156355643248307,0,0.9521058586621113,paired_wilcox,0.9521058586621113
IL-2,31,0.6097655716208943,0.5822156198526637,0,0.8751322620244724,paired_wilcox,0.9418715202206588
IL-22,31,0,0.9707789171582247,0,0.00208205756074063,paired_wilcox,0.023596652355060477
IL-27,18,5.87438597959152,6.182270118464602,0.27031016391346796,0.29592659954119366,paired_wilcox,0.5030752192200292
IL-4,31,0,0,0,0.3589514358526263,paired_wilcox,0.5811594675709187
IL-5,31,0.4054651081081644,0.3435897043900769,-0.17220342662837002,0.13951735334114687,paired_wilcox,0.3648915395076149
IL-6,31,0.7747271675523681,0.6830968447064438,-0.3147107448397002,0.1794782167623955,paired_wilcox,0.4291800426258431
IL-8,31,2.511223958105374,2.9210087273580543,0.40224449340812196,0.2944473719984317,paired_wilcox,0.5030752192200292
IP-10,31,5.583195511667084,5.289982729757979,-0.20173233540702018,0.2133595157277535,paired_wilcox,0.4291800426258431
LBP,31,16.125997350144416,16.208758594523015,0.2121412434057568,0.09987351198833942,paired_wilcox,0.3086999461457764
MCP-1,31,5.41565585896527,5.1521927250659,-0.3004541960650986,0.01726663894745584,paired_wilcox,0.08572038978171208
MMP-9,18,11.98690084188128,12.35442708730579,0.41774743682448356,0.03284544736014621,paired_wilcox,0.13959315128062139
Neopterin,31,2.829913788859051,2.7486801771881058,-0.0416897314501834,0.7913535550081965,paired_wilcox,0.9277938231130579
TNF-RI,18,7.681912668422805,7.399299129380907,-0.27981003326902965,9.335364168391531e-4,paired_wilcox,0.015870119086265604
TNF-RII,16,8.584653425122873,8.456185978730106,-0.1487663510519317,0.0048304562323762965,paired_wilcox,0.04105887797519852
TNFa,31,2.725235025856311,2.9349201341572337,0.19756317276257196,0.26819390773673774,paired_wilcox,0.5030752192200292
TNFb,31,2.8678989020441064,2.766319109226186,-0.1233755004242485,0.6451438742963288,paired_wilcox,0.835136910319601
VCAM-1,18,14.308012678119717,13.920802846565682,-0.30324603369358094,0.00897456988845386,paired_wilcox,0.061027075241486255
iFABP,18,10.05137788417775,9.820061010103638,-0.37826999901256997,0.040671173027986125,paired_wilcox,0.1536466536612809
