Contrast,Analyte,n_A,n_B,median_A,median_B,median_diff_AminusB,p_value,test,p_adj
MaternalIGRA_Pos_vs_Neg,CD14,16,13,14.457608277869944,14.528458523852137,-0.07085024598219292,0.14181321192727894,wilcox_unpaired,0.5357388006141649
MaternalIGRA_Pos_vs_Neg,CD163,9,7,13.943979929382678,14.326680472103451,-0.38270054272077303,0.7508235188990009,wilcox_unpaired,0.9298080802094446
MaternalIGRA_Pos_vs_Neg,CD25,9,7,7.882136888000997,7.8899510067883,-0.007814118787302426,0.8323391769047832,wilcox_unpaired,0.9298080802094446
MaternalIGRA_Pos_vs_Neg,CRP,9,7,14.470626664698027,15.497475359100244,-1.0268486944022168,0.34076184771409296,wilcox_unpaired,0.8719415800095669
MaternalIGRA_Pos_vs_Neg,D-Dimer,8,7,15.441227242132204,15.720828174474558,-0.2796009323423547,0.32527097997421256,wilcox_unpaired,0.8719415800095669
MaternalIGRA_Pos_vs_Neg,GM-CSF,16,13,0.06171501948288145,0,0.06171501948288145,0.364091622912405,wilcox_unpaired,0.8719415800095669
MaternalIGRA_Pos_vs_Neg,ICAM-1,9,7,11.24428961558351,11.119234110465758,0.12505550511775176,0.8323391769047832,wilcox_unpaired,0.9298080802094446
MaternalIGRA_Pos_vs_Neg,IFN-a2,16,13,0.36639188550359963,0.6956409513154649,-0.32924906581186525,0.6293355006318582,wilcox_unpaired,0.9298080802094446
MaternalIGRA_Pos_vs_Neg,IFN-g,16,13,1.863577380176309,1.9604953377052032,-0.09691795752889432,0.614044702872774,wilcox_unpaired,0.9298080802094446
MaternalIGRA_Pos_vs_Neg,IL-10,16,13,1.5079009377049093,1.5759704172453466,-0.0680694795404373,0.46932800472759645,wilcox_unpaired,0.8719415800095669
MaternalIGRA_Pos_vs_Neg,IL-13,16,13,1.9186088523148075,1.854341040705058,0.06426781160974948,0.42646790399780193,wilcox_unpaired,0.8719415800095669
MaternalIGRA_Pos_vs_Neg,IL-17A,16,13,1.170422560253812,1.3182627779753795,-0.1478402177215674,0.13029868963439,wilcox_unpaired,0.5357388006141649
MaternalIGRA_Pos_vs_Neg,IL-18,9,7,6.624353822454485,6.5340627661448725,0.09029105630961265,0.45871855872502226,wilcox_unpaired,0.8719415800095669
