Readout,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n_pairs,median_12w,median_44w,median_diff_pp,p_value,effect_rbc,p_adj
CCR6- CXCR3- / CCR4+,BCG,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,34,0.8200000000000001,1.54,0.32000000000000006,0.05822635189491056,0.707563025210084,0.2911317594745528
CCR6+ CXCR3- / CD161+,BCG,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,34,46.080440486964946,55.30998950333766,10.251660033353556,0.01748176011558063,0.7344537815126051,0.18308505523843172
CCR6- CXCR3- / CCR4+,BCG,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,34,2.2,4.275,0.825,0.09303985221857396,0.6873949579831933,0.38766605091072487
CD45RO+ CD27+ / CXCR5+,BCG,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,34,1.03,1.9121681227359897,0.355,0.2120143569340738,0.6235294117647059,0.6101222749625002
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,33.32731717666903,23.76298500609238,-5.665119086687563,1.0561387682134339e-4,0.1630252100840336,0.010561387682134339
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,49,46.55,-5.3999999999999995,0.07263233882542876,0.32268907563025206,0.33014699466103986
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,58.56199116729174,57.19929588109867,-4.192874959701335,0.36487482709088603,0.41008403361344536,0.7162991641245802
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,9.4,13.95,3.0600000000000005,0.050278524132073815,0.6932773109243697,0.28164766889808923
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,4.612110955433569,8.130176925104614,2.7066520111386105,7.571189437194855e-4,0.8319327731092436,0.03785594718597427
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,53.78981048137523,58.82424810839134,2.353980281217357,0.06995057228089224,0.6789915966386555,0.33014699466103986
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,18.44184628730785,22.214495284754395,2.164155513040825,0.6200362738172288,0.5495798319327732,0.8269756849883152
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,4.220000000000001,6.22,1.88,0.007358381801725005,0.7815126050420168,0.12263969669541676
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,11.522975143305624,14.899731242530084,1.841085250380639,0.04936088146812933,0.7142857142857143,0.28164766889808923
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,30.14970856225441,29.309260727476655,1.04574255139606,0.972723224349644,0.4957983193277311,0.972723224349644
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,10.538577467956278,11.314808079273678,-0.6251421757788478,0.42166487591838375,0.4201680672268907,0.7397629402076907
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,31,7.131293709135552,6.899037674707867,0.5233487534721961,0.22813091907276506,0.625,0.6101222749625002
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,11.346766289140273,12.39255912480331,-0.5110665024138528,0.7613160035988378,0.4991596638655462,0.8976087986558364
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,1.6749999999999998,1.2149999999999999,-0.26,0.36687448979420745,0.44285714285714284,0.7162991641245802
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,94.61479519325206,94.41081576155135,-0.19391886691020233,0.6690786291204156,0.4571428571428572,0.8363482864005195
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,34,1.7999999999999998,1.578266076053906,0.14,0.8241156169611813,0.522689075630252,0.9102701530392637
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,30.72337640349792,26.11693439720637,-6.161039997460082,0.047345567962307135,0.30420168067226894,0.28164766889808923
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,47.75,45.900000000000006,-3.1000000000000014,0.5494501811932397,0.4714285714285714,0.8080149723429997
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,16.54146745991892,18.20881736427788,2.6311400308124617,0.03400875453122036,0.7092436974789915,0.26160580408631046
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,55,44.55,-1.6500000000000021,0.5214375555618106,0.4361344537815126,0.7942393729622519
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,8.67,6.655,-1.5950000000000006,0.5843110774863107,0.4453781512605042,0.8120838663857176
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,28.4,27.7,-1.4499999999999993,0.3939645402685191,0.5092436974789916,0.7162991641245802
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,15.45,13.350000000000001,-1.0500000000000003,0.190904753119469,0.37058823529411766,0.587080249114754
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,83.3,85.4,1.0499999999999972,0.6566743391735542,0.5445378151260505,0.8312333407260181
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,31.66155383564705,26.686016673237727,-0.7676829625551278,0.2814443249543031,0.3932773109243698,0.6320300419454328
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,34.83125450594746,38.0536,-0.696357028730322,0.8374485407961226,0.5210084033613445,0.9102701530392637
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,4.76,4.16,0.5250000000000001,0.30373153933681174,0.6495798319327731,0.6327740402850245
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,3.7923665624546388,6.253154666877245,0.45999999999999985,0.23828800367149988,0.6403361344537815,0.6101222749625002
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,68.13184684204344,76.2852130355009,0.3806412805577679,0.5961174990929474,0.5529411764705883,0.8165993138259553
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,4.970000000000001,5.215,0.34499999999999964,0.8884687502667447,0.5697478991596638,0.9327217785058057
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,31,5.807824246680793,5.031991643198796,-0.25142524825279366,0.5241979861550863,0.4334677419354839,0.7942393729622519
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,9.585,7.640000000000001,0.23999999999999932,0.7453023798769101,0.4672268907563025,0.8976087986558364
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,34,1.555,0.925,0,0.5765019575238244,0.534453781512605,0.8120838663857176
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,52.88177124743012,58.07140863203793,6.199499558104829,0.029911719004633124,0.7142857142857143,0.24926432503860937
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,22.246398965277173,34.085633323146716,5.145391872486494,0.018308505523843173,0.7327731092436975,0.18308505523843172
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,71.0266962602517,77.40000291384584,4.163245634597388,0.0020883399950272896,0.8033613445378152,0.05220849987568224
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,55.1672552274713,56.66977624571115,3.944282270255009,0.13245438925586034,0.6487394957983194,0.5070742126403049
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,24.5,20.5,-3.1499999999999986,0.010849151807020653,0.24873949579831933,0.1549878829574379
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,18.450000000000003,16.299999999999997,-2.1400000000000006,0.18235054528165,0.3680672268907563,0.587080249114754
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,49.52654510637109,51.5308151536002,1.1614203219198913,0.9047401251506316,0.5126050420168067,0.9327217785058057
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,13.826670429116849,15.393056841307201,0.9784838193555578,0.13691003741288232,0.6470588235294117,0.5070742126403049
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,18.65,20.4,0.9500000000000028,0.39264761718035823,0.5848739495798319,0.7162991641245802
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,11.45849506647019,9.744472983997678,-0.6870690029754254,0.6443639568241775,0.45378151260504207,0.8293119733677183
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,3.478045068895171,5.0273897457494146,0.4420445815048428,0.05773387556482615,0.6873949579831933,0.2911317594745528
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,31,5.499715298355704,5.8005363363714615,-0.3378728118149805,0.6311453714442486,0.4495967741935484,0.8293119733677183
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,34,5.005,7.84,0.13999999999999999,0.40217418970354246,0.5831932773109243,0.718168195899183
CCR6- CXCR3- / CCR4+,DosR,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,32,2.19,2.2350000000000003,-0.30499999999999994,0.7153881207947328,0.46212121212121215,0.8831952108576948
CCR6+ CXCR3- / CD161+,DosR,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,32,48.73123492888915,54.8347265708065,9.608842756401195,0.05069658040165607,0.6988636363636364,0.28164766889808923
CCR6- CXCR3- / CCR4+,DosR,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,32,5.720000000000001,5.62,-0.655,0.6468633392268203,0.45265151515151514,0.8293119733677183
CD45RO+ CD27+ / CXCR5+,DosR,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,32,1.6400000000000001,2.6806602258340195,-0.020625811553569517,0.9032608719714033,0.5132575757575757,0.9327217785058057
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,15.8,20,4.449999999999999,0.25015013273462505,0.6174242424242424,0.6101222749625002
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,10.985215795279021,15.25774851959179,2.8529301515765875,0.1874115210552917,0.634469696969697,0.587080249114754
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,57.41094471035858,52.41223846521282,-2.744185250373853,0.24253107645163252,0.38068181818181823,0.6101222749625002
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,29.69594297747589,25.543003933691487,2.5155280034799006,0.8884687502667447,0.5151515151515151,0.9327217785058057
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,12.95,20.15,2.1499999999999986,0.3621577561521743,0.6193181818181819,0.7162991641245802
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,16.712859068611294,17.19282288385449,1.9309673635701001,0.4624184031037902,0.6022727272727273,0.7580629559078528
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,3.06,3.9000000000000004,1.695,0.13322918838759362,0.6988636363636364,0.5070742126403049
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,10.097312433789458,9.87797541865608,-1.2471872121450454,0.05069658040165607,0.30113636363636365,0.28164766889808923
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,58.170823263314624,63.077682060303694,-0.7363816832782604,0.7719435668440193,0.5303030303030303,0.8976087986558364
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,6.771259555149668,6.6025497546720855,-0.5002218046706596,0.49898934360475866,0.4640151515151515,0.7918912688147283
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,86.10340661875415,89.61552899518284,0.4905144061697655,0.8297378417181475,0.5227272727272727,0.9102701530392637
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,12.044025168092656,11.880840743147004,0.46991979019419494,0.5812096051776323,0.44318181818181823,0.8120838663857176
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,1.43,0.67,-0.3185,0.27400411187561796,0.3882575757575758,0.6320300419454328
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,30.3,38.405361085409076,0.3094570038809108,0.7620995839465056,0.5333333333333333,0.8976087986558364
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,4.32,3.165,-0.05,0.806489870946622,0.5549242424242424,0.9102701530392637
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,32,6.834554953947879,8.821942472050637,-0.02982882674048737,0.27400411187561796,0.3882575757575758,0.6320300419454328
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,30.000000000000004,33.3,-7.140744307335854,0.14740616055936479,0.3448275862068966,0.5264505734263029
CD107a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,7.013991284572967,9.920967069658715,4.3478541520722,0.017120259575990057,0.7424242424242424,0.18308505523843172
