Readout,Time_Point_std,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n_pos,n_neg,median_pos,median_neg,median_diff_pp,p_value,cliffs_delta,p_adj
CCR6- CXCR3- / CCR4+,12wks,BCG,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,18,16,0.8200000000000001,0.575,0.2450000000000001,0.6167848439903907,0.10416666666666667,0.9722542905955216
CCR6+ CXCR3- / CD161+,12wks,BCG,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,18,16,46.25661734852494,42.55723343580894,3.6993839127160015,0.34270192108545056,0.19444444444444445,0.8767680436899846
CCR6- CXCR3- / CCR4+,12wks,BCG,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,18,16,2.2,1.85,0.3500000000000001,0.986234814838515,0.006944444444444444,0.9995623123363329
CD45RO+ CD27+ / CXCR5+,12wks,BCG,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,18,16,0.91,1.5950000000000002,-0.6850000000000002,0.7171188183754387,0.0763888888888889,0.9740140036898293
IFNy,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,40.35,55.05,-14.699999999999996,0.3789494660972779,-0.18055555555555555,0.8881628111654951
CD45RO+ CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,53.67969916510452,67.78319114783099,-14.103491982726467,0.13338334465514512,-0.3055555555555556,0.6895776240988739
CCR6- CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,38.149707231384795,26.653045221295702,11.496662010089093,0.013625630325097844,0.5,0.4541876775032615
CCR6+ CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,9.965184041473393,20.015325278826097,-10.050141237352705,0.013618459734617006,-0.5,0.4541876775032615
CD45RO+ CD27+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,32.13651964141208,26.10844874816086,6.028070893251218,0.16229850132570894,0.2847222222222222,0.7324431883678286
IL-2,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,14.645387372429386,11.650124857411743,2.995262515017643,0.8494909099222699,-0.041666666666666664,0.9740140036898293
TNFa,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,92.30302796096657,95.29268062874343,-2.989652667776852,0.0700755385933413,-0.3680555555555556,0.610768193287416
PD-1,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,4.941591295320784,7.87955116676534,-2.9379598714445567,0.561601381037277,-0.1282051282051282,0.9649828190142322
IL-21,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,10.112317372945242,12.770566716354638,-2.6582493434093966,0.033841803075117353,-0.4305555555555556,0.6011686231920323
CCR6- CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,53.418684221057276,55.30952134781298,-1.8908371267557058,0.3789494660972779,0.18055555555555555,0.8881628111654951
IL-22,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,4.43,2.55,1.88,0.38833111160877387,0.17708333333333334,0.8893078891803982
CCR6+ CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,3.8186003728732443,5.215457164452953,-1.396856791579709,0.6168655926757295,-0.10416666666666667,0.9722542905955216
IL-17a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,9.02,9.93,-0.9100000000000001,0.7958091685190174,-0.05555555555555555,0.9740140036898293
HLA-DR+ CD38+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,18.864483709776103,18.163579163913127,0.7009045458629757,0.9587239784368091,0.013888888888888888,0.991783425969113
CD45RO- CD27+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,1.68,1.92,-0.24,0.9175520687753188,0.024305555555555556,0.991783425969113
CD45RO- CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,1.45,1.635,-0.18500000000000005,0.7171395005923142,-0.0763888888888889,0.9740140036898293
TNFa,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,43.900000000000006,57.55,-13.649999999999991,0.2926021361788976,-0.2152777777777778,0.8679496205308411
CD45RO+ CD27+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,37.42631422792941,24.807841210572857,12.618473017356553,0.04007790821280216,0.4166666666666667,0.6011686231920323
CD45RO+ CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,27.60103485052283,40.18152322895582,-12.580488378432989,0.05124347369049387,-0.3958333333333333,0.6037329858006826
CCR6+ CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,12.65,20.950000000000003,-8.300000000000002,0.12468661770537767,-0.3125,0.6895776240988739
IFNy,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,45.45,52.55,-7.099999999999994,0.39792644246181264,-0.1736111111111111,0.8922191600243559
IL-22,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,7.65,2.04,5.61,0.05120793605689284,0.3958333333333333,0.6037329858006826
IL-2,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,25.1,30.3,-5.199999999999999,0.6537121807875776,-0.09375,0.9740140036898293
HLA-DR+ CD38+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,84.05,79.25,4.799999999999997,0.8225328692566951,-0.04861111111111111,0.9740140036898293
CD107a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,15.420635051349212,19.37349202505977,-3.95285697371056,0.20789684799610966,-0.2569444444444444,0.8206454526162223
CD45RO- CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,0.53,3.33,-2.8,0.3166526333212683,-0.2048611111111111,0.8679496205308411
CCR6+ CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,10.91,8.13,2.7799999999999994,0.43752283921405616,0.1597222222222222,0.9080873029693196
CCR6- CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,69.45206097505074,66.77135951399447,2.680701461056273,0.3789494660972779,0.18055555555555555,0.8881628111654951
CCR6- CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,31.66155383564705,29.04192699865595,2.6196268369911024,0.8225462014338154,0.04861111111111111,0.9740140036898293
IL-17a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,9.955,7.965,1.9900000000000002,0.8766126033208463,0.034722222222222224,0.9740140036898293
PD-1,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,7.060465971591179,5.807824246680793,1.2526417249103856,0.22209466284943882,-0.26495726495726496,0.8310731223265971
IL-21,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,5.145,4.475,0.6699999999999999,0.9312402076557219,-0.020833333333333332,0.991783425969113
CD45RO- CD27+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,3.9969228093668105,3.825742136224634,0.17118067314217633,0.972473726372992,-0.010416666666666666,0.9957068870713228
CCR6- CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,59.08313347920414,43.755450460117274,15.32768301908687,0.011212963803094073,0.5138888888888888,0.4541876775032615
TNFa,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,63.787398400801415,74.31166303788876,-10.524264637087349,0.04007790821280216,-0.4166666666666667,0.6011686231920323
CD107a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,51.377975878361234,58.615804792991625,-7.237828914630391,0.0814357591049888,-0.3541666666666667,0.610768193287416
CCR6+ CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,48.93272357723577,55.15000326173338,-6.217279684497612,0.32543844595354454,-0.2013888888888889,0.8679496205308411
IL-21,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,7.49494603122467,13.38902139677344,-5.894075365548771,0.0028401105898677947,-0.6041666666666666,0.2706523919523609
IL-17a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,16.85,22.45,-5.599999999999998,0.2695110510989393,-0.22569444444444445,0.8679496205308411
HLA-DR+ CD38+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,23.789292161738885,19.98026464380579,3.809027517933096,0.704246771069132,0.0798611111111111,0.9740140036898293
