Readout,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n,k,kw_stat,kw_p,kw_p_adj
CCR6- CXCR3- / CCR4+,BCG,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,21,3,4.801034463372133,0.09067104322220851,0.41214110555549327
CCR6+ CXCR3- / CD161+,BCG,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,21,3,1.2773373812334796,0.5279948808848396,0.8030431038403912
CCR6- CXCR3- / CCR4+,BCG,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,21,3,3.350536908978455,0.18725790250914753,0.5751957676132273
CD45RO+ CD27+ / CXCR5+,BCG,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,21,3,1.7637600494743424,0.41400384211156394,0.7089106885471985
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,16.36363636363636,2.7969294491888826e-4,0.06992323622972206
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,6.636532298869966,0.0362155697352351,0.3015598705273417
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,6.175071681565186,0.04561421672428716,0.3302047291323308
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,6.148310563894967,0.04622866207852631,0.3302047291323308
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,4.638893573958512,0.0983279668723389,0.4238274434152539
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,2.8566930904593164,0.23970493602804194,0.6179504048808382
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,2.1928374655647502,0.3340653211631764,0.6773353180409958
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,17,3,2.128151260504204,0.3450466580907983,0.6773353180409958
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,1.8634689979719155,0.3938699505228614,0.6993204888045936
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,1.1687187271602824,0.5574628784636919,0.8159728820599405
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.9847851953115117,0.6111623778093094,0.8512636672413784
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.7346938775510239,0.6925693242051966,0.8836447769050888
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.6075795549479661,0.7380159977312589,0.9205483444267946
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.28155394389160904,0.8686830307805374,0.9696514431691373
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.16349018946421268,0.9215068257049303,0.9710992725092099
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.14864788890761815,0.9283709045188047,0.9710992725092099
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,10.431663574520726,0.005429915063387599,0.18011817915382627
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,5.225389329285434,0.07333665956347843,0.37907641334623837
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,4.479380268853955,0.10649149731613908,0.4324769107290041
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,3.7661213245628744,0.15212379295270018,0.5139317329483114
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,3.220329454095676,0.19985468989040484,0.5751957676132273
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,2.378366222522061,0.30446988052364193,0.6773353180409958
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,2.2852304723649755,0.3189837122805516,0.6773353180409958
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,2.145387080452025,0.34208585335340147,0.6773353180409958
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,2.1037836622252115,0.3492763518131678,0.6773353180409958
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,1.9106088716478382,0.3846950117813081,0.6993204888045936
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,1.4977230561646024,0.4729046350338423,0.7727199918853632
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,1.2874571316129817,0.5253300402527441,0.8030431038403912
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,0.8480350818013136,0.6544124028252356,0.8702292590761112
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,0.8050823635239226,0.6686188034587768,0.8751555019093936
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,17,3,0.787114845938369,0.6746525759104754,0.8784538748834315
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,0.27548209366391063,0.8713242947207473,0.9696514431691373
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,0.23837634227243143,0.8876407566762702,0.9696514431691373
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,7.116433350199571,0.02848958562657697,0.2967337485407783
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,6.586158430314271,0.03713931320977253,0.3015598705273417
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,6.509023444088385,0.038599663427499736,0.3015598705273417
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,4.805082363523923,0.09048771514341865,0.41214110555549327
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,4.805082363523923,0.09048771514341865,0.41214110555549327
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,4.687693259121829,0.09595781323563264,0.4208676019106695
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,3.827514476865133,0.1475250571816361,0.5114766207496915
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,1.9007140046101085,0.38660298065993304,0.6993204888045936
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,17,3,1.7170868347338981,0.423778901973162,0.720712418321704
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,1.2368583797155281,0.5387901101948689,0.8030431038403912
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,1.0175971214932247,0.6012174713403117,0.8491772194072199
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,0.20127059088098065,0.90426276150756,0.9696514431691373
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,0.0798335863270978,0.9608693867280971,0.9724599833745559
CCR6- CXCR3- / CCR4+,DosR,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,35,3,0.9679945054944881,0.6163148950827579,0.8512636672413784
CCR6+ CXCR3- / CD161+,DosR,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,35,3,3.4874847374847207,0.17486476613427612,0.5629755478110727
CCR6- CXCR3- / CCR4+,DosR,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,35,3,2.2685259014226706,0.3216591126066777,0.6773353180409958
CD45RO+ CD27+ / CXCR5+,DosR,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,35,3,8.119803283516681,0.01725071578197601,0.26001542117791526
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,13.698153235653223,0.001060434427211298,0.11210715154876716
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,4.2255799755799615,0.12090018540892555,0.47976264051160933
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,3.3846935146669113,0.18408700914908185,0.5751957676132273
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,2.9384462759462764,0.23010417496483795,0.6179504048808382
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,2.9064102564102683,0.2338196638134552,0.6179504048808382
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,2.508908045977009,0.2852315355811082,0.6727158858045005
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,2.294490231990224,0.31751026959381584,0.6773353180409958
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,2.0907690152682497,0.3515566171834605,0.6773353180409958
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.9079975579975752,0.3851976194942285,0.6993204888045936
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.8218406593406797,0.40215393946530087,0.6993204888045936
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.8047466422466556,0.4056058835066643,0.6993204888045936
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.476373626373615,0.47797979694621284,0.775941228808787
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.3757764421952858,0.5026364060311953,0.7886211896509159
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,0.8623878923766874,0.6497328853375152,0.8686268520555016
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,0.7659188034187991,0.6818405802861077,0.878660541605809
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,0.08169195516929897,0.9599769765342692,0.9724599833745559
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,6.213553113553104,0.0447449559517355,0.3302047291323308
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,3.802909757166297,0.1493511732589099,0.5114766207496915
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,3.0394230769230717,0.21877498601999493,0.6077082944999859
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.8603021978021843,0.23927276566026076,0.6179504048808382
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.1850129839343855,0.3353748250245639,0.6773353180409958
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.148059616283676,0.34162904028340624,0.6773353180409958
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.142515723976387,0.34257733128619455,0.6773353180409958
CD107a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.0965659340659215,0.35053911990178027,0.6773353180409958
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.9640873015872984,0.3745448772377485,0.6993204888045936
