Readout,Time_Point_std,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n_pos,n_neg,median_pos,median_neg,median_diff_pp,p_value,cliffs_delta,p_adj,note_imbalance
CCR6- CXCR3- / CCR4+,12wks,BCG,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,10,25,0.385,0.85,-0.46499999999999997,0.18250829410155087,-0.296,0.6019787384579675,NA
CCR6+ CXCR3- / CD161+,12wks,BCG,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,10,25,46.601335672937225,41.35200974421437,5.249325928722854,0.25005435341731036,0.256,0.6548632418210314,NA
CCR6- CXCR3- / CCR4+,12wks,BCG,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,10,25,1.025,2.33,-1.3050000000000002,0.08610393948079843,-0.38,0.43412342075824883,NA
CD45RO+ CD27+ / CXCR5+,12wks,BCG,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,10,25,2.823406391833982,0.66,2.163406391833982,0.08281589122270992,0.384,0.43412342075824883,NA
CD45RO+ CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,50.87917839011782,66.67065497679216,-15.791476586674342,0.3517871764644995,-0.208,0.7278355375127575,NA
IFNy,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,39.3,53.9,-14.600000000000001,0.13918016711962208,-0.328,0.527477527845537,NA
IL-2,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,20.63573893376538,10.29961016310522,10.336128770660162,0.13918016711962208,0.328,0.527477527845537,NA
HLA-DR+ CD38+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,25.903689943617096,17.229182889135476,8.67450705448162,0.13918016711962208,0.328,0.527477527845537,NA
CCR6- CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,60.34987011329067,51.925388141895866,8.424481971394805,0.18260021733225013,0.296,0.6019787384579675,NA
CD45RO+ CD27+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,37.342302488352715,29.088602241488687,8.253700246864028,0.3908379798141651,0.192,0.7468241652499971,NA
CCR6- CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,39.25912607569451,32.906295101829905,6.352830973864606,0.14920758984664878,0.32,0.532884249452317,NA
IL-17a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,13.25,8.56,4.6899999999999995,0.25005435341731036,0.256,0.6548632418210314,NA
TNFa,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,96.51347231993206,93.91326463756029,2.6002076823717744,0.11219695322000828,0.352,0.4878128400869925,NA
PD-1,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,8.262982186475073,6.0891021442691695,2.1738800422059033,0.3603202206167057,0.20909090909090908,0.7361313268581523,NA
CCR6+ CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,12.05156547098111,10.4,1.6515654709811098,0.3152685608461886,0.224,0.712628023987616,NA
CCR6+ CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,5.725176601013528,4.381377125708571,1.343799475304957,0.19488016624660756,0.288,0.6219579773827901,NA
CD45RO- CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,0.41500000000000004,1.73,-1.315,0.020411733926352003,-0.512,0.3199420834927047,NA
CD45RO- CD27+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,0.69,1.95,-1.26,0.5347340485921348,-0.14,0.8311928216458053,NA
IL-21,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,12.59848781943871,11.521808880951662,1.0766789384870474,0.7014189107617657,0.088,0.922919619423376,NA
IL-22,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,3.9850000000000003,4.41,-0.4249999999999998,0.5227875407001529,-0.144,0.8219669314168175,NA
IL-2,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,44,22,22,0.06514560834738749,0.408,0.39885066335135194,NA
TNFa,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,68.65,47.2,21.450000000000003,0.1081058502079042,0.356,0.4878128400869925,NA
IL-17a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,22.65,7.32,15.329999999999998,0.04658447780949821,0.44,0.35603140510530334,NA
CD107a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,4.930693589025755,20.183739039532355,-15.253045450506601,0.0015856513033588996,-0.696,0.11892384775191747,NA
IL-21,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,18.6,3.86,14.740000000000002,6.375999942691444e-4,0.752,0.09563999914037166,NA
CCR6+ CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,19.3,6.12,13.18,0.0014880020100034106,0.7,0.11892384775191747,NA
HLA-DR+ CD38+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,87.05,77.5,9.549999999999997,0.5109796143289606,0.148,0.8219669314168175,NA
IL-22,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,8.63,3.39,5.24,0.29795972621577166,0.232,0.7038418729506416,NA
CCR6- CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,29.013587939612115,32.64232343577416,-3.6287354961620437,0.3908379798141651,-0.192,0.7468241652499971,NA
PD-1,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,9.253779876430913,5.719515014690091,3.534264861740822,0.4519717081823847,0.17272727272727273,0.7971552097700063,NA
CCR6+ CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,13.55,16.9,-3.349999999999998,0.5714073926759137,-0.128,0.8392691157439646,NA
CD45RO- CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,0.16999999999999998,3.3900000000000006,-3.2200000000000006,0.00893646596595937,-0.576,0.2458711850403466,NA
