"gene","lfc_bcg","padj_bcg","lfc_med","padj_med","sig_bcg","sig_media","opp_sign","bcg_specific","set","timepoint"
"VPS50",-0.249062213588569,0.99997837369161,-0.102057911117347,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ARHGAP33",1.09766833831741,0.99997837369161,2.73179405903898,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"NDUFAB1",-0.513680948942994,0.99997837369161,-0.3583361319919,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ABCB5",-1.16414108249524,0.99997837369161,0.769051565440168,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"SLC25A13",0.00937157078634192,0.99997837369161,0.0531022294088228,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ST7",-0.138208113281902,0.99997837369161,0.0740304696060937,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"CDC27",-0.0897531205295703,0.99997837369161,-0.0900777134318477,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"HCCS",0.500788225844881,0.99997837369161,-0.56881750890705,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"DVL2",-0.258162580604148,0.99997837369161,-0.521363954479823,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"UPF1",0.242938914066194,0.99997837369161,-0.0592599958110462,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"SKAP2",-0.508425982678015,0.99997837369161,0.134885045441046,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"SLC25A5",-0.369845357671024,0.99997837369161,-0.343542717617608,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"MCUB",-0.206974504977914,0.99997837369161,-0.374302627635307,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"POLR2J",-0.276356361351176,0.99997837369161,-1.04012929392285,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"DHX33",-0.0885960545326116,0.99997837369161,0.428239300341801,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"THSD7A",2.20831081405919,0.99997837369161,1.21893419531929,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"LIG3",-0.0330209299123268,0.99997837369161,-0.00486116178459497,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"RPAP3",0.263601379869942,0.99997837369161,-0.0193491082622649,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"ACSM3",-0.425373026125642,0.99997837369161,0.985973930328636,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"CIAPIN1",0.439608148340019,0.99997837369161,-0.315035372327684,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"SPPL2B",0.533461279664846,0.99997837369161,-0.18445545635126,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"ATOSB",0.793582944545258,0.99997837369161,-0.318954272146816,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"MSL3",0.187288077062781,0.99997837369161,0.0205122821380174,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"CREBBP",0.10693631679677,0.99997837369161,-0.0532810191539764,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"TSPOAP1",-0.0699218787681059,0.99997837369161,0.339155488777587,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"GCFC2",0.0179738428354226,0.99997837369161,0.295641596184488,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"WDR54",-0.233019704793217,0.99997837369161,0.326574708712216,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"CROT",-0.417361208797891,0.99997837369161,-0.622156214429917,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"KMT2E",0.186223934668168,0.99997837369161,-0.0370319681447888,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"RHBDD2",0.341834749714012,0.99997837369161,0.151251024945025,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"IBTK",0.463370529392651,0.99997837369161,0.00442511890169251,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ZNF195",0.566287125054222,0.99997837369161,0.00342246358356423,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"MYCBP2",0.0224811628883395,0.99997837369161,0.11803695151839,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"FBXL3",0.0782020156417928,0.99997837369161,-0.247725501492233,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"ITGAL",-0.0276787519892693,0.99997837369161,0.123994156969014,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"PDK2",1.00706662199747,0.99997837369161,0.588335410317923,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ITGA3",0.310387091064388,0.99997837369161,-0.648923473090018,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"ZFX",-0.349690486293711,0.99997837369161,-0.310218754228546,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"LAMP2",0.13401310582074,0.99997837369161,0.404770648102765,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"GDE1",-0.328798905179831,0.99997837369161,0.35162929187755,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"REX1BD",-0.59178820162914,0.99997837369161,-0.193367839560825,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"OSBPL7",-0.0167864957810168,0.99997837369161,0.996121600109138,0.999876724533864,FALSE,FALSE,TRUE,FALSE,"MAIT","week12"
"MAP3K14",0.344824847410718,0.99997837369161,0.0245598394944015,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"AP2B1",0.0480740079950106,0.99997837369161,0.315785373125732,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
"ZNF263",0.398375118292054,0.99997837369161,0.0186497037135552,0.999876724533864,FALSE,FALSE,FALSE,FALSE,"MAIT","week12"
