"gene","lfc_bcg","padj_bcg","lfc_med","padj_med","sig_bcg","sig_media","opp_sign","bcg_specific","set","timepoint"
"NIPAL3",0.0557709818900518,0.999861056175899,0.0432454217697425,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"LAS1L",-0.0201787192239303,0.999861056175899,-0.146594959160756,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ENPP4",0.130390364179326,0.999861056175899,-0.0174891986711959,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"ANKIB1",0.0512511513763767,0.999861056175899,0.104644657750874,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"CYP51A1",-0.332513698884985,0.999861056175899,-0.144399375858887,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"KRIT1",0.119486962894701,0.999861056175899,0.138391572198814,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"RAD52",0.221351086331541,0.999861056175899,-0.0127668033810904,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"MYH16",-0.0450711714644893,0.999861056175899,0.497634291506372,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"BAD",-0.145684999135111,0.999861056175899,-0.222749323663229,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"LAP3",0.451434058397304,0.999861056175899,-0.0435079517928643,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"CD99",-0.104565858793285,0.999861056175899,0.0251597815692328,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"HS3ST1",0.453433398752336,0.999861056175899,-0.821536833478921,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"AOC1",2.29666078578161,0.999861056175899,NA,NA,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"HECW1",-0.547341641303643,0.999861056175899,-0.187241044503994,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"MAD1L1",-0.129543261922721,0.999861056175899,-0.233555301443247,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"LASP1",0.0381063896874018,0.999861056175899,-0.162238398577086,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"SNX11",0.207373410923976,0.999861056175899,0.0495817165077128,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"M6PR",-0.0303109755637562,0.999861056175899,-0.0855007040795495,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"KLHL13",-0.389521254781181,0.999861056175899,-0.296003246573721,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ICA1",-0.478507933930509,0.999861056175899,-0.90686721416611,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ALS2",0.154568966424386,0.999861056175899,0.058678391983975,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"CASP10",0.0783897852897033,0.999861056175899,0.172205021053777,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"CFLAR",-0.15891726641682,0.999861056175899,-0.133746480368511,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"TFPI",0.343918105522581,0.999861056175899,0.473279064054368,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"NDUFAF7",0.0391859460782934,0.999861056175899,0.0888930596786567,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"RBM5",0.0309943055629217,0.999861056175899,0.0528797019226001,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"MTMR7",-0.802826013703223,0.999861056175899,-0.415237685061916,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"SLC7A2",-1.33724993444671,0.999861056175899,NA,NA,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ARF5",-0.290707676311806,0.999861056175899,-0.535461039042803,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"SARM1",-0.109215804416207,0.999861056175899,0.0457718482581881,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"POLDIP2",0.048896902216294,0.999861056175899,-0.261886651481432,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"PLXND1",-0.10035781970672,0.999861056175899,-0.480843251409989,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"AK2",-0.104148293306913,0.999861056175899,-0.162779724482375,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"CD38",0.335400991652816,0.999861056175899,0.348745990643866,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"FKBP4",-0.149435584887075,0.999861056175899,-0.394741705938058,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"KDM1A",-0.0208749362397942,0.999861056175899,-0.0708994909392187,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"RBM6",0.0174164994158132,0.999861056175899,-0.00462937632590067,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"CAMKK1",-0.193292019598581,0.999861056175899,-0.724333053172685,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"RECQL",0.106629727904381,0.999861056175899,0.132089494302721,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"VPS50",-0.028365982437528,0.999861056175899,0.0737145151834459,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"ARHGAP33",0.271371471012998,0.999861056175899,0.10302004555986,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"NDUFAB1",-0.0355595490566242,0.999861056175899,-0.243649776258995,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ZMYND10",-0.3230285525429,0.999861056175899,-1.18037812469809,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ABCB5",1.57345390045792,0.999861056175899,0.0244904450309186,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"SLC25A13",0.0742498007199554,0.999861056175899,-0.129582381153331,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"ST7",0.273764950323619,0.999861056175899,-0.107743623233153,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"CDC27",0.0830718253936874,0.999861056175899,-0.0325479620319687,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"SLC4A1",0.187471752828581,0.999861056175899,0.304042607592797,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"CALCR",0.00457452006110239,0.999861056175899,-0.396096978774042,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"HCCS",0.148534626424971,0.999861056175899,-0.316797979234208,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"DVL2",-0.114622337903976,0.999861056175899,-0.242282339812629,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"UPF1",-0.0372137775475463,0.999861056175899,-0.120413428271497,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"SKAP2",-0.558614660218222,0.999861056175899,-0.136261907895918,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"SLC25A5",-0.515767501470528,0.999861056175899,-0.740638260787698,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"MCUB",-0.0724555148941468,0.999861056175899,-0.019013091610723,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"POLR2J",0.0253110625507097,0.999861056175899,-0.0244308511395715,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"DHX33",0.158348189085237,0.999861056175899,-0.187267789217649,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"MEOX1",0.351628155842681,0.999861056175899,2.07082274514685,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"THSD7A",-0.116613465219373,0.999861056175899,0.0787932495385448,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"LIG3",-0.0562456594205506,0.999861056175899,-0.107410433197229,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"RPAP3",-0.100096427505307,0.999861056175899,0.184639096270911,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"ACSM3",-0.353925944650512,0.999861056175899,-0.203274413548478,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"REXO5",-1.01251385097817,0.999861056175899,1.90954279813256,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"CIAPIN1",-0.00401327194752902,0.999861056175899,0.0810506369225676,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"SPPL2B",0.0837977716942369,0.999861056175899,-0.0083319380813162,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"ATOSB",-0.286419517122062,0.999861056175899,-0.0345444522967398,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"COPZ2",0.533324992408472,0.999861056175899,NA,NA,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"PRKAR2B",0.422360349543473,0.999861056175899,0.0839903157429822,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"MSL3",-0.0120293552463518,0.999861056175899,-0.178988884337669,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"CREBBP",-0.138684406049683,0.999861056175899,-0.128105375937297,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"TSPOAP1",-0.258726752521226,0.999861056175899,-0.426396787663179,0.919971051779361,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"GCFC2",0.0309246705633148,0.999861056175899,0.0710047211619716,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"WDR54",-0.178974427296925,0.999861056175899,0.277854418762203,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"CROT",0.00923073316878734,0.999861056175899,0.174994796798339,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"ABCB4",-0.0170638772016151,0.999861056175899,0.617577606370783,0.999913713198787,FALSE,FALSE,TRUE,FALSE,"CD8_Naive_T","week44"
"KMT2E",0.108780275327445,0.999861056175899,0.0665325446649837,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"RHBDD2",0.166826505152632,0.999861056175899,0.386337813366268,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
"SOX8",-0.783780908502198,0.999861056175899,-1.18633745973642,0.999913713198787,FALSE,FALSE,FALSE,FALSE,"CD8_Naive_T","week44"
