"gene","lfc_bcg","padj_bcg","lfc_med","padj_med","sig_bcg","sig_media","opp_sign","bcg_specific","set","timepoint"
"KLF3-AS1",-0.905898426601832,0.00127072574172038,-1.09974574756552,0.0765314557222862,TRUE,FALSE,FALSE,TRUE,"CD4_Naive_T","week12"
"CACNG6",-4.46378685646224,0.0373503351011971,NA,NA,TRUE,FALSE,FALSE,TRUE,"CD4_Naive_T","week12"
"GFI1",1.43893141381617,0.0373503351011971,1.14221689434287,0.397056587451489,TRUE,FALSE,FALSE,TRUE,"CD4_Naive_T","week12"
"LINC01801",-1.05631580593312,0.0373503351011971,-0.882918885772454,0.225235732492573,TRUE,FALSE,FALSE,TRUE,"CD4_Naive_T","week12"
"NBPF26",-1.7384043129643,0.0373503351011971,-1.46379175861489,0.120981431780195,TRUE,FALSE,FALSE,TRUE,"CD4_Naive_T","week12"
"ZC3H12D",0.782755156285066,0.00152754134553363,1.05878449968678,0.00021180666466399,TRUE,TRUE,FALSE,FALSE,"CD4_Naive_T","week12"
"DPY19L1P1",-2.16190433169546,0.00184861673727375,-2.16338449319931,0.00322067598177587,TRUE,TRUE,FALSE,FALSE,"CD4_Naive_T","week12"
"TEKT4P2.1",-2.87598652459844,0.0373503351011971,-2.57176267785229,0.0169308959757079,TRUE,TRUE,FALSE,FALSE,"CD4_Naive_T","week12"
"ST7",0.77332177375667,0.0514013617216686,0.794673309640094,0.0997893580352067,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"ENSG00000232413",-4.07246819122742,0.0514013617216686,0.48804503436126,0.999769699391697,FALSE,FALSE,TRUE,FALSE,"CD4_Naive_T","week12"
"MTCO1P12",3.88020845251382,0.0514013617216686,2.86346255036694,0.576673233364737,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"KDM2B-DT",-0.662203093855699,0.0514013617216686,-0.622023665293216,0.394583118621368,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"CRYZ",1.08244737542907,0.059018588966613,0.840271202013602,0.362738637889419,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"LITAF",-0.81040706358158,0.059018588966613,-0.714710039947149,0.0264314777513547,FALSE,TRUE,FALSE,FALSE,"CD4_Naive_T","week12"
"ENSG00000283321",1.499588665878,0.059018588966613,1.67220903617323,0.204407124830125,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"KCNH3",-2.0698359265155,0.0644017565831229,-0.492515114585092,0.999769699391697,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"PCBP3",1.00623362344579,0.066732909225242,1.22350476553568,9.2240803238342e-05,FALSE,TRUE,FALSE,FALSE,"CD4_Naive_T","week12"
"ZBTB18",-0.582967202316717,0.0687647528756607,-0.32611454241591,0.717983252418351,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"MRC1",-2.46564027862304,0.0687647528756607,0.668743163213651,NA,FALSE,FALSE,TRUE,FALSE,"CD4_Naive_T","week12"
"MAFIP",-1.75651645969867,0.0687647528756607,-1.7795263746814,0.09707793007901,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"SPATS2L",1.26611498989477,0.0701558881807115,1.27194094906654,0.0348123557396551,FALSE,TRUE,FALSE,FALSE,"CD4_Naive_T","week12"
"ARHGAP31",1.51576642804961,0.0722670556105169,1.58955324417524,0.271416167344684,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"IL1R1",3.56205996467616,0.0909738915489919,1.3747404552005,NA,FALSE,FALSE,FALSE,FALSE,"CD4_Naive_T","week12"
"VSNL1",-3.58005961368543,0.0981760057957016,0.0446746325301978,NA,FALSE,FALSE,TRUE,FALSE,"CD4_Naive_T","week12"
