Feature,Coefficient,OddsRatio,Layer
(Intercept),-1.5686159179138452,0.20833333333333334,Plasma_Infant_44wk
Inf44Plasma_CD14,0,1,Plasma_Infant_44wk
Inf44Plasma_CD163,0,1,Plasma_Infant_44wk
Inf44Plasma_CD25,0,1,Plasma_Infant_44wk
Inf44Plasma_CRP,0,1,Plasma_Infant_44wk
Inf44Plasma_D-Dimer,0,1,Plasma_Infant_44wk
Inf44Plasma_GM-CSF,0,1,Plasma_Infant_44wk
Inf44Plasma_ICAM-1,0,1,Plasma_Infant_44wk
Inf44Plasma_iFABP,0,1,Plasma_Infant_44wk
Inf44Plasma_IFN-a2,0,1,Plasma_Infant_44wk
Inf44Plasma_IFN-g,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-10,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-13,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-17A,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-18,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-1a,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-1b,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-1RA,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-2,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-22,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-27,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-4,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-5,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-6,0,1,Plasma_Infant_44wk
Inf44Plasma_IL-8,0,1,Plasma_Infant_44wk
Inf44Plasma_IP-10,0,1,Plasma_Infant_44wk
Inf44Plasma_LBP,0,1,Plasma_Infant_44wk
Inf44Plasma_MCP-1,0,1,Plasma_Infant_44wk
Inf44Plasma_MMP-9,0,1,Plasma_Infant_44wk
Inf44Plasma_Neopterin,0,1,Plasma_Infant_44wk
Inf44Plasma_TNFa,0,1,Plasma_Infant_44wk
Inf44Plasma_TNFb,0,1,Plasma_Infant_44wk
Inf44Plasma_TNF-RI,0,1,Plasma_Infant_44wk
Inf44Plasma_TNF-RII,0,1,Plasma_Infant_44wk
Inf44Plasma_VCAM-1,0,1,Plasma_Infant_44wk
