"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"PIK3C2A",27.3001373770356,0.455608855314771,0.294042759104128,1.54946463127639,0.121270067459033,0.99927703374185,"MAIT","week44","media_treated",5,5
"PLAUR",2.52049229150481,-1.45446309181931,0.90241949623475,-1.61173722186622,0.107019134270488,0.99927703374185,"MAIT","week44","media_treated",5,5
"WIZ",7.20704178602743,0.0766925241320521,0.501507980559276,0.152923835920867,0.878458338645417,0.99927703374185,"MAIT","week44","media_treated",5,5
"RABGAP1",50.760639170915,-0.108858336217813,0.239174282440903,-0.455142313407842,0.649006858415122,0.99927703374185,"MAIT","week44","media_treated",5,5
"QPCTL",7.97574643288647,0.0677960640644429,0.467487183964448,0.145022294492674,0.884693269408509,0.99927703374185,"MAIT","week44","media_treated",5,5
"PPP5C",9.56305351979471,-0.252936216627439,0.447607981735487,-0.565084241006477,0.572016466842056,0.99927703374185,"MAIT","week44","media_treated",5,5
"CEP68",6.58030786768783,0.186079137407946,0.519828981863595,0.357962222000108,0.720371585220826,0.99927703374185,"MAIT","week44","media_treated",5,5
"MAP4K3",27.5430835696412,0.267582532573326,0.318955461559371,0.838933847582095,0.401506432626685,0.99927703374185,"MAIT","week44","media_treated",5,5
"LDAF1",2.2752098109059,-1.24884598011957,0.961697453195715,-1.2985850965599,0.194086355296742,0.99927703374185,"MAIT","week44","media_treated",5,5
"BRCA1",9.88504478902588,-0.442664888538743,0.51084485547005,-0.866534885883167,0.38619690388896,0.99927703374185,"MAIT","week44","media_treated",5,5
"ERCC1",2.5445326523204,1.03255785945655,0.785863587937027,1.31391487696627,0.188874851673683,0.99927703374185,"MAIT","week44","media_treated",5,5
"MBTPS2",4.0521884192473,-0.203487570196541,0.686270432018968,-0.296512221279726,0.766838935152649,0.99927703374185,"MAIT","week44","media_treated",5,5
"PRICKLE3",1.44140676827197,0.585607118149973,1.02787108797544,0.569728174087883,0.568862077925501,0.99927703374185,"MAIT","week44","media_treated",5,5
"EXTL3",5.35372070393279,0.566567378267523,0.5984578721328,0.946712215929878,0.343785443900662,0.99927703374185,"MAIT","week44","media_treated",5,5
"ELOVL5",70.180568643541,-0.183951208734074,0.19976699609068,-0.920828827253193,0.357139801954101,0.99927703374185,"MAIT","week44","media_treated",5,5
"ALOX5",8.15279641365009,0.184783368316378,0.624314562327853,0.295977988447659,0.767246891352147,0.99927703374185,"MAIT","week44","media_treated",5,5
"KDM5D",11.708439357242,0.723171928257034,1.49638606211016,0.483278978980356,0.62889766370621,0.99927703374185,"MAIT","week44","media_treated",5,5
"CALCOCO1",21.6161119813016,-0.0240332395586685,0.309316093716449,-0.0776979925936215,0.938068290958717,0.99927703374185,"MAIT","week44","media_treated",5,5
"UBR7",4.57330745804344,-0.519187304501941,0.612335512110586,-0.847880441740863,0.396504557848725,0.99927703374185,"MAIT","week44","media_treated",5,5
"MAP4K5",31.7401694829025,0.887218764157115,0.29320051748387,3.02597953022346,0.00247829080033053,0.99927703374185,"MAIT","week44","media_treated",5,5
"EHD3",1.56142040910754,1.06135014817481,1.07320234040668,0.988956237062081,0.32268455378749,0.99927703374185,"MAIT","week44","media_treated",5,5
"PSMC4",4.62773777656745,0.263896980310568,0.579603289967244,0.455306215265759,0.648888955456401,0.99927703374185,"MAIT","week44","media_treated",5,5
"MAN2B2",9.45836643361772,-0.747074314696414,0.464570584419298,-1.6080964653202,0.107814053241514,0.99927703374185,"MAIT","week44","media_treated",5,5
"SLC25A39",2.84432966047732,-0.185469236452011,0.789872198654348,-0.234809171367194,0.814356849017528,0.99927703374185,"MAIT","week44","media_treated",5,5
"MVP",15.8801480401632,-0.745101152824546,0.389863831490082,-1.91118306608932,0.0559810592645729,0.99927703374185,"MAIT","week44","media_treated",5,5
"NUB1",25.1435370183589,0.100915536697519,0.294004642360421,0.343244704870362,0.731414375627063,0.99927703374185,"MAIT","week44","media_treated",5,5
"PGM3",8.89522303421179,0.680353213747989,0.440031741700487,1.54614576466413,0.122069368337967,0.99927703374185,"MAIT","week44","media_treated",5,5
"RWDD2A",0.682739994496134,0.997800228712642,1.41873782453243,0.703301351002951,0.481867968939625,0.99927703374185,"MAIT","week44","media_treated",5,5
"CLK1",48.9976493128173,0.133896911267387,0.221946317596486,0.603285121904212,0.546319028832478,0.99927703374185,"MAIT","week44","media_treated",5,5
"POLR3B",8.38165561642145,0.0360462295899706,0.464911816710483,0.0775334768752884,0.938199160723001,0.99927703374185,"MAIT","week44","media_treated",5,5
"ANGEL1",4.60462368492639,0.478197156498785,0.677480481896366,0.705846395988031,0.480283665777113,0.99927703374185,"MAIT","week44","media_treated",5,5
"RNF14",5.78371938806382,0.321211855846111,0.566422526359023,0.567088773659601,0.570653869744103,0.99927703374185,"MAIT","week44","media_treated",5,5
"DNASE1L1",3.62475067867515,-1.15436733384314,0.735930670396689,-1.56858163449133,0.116745454562592,0.99927703374185,"MAIT","week44","media_treated",5,5
"DDX11",4.53935307441366,-0.49383768404857,0.735251502599801,-0.671658177239206,0.501801332298064,0.99927703374185,"MAIT","week44","media_treated",5,5
"HEBP1",1.08445186895916,2.04615199617065,1.42184858397499,1.43907868899116,0.150128229260178,0.99927703374185,"MAIT","week44","media_treated",5,5
"MAMLD1",2.72427945016135,1.04638913880951,0.87131387774823,1.20093248315261,0.229777392590329,0.99927703374185,"MAIT","week44","media_treated",5,5
"CD6",95.400481705362,-0.291961367546556,0.22313788573753,-1.30843476705691,0.1907258867763,0.99927703374185,"MAIT","week44","media_treated",5,5
"TACC3",16.3541500830803,-0.186664956923069,0.36170152649493,-0.516074562172702,0.605802333712124,0.99927703374185,"MAIT","week44","media_treated",5,5
"UFL1",18.1614128442605,-0.154895806150967,0.333643286627386,-0.46425572567853,0.642464540472741,0.99927703374185,"MAIT","week44","media_treated",5,5
"POLA2",7.53390926757963,0.0189874666529876,0.512483046896265,0.0370499410038649,0.970445185888668,0.99927703374185,"MAIT","week44","media_treated",5,5
"ZC3H3",10.8845701390897,-0.20617401224973,0.423586557585909,-0.486734077268058,0.626446792622911,0.99927703374185,"MAIT","week44","media_treated",5,5
"CAPN1",13.58577315282,0.172551217727222,0.352780551227672,0.489117716741318,0.624758359189432,0.99927703374185,"MAIT","week44","media_treated",5,5
"MDH1",7.62102971742838,-0.10866315420419,0.496840198535455,-0.218708459026661,0.826877159159109,0.99927703374185,"MAIT","week44","media_treated",5,5
"SLC30A9",22.648805656886,0.0753242111896401,0.302884489086789,0.24868956286519,0.803600922881396,0.99927703374185,"MAIT","week44","media_treated",5,5
"COX15",5.84564689729375,-0.181091213097443,0.514743638313605,-0.3518085501566,0.724981845896032,0.99927703374185,"MAIT","week44","media_treated",5,5
