"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","set","timepoint","stim","n_pos","n_neg"
"RIPOR3",54.6820285673864,1.54119734054897,0.62928119955989,2.44913933806835,0.0143198040041756,0.56933424613904,"DC","week12","media_treated",5,4
"CD86",44.1060377322629,-1.57672410250371,0.643870797178528,-2.44882064757866,0.0143324795871937,0.56933424613904,"DC","week12","media_treated",5,4
"ANXA5",65.8657428585779,-0.532176709594606,0.21740439264544,-2.4478654875319,0.0143705293885485,0.56933424613904,"DC","week12","media_treated",5,4
"NREP",40.3993934677612,-0.73431892463206,0.300315335277771,-2.4451595985029,0.0144788054570405,0.571028363636041,"DC","week12","media_treated",5,4
"PDE4A",21.0851291992416,-1.31893264616425,0.541080438671846,-2.43759070167413,0.0147855044483664,0.575314539160542,"DC","week12","media_treated",5,4
"SLC35C2",59.4477491327348,0.605139582946988,0.248182883843307,2.43828089018842,0.0147573020212465,0.575314539160542,"DC","week12","media_treated",5,4
"LRRFIP2",179.287800917052,-0.53576337674091,0.219692136533333,-2.43870074366372,0.0147401692044781,0.575314539160542,"DC","week12","media_treated",5,4
"CST3",18.0810679382036,-1.3142564903366,0.541301353580866,-2.42795714742336,0.0151841372513355,0.580460264397546,"DC","week12","media_treated",5,4
"CCDC88A",421.144317462169,-0.662575922942524,0.272706757079133,-2.42962781721709,0.0151143345538392,0.580460264397546,"DC","week12","media_treated",5,4
"SLC27A2",19.5330171021852,1.69955204625023,0.699978495064284,2.42800608623576,0.0151820884967829,0.580460264397546,"DC","week12","media_treated",5,4
"RERE",321.62407571467,0.503122353849223,0.206884204510373,2.43190317520831,0.015019721833146,0.580460264397546,"DC","week12","media_treated",5,4
"TBC1D10A",73.3030499527072,-0.58389086308967,0.240981013488593,-2.42297455155034,0.01539400502825,0.580826058891046,"DC","week12","media_treated",5,4
"MMD",15.6911784340116,-1.19498790126156,0.493280892821663,-2.42253028376184,0.0154128410588448,0.580826058891046,"DC","week12","media_treated",5,4
"TMOD2",20.3217741797975,1.10853106548084,0.457803210580274,2.42141391729377,0.0154602622375772,0.580826058891046,"DC","week12","media_treated",5,4
"SPN",46.5645133642517,0.678365114079631,0.279918979199055,2.42343379509552,0.0153745553578045,0.580826058891046,"DC","week12","media_treated",5,4
"PLD1",9.53930484909586,1.83915500228583,0.761964685792445,2.41370110266081,0.0157914107526777,0.58569334519293,"DC","week12","media_treated",5,4
"RUNX2",434.840119599868,-0.700513093555497,0.289900456978654,-2.41639182240777,0.0156751832619268,0.58569334519293,"DC","week12","media_treated",5,4
"CDIN1",21.3813998601844,0.896744391835033,0.371437524912258,2.41425362730076,0.015767482416303,0.58569334519293,"DC","week12","media_treated",5,4
"NFE2L2",254.108594087839,-0.459373144990151,0.1906509426567,-2.40949841940898,0.0159744652590549,0.588117975298286,"DC","week12","media_treated",5,4
"ZNF654",64.813744267918,0.571604448165618,0.237268469380377,2.40910412436323,0.0159917347574224,0.588117975298286,"DC","week12","media_treated",5,4
"SLC8A1",47.7735926920845,-1.31094231672381,0.545071729817058,-2.40508220296768,0.0161688283130462,0.592132384775254,"DC","week12","media_treated",5,4
"IL6R",64.2155877931369,-0.812200141567501,0.337927397704734,-2.40347526446247,0.0162400656549012,0.59225277091263,"DC","week12","media_treated",5,4
"GPHN",85.9329845559424,-0.639676353602462,0.26664391517517,-2.39899100334703,0.0164403186162368,0.597057571079667,"DC","week12","media_treated",5,4
"CLIP4",30.6265830142554,0.988099624220352,0.412316053008952,2.39646168760472,0.0165542240057115,0.598699653252206,"DC","week12","media_treated",5,4
"CABIN1",79.7801652495192,0.736055651134335,0.307346444086538,2.39487283909193,0.0166261302533628,0.598815501191366,"DC","week12","media_treated",5,4
"TYROBP",24.6930859105412,-0.957154866193475,0.401195207174619,-2.38575847636404,0.0170439404526619,0.60358528750791,"DC","week12","media_treated",5,4
"TTLL4",29.5764459916787,-0.751207649676327,0.314379910943825,-2.38948998815181,0.0168717837071518,0.60358528750791,"DC","week12","media_treated",5,4
"DYM",194.376420565641,-0.322003809135942,0.134993557273994,-2.38532723811683,0.0170639350486605,0.60358528750791,"DC","week12","media_treated",5,4
