Outcome,Layer,n_samples,n_pos,n_neg,n_folds,n_predictors_input,n_dropped_missing,n_dropped_nzv,n_predictors_final,n_selected_nonzero,lambda_use,CV_AUC_cvglmnet,OOF_AUC_roc
Infant_BCG_Response_12wk,Plasma_Maternal_Entry,32,19,13,10,34,0,0,34,0,0.16767870343362884,NA,0.7348178137651822
Infant_BCG_Response_12wk,Flow_Maternal_Entry_DosR,28,16,12,10,53,0,0,53,0,0.20239077895231183,NA,0.7005208333333334
Infant_BCG_Response_12wk,Flow_Maternal_Entry_E6C10,30,17,13,10,53,0,0,53,0,0.1779612485068394,NA,0.6968325791855204
Infant_BCG_Response_12wk,Flow_Maternal_Entry_GAG,23,12,11,10,53,0,0,53,0,0.1800894310508601,NA,0.7045454545454546
Infant_IGRA_Status,Plasma_Maternal_Entry,32,7,25,7,34,0,0,34,0,0.18831712286985816,NA,0.6799999999999999
Infant_IGRA_Status,Plasma_Infant_12wk,29,5,24,5,34,1,0,33,1,0.16280419034953533,NA,0.6
Infant_IGRA_Status,Plasma_Infant_44wk,29,5,24,5,34,0,0,34,0,0.15117165504378396,NA,0.7625000000000001
Infant_IGRA_Status,Plasma_All_Combined,32,7,25,7,102,24,0,78,0,0.18831712286985816,NA,0.6799999999999999
Infant_IGRA_Status,Flow_Maternal_Entry_DosR,28,6,22,6,53,0,0,53,0,0.20456341212689436,NA,0.5871212121212122
Infant_IGRA_Status,Flow_Maternal_Entry_E6C10,30,6,24,6,53,0,0,53,0,0.226952169076031,NA,0.5555555555555556
Infant_IGRA_Status,Flow_Maternal_Entry_GAG,23,5,18,5,53,0,0,53,2,0.17814635951758787,NA,0.7333333333333334
Infant_IGRA_Status,Flow_Infant_12wk_BCG,35,10,25,10,53,0,0,53,0,0.24855800221215482,NA,0.456
Infant_IGRA_Status,Flow_Infant_12wk_DosR,34,9,25,9,53,0,0,53,0,0.14012300092350083,NA,0.6488888888888888
Infant_IGRA_Status,Flow_Infant_44wk_BCG,34,9,25,9,53,0,0,53,0,0.1888338117479462,NA,0.5333333333333333
Infant_IGRA_Status,Flow_Infant_44wk_DosR,32,7,25,7,53,0,0,53,0,0.19071029600795467,NA,0.58
Infant_IGRA_Status,Flow_All_Proliferating,35,10,25,10,424,53,0,371,0,0.24855800221215482,NA,0.456
