"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25"
"ENSG00000290385",0.00542308483582285,0.00442719710865656,0.00242848180985032,0.00687135209572867,0.00615210299092503,0.00425691121185865,0.00263964438003117,0.00308507644821475,0.00569787982046135,0.00143070940142231,0.00236825351806693,0.00314870879827333,0.00452466250402873,0.0197085251604688,0.00385447789391049,0.00269097071230291,0.00231460544230423,0.00687850533880395,0.00754643396455983,0.00636117505055904,0.0028235481319349,0.00287551830618167,0,0,0,0.0144432887394715
"ENSG00000291215",0.0161693792670746,0.0149878852866329,0.018279748466046,0.0105588050452122,0.0119620668447852,0.0176369392193446,0.0148691952002271,0.014190988519664,0.0135843573662591,0.00835166146540356,0.0134677672468848,0.020947221735642,0.0180304457870964,0.0260348085434024,0.0125492276220227,0.0195250135506807,0.0189160403592767,0.0202225203405093,0.019574466166099,0.017304828257069,0.0153386480258462,0.0134915416216191,0.0120590074877633,0.0098438477513105,0,0.0265588248661771
"LINC01409",0.032599674025789,0.0278861898837436,0.0312463905936695,0.0271139202319661,0.0353967018187009,0.0370148812119091,0.0321473343093693,0.0279149653651473,0.027341432921755,0.0251679859491869,0.0337524326921883,0.0374166853228849,0.0338885583548071,0.0138271014090177,0.0260052212209973,0.0284054773286972,0.0253434814381959,0.0212243202863,0.0329127870092021,0.0524148810113597,0.0347728895366945,0.0413494188604721,0.0321657984920253,0.01186413392927,0,0.0788642856454297
"ENSG00000290784",0.0335611414167891,0.0194808289025875,0.0268620396622225,0.0144189300915781,0.0284044883531905,0.0350968024374021,0.0153517807456045,0.0262945314575121,0.0206986661313498,0.0238952223563027,0.0294032596975428,0.0275130671335215,0.0349301796045838,0.0188929482853991,0.0246298993833588,0.0150389585661137,0.0188014729299646,0.0151657414446629,0.0284949487114534,0.00566316424860938,0.0371422686940168,0.0377285695477959,0.0254135642239959,0.0157271369846091,0.0476834985622071,0.00886181686226724
"LINC00115",0.015042712333602,0.0128523481662072,0.0144306575472356,0.0219830825018481,0.0211471407808294,0.0179721997915657,0.0166393144333796,0.0153037455179909,0.0117891794722213,0.0197899883004059,0.0187464547450451,0.014519257934241,0.0184332655832801,0.0364411021213636,0.0193348720554115,0.0179309129737598,0.0163459584364514,0.0195684798935475,0.0209015943371701,0.0104833071583999,0.0242756557393038,0.0213775760933686,0.00606115586077796,0.0106473039256134,0.015933742246018,0
"LINC01128",0.143711842525697,0.0562281822093712,0.0744871736382694,0.059695563297753,0.114421863487273,0.143937815051165,0.0517234293900506,0.144033627742656,0.0453987805060019,0.108382486270734,0.093306060954922,0.0629977757160133,0.124907493091897,0.0838848995239194,0.0850891720846537,0.0678496877588615,0.0887636353050765,0.0720835379567717,0.071079875486905,0.090580195012841,0.134589919622447,0.0736806548657577,0.159967431179157,0.0938752606977852,0.175370227131269,0.0417413391691109
"ENSG00000288531",0.000218183750366188,0.0212224561372822,0.000145324444538362,0,0,0,0,0,0.0854594825958119,0,0,0.0216137018010884,0,0.000723031399613877,0.000718356135109006,0,0.0277407357786994,0,0,0,0,0.0169435388058318,0,0,0,0
"NOC2L",0.199614360293032,0.22519150709158,0.194992228388466,0.18653239169879,0.192863365466693,0.208258686543559,0.182592632623161,0.183057262673616,0.278169388929238,0.185776854937665,0.164261873013016,0.242819867577994,0.200736936685166,0.0855180215904886,0.194223990719751,0.190396601060215,0.175872035765478,0.166503037233332,0.195732514028708,0.236866821701366,0.202982299286783,0.175116512761086,0.21898281197503,0.228395121508411,0.173165373211332,0.213185484712475
"KLHL17",0.015014953146483,0.00903140638674225,0.0176368680426528,0.0241340268035252,0.012680107935575,0.015613949497146,0.0215325601856984,0.0164191783177586,0.00764590500820115,0.0243179487720074,0.0214255411864024,0.011498747747674,0.010842468120871,0.00641820019713599,0.0221610719371885,0.0241203897148708,0.00837887046870162,0.0272874800421645,0.0232698495561667,0.0179419765212905,0.0227182325238525,0.0140173251142138,0.0277007914852738,0.0100008332354191,0,0.0561694273730306
"HES4",0.152587752174914,0.055429121483553,0.0832296226635932,0.466735405304058,0.116572665543508,0.130980850437753,0.242523365829792,0.172590925571847,0.14399516479957,0.220008310044272,0.123969907033646,0.208995915888771,0.189738520442656,0.566620928461717,0.166816263911506,0.28884743562429,0.311754382945721,0.446554195894361,0.123082720368843,0.33097816549117,0.0174227606186797,0.436155228666145,0.511788962450484,0.293154115838868,0.0980007665603973,0.0207164955493186
"ISG15",0.239178045645846,0.150059184415956,0.360906163015439,0.880289412572067,0.223896590648763,0.218575002752549,0.917734351257937,0.473752883877157,0.278823711016349,0.254205227713234,0.241921463922793,0.367731498311591,0.33290079990116,0.652101544898767,0.460162670627684,0.796875566322048,0.429996224150549,0.945741774757651,0.88655286104562,0.98125141482418,0.173296160777901,0.439358438742266,0.53781470209262,0.546899992270184,0.22403301368142,0.428986374795894
"AGRN",0.00236494350689873,0.0053398736019331,0.00683539897357322,0.0119309981083574,0.00252374108067925,0.00272631836548005,0.00801749700245888,0.0022229340307132,0.0184638000264304,0.00486942237564948,0.00881805551359298,0.00942836583829664,0.00147757112938756,0.016635404136382,0.00662709029624255,0.00819364972193616,0.0158917177325969,0.00844071056385001,0.00462781265674421,0.0221749545493882,0,0.0329084282691305,0.0115743564033998,0,0,0.0425464460678037
"ENSG00000291156",0.0157995995323598,0.0464625578969993,0.0778555507768219,0.0377988289355651,0.00997263071262373,0.012733403472027,0.0173584063613978,0.0345038330965839,0.210476620233315,0.0268196714634424,0.0128754091362012,0.0868648658522424,0.013334069399083,0.21238102670464,0.0360693758420831,0.190775710787818,0.0917676618803053,0.0561986699320512,0.0388133952862845,0.255405629830814,0,0.368144248192824,0.21830511347886,0,0,0
"C1orf159",0.0434157843668939,0.0461599846681038,0.0558868638147725,0.0397786189384553,0.0376274539636067,0.0434094660768327,0.0340323869173524,0.0271574376754741,0.0642514816805451,0.0428645369995478,0.0399864517444468,0.0417638013461698,0.0321986813890693,0.0370922456997068,0.0386225162055201,0.0460424040129006,0.0303760443892702,0.045647338694011,0.0469005598421254,0.0275572924410303,0.0400615427322896,0.0386422933221108,0.039224188595703,0.024707143301218,0.0304220810111476,0
