"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25"
"CD101",0.1547,5e-04,0.3567,0.061,0.0296,0.1529,0.2615,0.059,7e-04,0.0638,0.0283,0.0099,0.0752,1,0.1538,0.0283,1e-04,0.1344,0.4645,0.0045,0.0868,0.8066,0,0.1016,0.0375,0.0084
"ITGAE",0.0055,0.0062,0.0463,0.0042,0,0.0109,0.0056,0.0455,0.0111,0.0041,0.0053,0.0272,0.0346,0.0275,0.0276,0.0269,0.0122,0.0723,0.2791,0.0102,0.0153,0.0504,1,0.0109,0.0144,0.016
"ENG",0.0144,0.028,0.0295,0.0176,0.0223,0.0356,0.0216,0.0094,0.0485,0.0354,0.0295,0.024,0.0343,0.0151,0.0557,0.0129,0.1609,0.0221,0.0621,0.0812,0.0046,0.0204,0.0727,0,1,0
"LAMP1",0.0267,0.1414,0.0584,0.0369,0.0092,0.0211,0.0224,0.0418,0.0492,0.0621,0.1,0.5609,0.0216,0.7901,0.181,0.0702,0.5185,0.106,0.0119,0.037,0.0196,0.1616,0.0895,0,1,0.1743
"NECTIN2",0.0305,0.014,0.0275,0.072,0.0091,0.0658,0.0132,0.0335,0.0432,0.0047,0.0436,0.0128,0.0097,0.2246,0.1613,0.0541,0.0044,0.0418,0.0368,0.0149,0.0367,0.1845,0.012,0,1,0
"IFNGR1",0.0097,0.1251,0.0088,0.0165,0,0.0206,0.0089,0.0098,0.115,0.0068,0.0011,0.3588,0.0043,0.4009,0.0185,0.0092,0.0834,0.103,0.0028,0.0204,0.0059,0.23,0.0181,0.0071,1,0.0749
"ITGAL",0.5043,0.066,0.4786,0.8668,0.3104,0.5064,0.972,0.6794,0,0.4328,0.1777,0.1663,0.4685,1,0.5687,0.8042,0.0931,0.9382,0.9294,0.6234,0.3492,0.711,0.4397,0.5821,0.3952,0.1737
"ITGAM",0.0062,0.0075,0.0065,0.127,0.0021,0.0027,0.0117,0.0098,0.0078,0.0102,0.0062,0.0308,0.0036,1,0.0234,0.0793,0.0083,0.0662,0.0142,0.1074,0.001,0.0393,0.0829,0.0201,0.1356,0
"ITGAX",0.0093,0.0143,0.0079,0.4867,0.0035,0.0052,0.0908,0.0057,0.0133,0.0079,0.0137,0.4207,0.0063,1,0.09,0.1716,0.0561,0.176,0.1031,0.6948,0,0.7418,0.083,0.158,0.0158,0.0033
"IL2RB",0.0139,0.01,0.0153,0.5686,0.0044,0.0101,0.0402,0.0254,0.008,0.0101,0.0188,0.0112,0.0375,0.0339,0.0574,0.0906,0.0039,0.1183,0.1079,1,8e-04,0.0433,0.003,0.1652,0.006,0
"IL3RA",0.0067,0.2404,0.0036,0.0071,0.0036,0.0089,0.0038,0.0154,0.3543,0.0056,0.004,0.1707,0.0023,0.5599,0.0363,0.0035,0.2004,0.0122,0.0078,0.0178,0.002,1,0.0057,0,0.0193,0.1763
"IL4R",0.1385,0.6431,0.072,0.0642,0.0958,0.2177,0.1483,0.3156,0.5073,0.0523,0.0443,0.581,0.0933,0.3106,0.1403,0.0403,0.4873,0.0284,0.1098,0.095,0,1,0,0.0131,0.848,0
"IL7R",0.9619,0.0088,0.815,0,0.4619,1,0.0019,0.6143,0.0176,0.8264,0.3161,0.0275,0.0589,0.0711,0.5063,0.5059,0.0163,0.4209,0.0475,0.0212,0.6827,0.0142,0.9942,0.5189,0.5793,0.0879
"ANPEP",0.0043,0.0064,0.0037,0.0032,0,0.0062,0.0057,0.0084,0.0089,9e-04,5e-04,0.0581,0.003,1,0.0276,0.0085,0.0162,0.0053,0.001,0.0055,0.0021,0.3084,0.0053,0.0122,0.2469,0.0033
"TNFRSF4",0.0138,0.018,0.0093,0.009,0.0036,0.0162,0.005,0.1001,0.016,0.0077,0.0104,0.0166,0.0336,0.042,0.035,0.0094,0.0077,0.015,0.0021,0.0118,0.0086,0.0215,0.0734,0,1,0
"TNFRSF9",0.1184,0,0.2072,0.0157,0.0517,1,0.001,0.155,0.0059,0.0697,0.0036,0.0483,0.1375,0.0198,0.2496,0.2435,0.0174,0.0187,0.058,0.1466,0.0926,0.1398,0.3256,0.0769,0.1507,0.0764
"THBD",0.0036,0.0082,0.0032,0.0046,1e-04,0.008,0.0126,0.0091,0.0091,0.0023,0,0.061,0.0035,0.7661,0.0157,0.0028,0.0096,0.012,0.0055,8e-04,0.0026,1,0.0147,0.0398,0.0652,0.006
"MCAM",0.0543,0.0237,0.0754,0.0124,0.0187,0.0586,0,0.5198,0.0313,0.0498,0.024,0.1171,1,0.042,0.2226,0.0547,0.0554,0.0634,0.0094,0.0088,0.0269,0.0691,0.1007,0.0251,0.0329,0.2544
"CD14",0.0033,0.0035,0.0034,0.0035,0.0034,0.0042,0.0047,0.0043,0.003,0.0022,0.0084,0.0019,0.0066,1,0.0118,0.0031,0.0024,0.0015,0.0056,0.0071,0.0024,0.0033,0.0026,0,0.0037,0
"CTLA4",0.0855,0.1391,0.0545,0.0393,0.0247,0.1065,0.0496,0.1325,0.2756,0.013,0.0136,0.1887,0.1857,0.0374,0.4631,0.026,0.0928,0.0034,0.0325,0.0703,0,0.3452,0,0,1,0.6137
"CD40LG",0.0122,0.0102,0.0057,0.0033,0.0012,0.0079,0.0088,0.0139,0.0324,0.0081,0.019,0.0077,0.0061,0.047,0.0038,7e-04,0.0043,0.0046,0,0.0048,0,0,0.0127,0.0172,1,0
