Readout,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n,k,kw_stat,kw_p,kw_p_adj
CCR6- CXCR3- / CCR4+,BCG,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,21,3,4.801034463372133,0.09067104322220851,0.354183762586752
CCR6+ CXCR3- / CD161+,BCG,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,21,3,1.2880686564897093,0.5251694386129164,0.7775467966527676
CCR6- CXCR3- / CCR4+,BCG,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,21,3,3.350536908978455,0.18725790250914753,0.5201608403031875
CD45RO+ CD27+ / CXCR5+,BCG,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,21,3,2.9309045932422606,0.23097349931507474,0.5700375837578063
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,16.36363636363636,2.7969294491888826e-4,0.06992323622972206
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,8.894091823669282,0.011713117494392248,0.2336221604549847
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,6.636532298869966,0.0362155697352351,0.3013055719552743
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,6.361156204906203,0.04156162129960873,0.3013055719552743
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,6.148310563894967,0.04622866207852631,0.3013055719552743
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,6.077472311238537,0.047895383569985114,0.3013055719552743
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,4.827120931017035,0.08949607892915172,0.354183762586752
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,17,3,4.002801120448176,0.13514587069479397,0.4387852944636168
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,2.47933884297521,0.28947989795733525,0.615788003850164
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,2.1942623112213875,0.333827410158908,0.6398845068166343
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,2.1928374655647502,0.3340653211631764,0.6398845068166343
