Readout,Time_Point_std,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n_pos,n_neg,median_pos,median_neg,median_diff_pp,p_value,cliffs_delta,p_adj
CCR6- CXCR3- / CCR4+,12wks,BCG,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,18,16,0.8200000000000001,0.575,0.2450000000000001,0.6167848439903907,0.10416666666666667,0.8769452758157213
CCR6+ CXCR3- / CD161+,12wks,BCG,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,18,16,45.031338860186636,40.45033901411031,4.580999846076324,0.34266504615968246,0.19444444444444445,0.7852690953107269
CCR6- CXCR3- / CCR4+,12wks,BCG,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,18,16,2.2,1.85,0.3500000000000001,0.986234814838515,0.006944444444444444,0.9928548990146824
CD45RO+ CD27+ / CXCR5+,12wks,BCG,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,18,16,2.219834254143646,2.255545366852842,-0.0357111127091958,0.9862358663545844,0.006944444444444444,0.9928548990146824
IL-17a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,31.829400780852147,50.83168751371515,-19.002286732863006,0.012367275486607833,-0.5069444444444444,0.3639715985419572
IFNy,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,40.35,55.05,-14.699999999999996,0.3789494660972779,-0.18055555555555555,0.7853811364377881
CD45RO+ CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,54.410922248282205,64.7559856047736,-10.345063356491394,0.12894881141186543,-0.3090277777777778,0.6007788947646159
CCR6+ CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,9.865056492549533,19.363157894736844,-9.498101402187311,0.013618459734617006,-0.5,0.3639715985419572
TNFa,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,80.73795624344257,89.24786349210908,-8.509907248666508,0.06482113329451789,-0.375,0.4743009753257406
CCR6- CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,31.449943438914026,26.520064724919095,4.929878713994931,0.02605027769192139,0.4513888888888889,0.3639715985419572
