"Cluster","DE_Genes"
"Naive CD4 T",49
"Naive B (follicular)",56
"Naive CD8 T",47
"CD56dim NK",46
"Naive CD4 T (IL7R-hi)",34
"TEMRA CD8",35
"CM CD4 (Th2/CCR4+)",37
"Transitional B (T1/T2)",38
"Activated Naive CD4",17
"Naive CD4 T (low-signal)",19
"Memory B (CD27- / MZ-like)",28
"Treg",14
"Classical Monocyte",45
"Vd1 gd T",29
"Activated B / GC-pre",27
"MAIT + Vg9Vd2 (mixed)",25
"GZMK+ Tem CD8",15
"CD56bright NK",17
"Naive CD4 T (SOX4-hi)",3
"DC mix (pDC+cDC2+prog)",16
"ILC (ILC3-like)",7
"Proliferating Plasmablast",4
