Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
CCR6+ CXCR3-,Infants 12wks,BCG,CD4,35,4.770473973114901,1.8373698052500678,1.8614292327614215,519,8.586690713914617e-4,0.17619047619047623,0.0018183580335348602
CCR6+ CXCR3-,Infants 12wks,BCG,CD8,35,9.32,1.5629174272092938,7.757082572790706,604,2.2968233130343603e-6,0.041269841269841234,2.2214108697087797e-5
CCR6+ CXCR3-,Infants 12wks,BCG,gdTCR,35,3.6652364079366992,0.73,2.0487373632273695,542,3.0253506418256474e-5,0.13968253968253963,8.377894085055638e-5
CCR6+ CXCR3-,Infants 12wks,DosR,CD4,34,16.712859068611294,2.3842949531546265,13.5284080824682,587,7.772963266015348e-7,0.013445378151260456,2.2214108697087797e-5
CCR6+ CXCR3-,Infants 12wks,DosR,CD8,34,17.6,2.2888724671928165,15.36791941203165,574,2.3732810772222043e-6,0.03529411764705881,2.2214108697087797e-5
CCR6+ CXCR3-,Infants 12wks,DosR,gdTCR,34,4.853572964036168,0.7549999999999999,3.475289418383898,543,2.8052890088613154e-5,0.0873949579831933,8.377894085055638e-5
CCR6+ CXCR3-,Infants 44wks,BCG,CD4,34,8.130176925104614,2.5880082807626135,4.564523091603644,538,4.07538801728144e-5,0.09579831932773109,1.0479569187295132e-4
CCR6+ CXCR3-,Infants 44wks,BCG,CD8,34,7.640000000000001,0.9657493080905276,6.66403509688714,570,3.315295057215639e-6,0.04201680672268904,2.2214108697087797e-5
CCR6+ CXCR3-,Infants 44wks,BCG,gdTCR,34,5.0273897457494146,0.8089525031653637,3.6038633653675323,534,6.167603543537755e-6,0.10252100840336131,2.467041417415102e-5
CCR6+ CXCR3-,Infants 44wks,DosR,CD4,32,17.19282288385449,3.5982260388074834,11.856139040700352,495,1.6317658912897497e-5,0.0625,5.874357208643099e-5
CCR6+ CXCR3-,Infants 44wks,DosR,CD8,32,15.5,1.9685641063308459,12.15152920420423,483,4.319410024433738e-6,0.08522727272727271,2.2214108697087797e-5
CCR6+ CXCR3-,Infants 44wks,DosR,gdTCR,32,5.354308441288497,1.1821632220099394,2.6675694637667293,415,0.004890024956753801,0.2140151515151515,0.009265310444375622
CCR6+ CXCR3-,Mothers Dx,BCG,CD4,3,15.723409231615882,13.478796305492105,2.244612926123777,6,0.1814492077214203,0,0.21773904926570437
CCR6+ CXCR3-,Mothers Dx,BCG,CD8,3,17,2.0925391963557893,14.790464127188647,6,0.1814492077214203,0,0.21773904926570437
CCR6+ CXCR3-,Mothers Dx,BCG,gdTCR,3,16.147578785549573,12.354191335060726,3.793387450488847,5,0.42267807417063546,0.16666666666666663,0.4454691771732715
CCR6+ CXCR3-,Mothers Dx,DosR,CD4,6,19.21185223895423,13.628308166103714,7.847121967604524,16,0.2945073936801101,0.23809523809523814,0.33132081789012385
CCR6+ CXCR3-,Mothers Dx,DosR,CD8,6,10.8,2.3463906984634795,8.66039166193531,20,0.05917206782585943,0.04761904761904767,0.09261714964047564
CCR6+ CXCR3-,Mothers Dx,DosR,gdTCR,6,18.042435271543518,10.944383623818826,6.58622602863682,18,0.1422132419363925,0.1428571428571429,0.19691064268115885
CCR6+ CXCR3-,Mothers Dx,E6C10,CD4,6,13.550532890449897,12.134787872547683,3.5805830716717457,18,0.1422132419363925,0.1428571428571429,0.19691064268115885
CCR6+ CXCR3-,Mothers Dx,E6C10,CD8,6,19.1,1.8072174915871058,16.89126466147098,21,0.036031686218233556,0,0.06176860494554324
CCR6+ CXCR3-,Mothers Dx,E6C10,gdTCR,6,10.42509210816478,5.918303665941465,2.8218347269197683,16,0.2945073936801101,0.23809523809523814,0.33132081789012385
CCR6+ CXCR3-,Mothers Dx,GAG,CD4,5,18.734457500857154,11.3,6.97617639074077,13,0.1775298524121535,0.1333333333333333,0.21773904926570437
CCR6+ CXCR3-,Mothers Dx,GAG,CD8,5,13.3,1.3616069006961324,11.478079787463614,15,0.059058229090536735,0,0.09261714964047564
CCR6+ CXCR3-,Mothers Dx,GAG,gdTCR,5,9.560307098668819,4.691381321748493,1.7963593537271345,13,0.1775298524121535,0.1333333333333333,0.21773904926570437
CCR6+ CXCR3-,Mothers Entry,BCG,CD4,18,13.463499812193625,8.525131635893716,1.680859956246315,123,0.10710059224817214,0.2807017543859649,0.16065088837225822
CCR6+ CXCR3-,Mothers Entry,BCG,CD8,18,21.4,2.115570137427263,18.513044854247717,168,3.5544554613709e-4,0.01754385964912286,7.997524788084525e-4
CCR6+ CXCR3-,Mothers Entry,BCG,gdTCR,18,6.844777537226408,6.339118532428968,1.0098103709281743,104,0.4330950333629029,0.39181286549707606,0.4454691771732715
CCR6+ CXCR3-,Mothers Entry,DosR,CD4,29,29.69896174863389,13.58614697120159,14.100762614850359,428,5.6021972228708394e-6,0.016091954022988464,2.467041417415102e-5
CCR6+ CXCR3-,Mothers Entry,DosR,CD8,29,19.4,2.410101634178741,14.593788379475503,435,2.7023691404779837e-6,0,2.2214108697087797e-5
CCR6+ CXCR3-,Mothers Entry,DosR,gdTCR,29,10.756226908140668,6.997810065492889,4.7885158008418705,324,0.021902220170653693,0.2551724137931034,0.03942399630717665
CCR6+ CXCR3-,Mothers Entry,E6C10,CD4,31,21.773578701623244,12.016312149288794,9.304628905519898,462,2.865976659570485e-5,0.06854838709677424,8.377894085055638e-5
CCR6+ CXCR3-,Mothers Entry,E6C10,CD8,31,19.4,2.2930938545518584,12.78235423721361,483,4.319410024433738e-6,0.02620967741935487,2.2214108697087797e-5
CCR6+ CXCR3-,Mothers Entry,E6C10,gdTCR,31,7.267529524628665,7.106980438375116,1.4499869362405917,299,0.3223571892951311,0.39717741935483875,0.3516623883219612
CCR6+ CXCR3-,Mothers Entry,GAG,CD4,24,16.9747249492214,8.993943945777616,7.031478749105577,251,0.004086211171395094,0.16333333333333333,0.008172422342790187
CCR6+ CXCR3-,Mothers Entry,GAG,CD8,24,10.075,1.5034101118808485,8.108682803901916,292,5.2803795123764345e-5,0.026666666666666616,1.267291082970344e-4
CCR6+ CXCR3-,Mothers Entry,GAG,gdTCR,24,3.0651192411490626,3.7612074322294804,0.2607982829880578,146,0.920344325445942,0.5133333333333333,0.920344325445942
