"seurat_clusters","cloneSize","n"
"0","Small (1 < X <= 5)",7
"0","Single (0 < X <= 1)",4297
"1","Single (0 < X <= 1)",15
"2","Medium (5 < X <= 20)",1
"2","Small (1 < X <= 5)",3
"2","Single (0 < X <= 1)",2804
"3","Small (1 < X <= 5)",5
"3","Single (0 < X <= 1)",2472
"4","Hyperexpanded (100 < X <= 500)",84
"4","Large (20 < X <= 100)",404
"4","Medium (5 < X <= 20)",708
"4","Small (1 < X <= 5)",552
"4","Single (0 < X <= 1)",617
"5","Small (1 < X <= 5)",1
"5","Single (0 < X <= 1)",2436
"6","Single (0 < X <= 1)",7
"7","Single (0 < X <= 1)",2375
"8","Small (1 < X <= 5)",2
"8","Single (0 < X <= 1)",9
"9","Small (1 < X <= 5)",3
"9","Single (0 < X <= 1)",1651
"10","Single (0 < X <= 1)",1598
"11","Small (1 < X <= 5)",5
"11","Single (0 < X <= 1)",1650
"12","Large (20 < X <= 100)",1
"12","Medium (5 < X <= 20)",1
"12","Small (1 < X <= 5)",19
"12","Single (0 < X <= 1)",1165
"13","Large (20 < X <= 100)",1
"13","Medium (5 < X <= 20)",14
"13","Small (1 < X <= 5)",8
"13","Single (0 < X <= 1)",19
"14","Medium (5 < X <= 20)",1
"14","Small (1 < X <= 5)",2
"14","Single (0 < X <= 1)",8
"15","Hyperexpanded (100 < X <= 500)",4
"15","Large (20 < X <= 100)",1
"15","Medium (5 < X <= 20)",4
"15","Small (1 < X <= 5)",8
"15","Single (0 < X <= 1)",1305
"17","Small (1 < X <= 5)",16
"17","Single (0 < X <= 1)",1183
"18","Small (1 < X <= 5)",3
"18","Single (0 < X <= 1)",1159
"20","Medium (5 < X <= 20)",2
"20","Small (1 < X <= 5)",9
"20","Single (0 < X <= 1)",385
"21","Hyperexpanded (100 < X <= 500)",1
"21","Large (20 < X <= 100)",34
"21","Medium (5 < X <= 20)",134
"21","Small (1 < X <= 5)",97
"21","Single (0 < X <= 1)",128
"22","Small (1 < X <= 5)",2
"22","Single (0 < X <= 1)",999
"23","Hyperexpanded (100 < X <= 500)",2
"23","Large (20 < X <= 100)",30
"23","Medium (5 < X <= 20)",68
"23","Small (1 < X <= 5)",50
"23","Single (0 < X <= 1)",679
"24","Single (0 < X <= 1)",4
"25","Small (1 < X <= 5)",1
"25","Single (0 < X <= 1)",928
"26","Single (0 < X <= 1)",726
"27","Hyperexpanded (100 < X <= 500)",1
"27","Medium (5 < X <= 20)",1
"27","Single (0 < X <= 1)",40
"28","Single (0 < X <= 1)",2
"29","Hyperexpanded (100 < X <= 500)",5
"29","Large (20 < X <= 100)",32
"29","Medium (5 < X <= 20)",38
"29","Small (1 < X <= 5)",39
"29","Single (0 < X <= 1)",50
"30","Single (0 < X <= 1)",1
"31","Medium (5 < X <= 20)",2
"31","Single (0 < X <= 1)",124
"32","Medium (5 < X <= 20)",1
"32","Single (0 < X <= 1)",10
"33","Single (0 < X <= 1)",442
"34","Hyperexpanded (100 < X <= 500)",4
"34","Large (20 < X <= 100)",18
"34","Medium (5 < X <= 20)",20
"34","Small (1 < X <= 5)",60
"34","Single (0 < X <= 1)",309
"35","Small (1 < X <= 5)",2
"35","Single (0 < X <= 1)",370
"36","Single (0 < X <= 1)",377
"37","Large (20 < X <= 100)",1
"37","Medium (5 < X <= 20)",1
"37","Small (1 < X <= 5)",1
"38","Single (0 < X <= 1)",80
"39","Hyperexpanded (100 < X <= 500)",21
"39","Large (20 < X <= 100)",46
"39","Medium (5 < X <= 20)",46
"39","Small (1 < X <= 5)",31
"39","Single (0 < X <= 1)",55
"40","Hyperexpanded (100 < X <= 500)",2
"40","Large (20 < X <= 100)",33
"40","Medium (5 < X <= 20)",30
"40","Small (1 < X <= 5)",28
"40","Single (0 < X <= 1)",25
"41","Single (0 < X <= 1)",2
"43","Single (0 < X <= 1)",1
"45","Large (20 < X <= 100)",3
"45","Medium (5 < X <= 20)",4
"45","Small (1 < X <= 5)",3
"45","Single (0 < X <= 1)",33
"46","Single (0 < X <= 1)",31
"48","Single (0 < X <= 1)",35
"49","Single (0 < X <= 1)",40
"50","Single (0 < X <= 1)",3
"51","Single (0 < X <= 1)",15
