"predicted.celltype.l2","cloneSize","n"
"B intermediate","Single (0 < X <= 1)",3
"B memory","Single (0 < X <= 1)",1
"B naive","Single (0 < X <= 1)",23
"CD14 Mono","Hyperexpanded (100 < X <= 500)",1
"CD14 Mono","Single (0 < X <= 1)",2
"CD4 CTL","Large (20 < X <= 100)",4
"CD4 CTL","Medium (5 < X <= 20)",6
"CD4 CTL","Small (1 < X <= 5)",9
"CD4 CTL","Single (0 < X <= 1)",16
"CD4 Naive","Small (1 < X <= 5)",6
"CD4 Naive","Single (0 < X <= 1)",6658
"CD4 Proliferating","Small (1 < X <= 5)",1
"CD4 Proliferating","Single (0 < X <= 1)",4
"CD4 TCM","Small (1 < X <= 5)",61
"CD4 TCM","Single (0 < X <= 1)",16250
"CD4 TEM","Large (20 < X <= 100)",2
"CD4 TEM","Small (1 < X <= 5)",2
"CD4 TEM","Single (0 < X <= 1)",22
"CD8 Naive","Large (20 < X <= 100)",3
"CD8 Naive","Medium (5 < X <= 20)",5
"CD8 Naive","Small (1 < X <= 5)",26
"CD8 Naive","Single (0 < X <= 1)",3672
"CD8 Proliferating","Large (20 < X <= 100)",2
"CD8 Proliferating","Medium (5 < X <= 20)",5
"CD8 Proliferating","Small (1 < X <= 5)",6
"CD8 Proliferating","Single (0 < X <= 1)",7
"CD8 TCM","Small (1 < X <= 5)",4
"CD8 TCM","Single (0 < X <= 1)",1170
"CD8 TEM","Hyperexpanded (100 < X <= 500)",121
"CD8 TEM","Large (20 < X <= 100)",564
"CD8 TEM","Medium (5 < X <= 20)",1002
"CD8 TEM","Small (1 < X <= 5)",805
"CD8 TEM","Single (0 < X <= 1)",1435
"Eryth","Single (0 < X <= 1)",15
"ILC","Single (0 < X <= 1)",16
"MAIT","Single (0 < X <= 1)",92
"NK","Large (20 < X <= 100)",25
"NK","Medium (5 < X <= 20)",55
"NK","Small (1 < X <= 5)",32
"NK","Single (0 < X <= 1)",33
"NK Proliferating","Hyperexpanded (100 < X <= 500)",2
"NK Proliferating","Large (20 < X <= 100)",3
"NK Proliferating","Medium (5 < X <= 20)",3
"NK Proliferating","Small (1 < X <= 5)",1
"NK Proliferating","Single (0 < X <= 1)",5
"Plasmablast","Single (0 < X <= 1)",3
"Platelet","Large (20 < X <= 100)",1
"Platelet","Single (0 < X <= 1)",3
"Treg","Small (1 < X <= 5)",3
"Treg","Single (0 < X <= 1)",860
"cDC2","Single (0 < X <= 1)",2
"dnT","Single (0 < X <= 1)",254
"gdT","Small (1 < X <= 5)",1
"gdT","Single (0 < X <= 1)",118
