"cluster","n_cells","pct_of_total","dominant_lineage","dominant_frac","top_markers","cell_type","lineage","state","confidence","flag","notes"
"13",5422,2.22,"gdT",0.555,"TRDC, TRDV1, CXCR3, IKZF2, SH2D1A, TRGC2, CD27, TOX, TCF7, MAL, CD3D, NELL2, TRBC1, CD3E, CD7","","","","","",""
"14",5055,2.07,"NK",0.676,"LAG3, TIGIT, TRGC2, CCL5, TRGC1, TBX21, TRDC, PRF1, IKZF2, CD8A, NKG7, GNLY, KLRD1, FASLG, CD3D","","","","","",""
"15",3801,1.56,"Platelet",0.364,"NR4A1, MALAT1, ICOS, BATF, HIF1A, MT-ND1, NELL2, LTB, TCF7, BCL6, TRBC1, TRAC, GATA3, LDHA, SELL","","","","","",""
"16",3408,1.4,"Monocyte",0.497,"BCL6, CCL3, CCL4L2, CXCL8, EBI3, IL10, IL1B, ITGAX, MIR155HG, SERPINA1, TNF, TNFAIP2, MT-ND1, TNFRSF4, IL2RA","","","","","",""
"17",3330,1.36,"T",0.691,"NELL2, CD27, CD8B, MAL, SELL, TCF7, CD3E, CCND3, ICOS, TRAC, CD3D, TRBC1, CR2, CD4, SH2D1A","","","","","",""
"18",3364,1.38,"NK",0.556,"CD8A, NELL2, CCL5, KLRD1, CD8B, TCF7, CD3D, TOX, MAL, ICOS, GNLY, TRAC, CD3E, SELL, TRBC1","","","","","",""
"19",2265,0.93,"T",0.367,"CD40LG, GATA3, MAF, RORC, ZBTB16, KLRB1, CD7, BATF, ICOS, TRAC, IL2RA, NELL2, LTB, TRBC1, CD3E","","","","","",""
"20",2214,0.91,"NK",0.945,"CTSW, CXCR3, ENTPD1, GNLY, HIF1A, IL2RB, KLRC1, NCAM1, TNFRSF18, XCL1, IL18RAP, GZMK, HAVCR2, KLRD1, TRGC1","","","","","",""
"21",1634,0.67,"gdT",0.366,"GZMK, IL18RAP, KLRB1, RORC, TRGC1, TRGV9, ZBTB16, MAF, FASLG, LDHA, TRGC2, TRDC, SH2D1A, PRF1, CCL5","","","","","",""
"22",1499,0.61,"Monocyte",0.556,"CCL2, ITGAX, IFI30, IL1B, CXCL8, CCL3, CD14, TNFAIP2, TNF, SERPINA1, CD36, MT-ND1, FABP5, IL18BP, MIR155HG","","","","","",""
"23",1173,0.48,"Plasma",0.429,"CD36, HLA-DPA1, HLA-DRA, HLA-DRB1, IRF8, LTA, LTB, TCF4, CD4, TNFRSF4, LGALS1, IL18BP, IRF4, JCHAIN, MIR155HG","","","","","",""
"24",865,0.35,"NK",0.501,"CD19, CCL5, IGFBP4, KLRD1, IGHM, MS4A1, CD79A, CD40, TCF4, GNLY, FASLG, CD8A, TBX21, PRF1, ZEB2","","","","","",""
"25",733,0.3,"Monocyte",0.379,"EBI3, FABP5, IL2RA, TNFAIP2, TNFRSF4, TNFRSF9, HLA-DPA1, HLA-DRA, MIR155HG, HLA-DRB1, CXCL8, TNFRSF18, IL1B, IFI30, ENTPD1","","","","","",""
"26",589,0.24,"NK",0.71,"FCGR3A, IFNG, NKG7, TBX21, CTSW, PRF1, NR4A1, MALAT1, NCAM1, GNLY, CD7, ZBTB16, HIF1A, CCL5, IL2RB","","","","","",""
"27",429,0.18,"B",0.599,"MT-ND5, FCRL5, MS4A1, CD40, CXCR5, HLA-DRB1, NR4A1, MT-ND1, IRF8, CD19, CD79A, HLA-DRA, MALAT1, IGHM, HLA-DPA1","","","","","",""
"28",328,0.13,"Plasma",0.622,"IGHA1, IGHA2, IGHG1, IGHG2, IGHG3, IGHG4, IRF4, JCHAIN, MKI67, PRDM1, XBP1, ENTPD1, IGHM, FCRL5, MT-ND5","","","","","",""
