"cluster","6044931","6044981","6061161","6062151","6063411","6063421","6063481","6065761","6067021","6071261"
"0",3923,6757,2837,4756,2435,4262,6112,1167,1897,7744
"1",3592,3838,2013,4416,2371,5156,4696,870,1580,10668
"10",183,237,580,1857,74,173,1791,869,193,146
"11",790,856,276,385,254,413,726,268,279,1330
"12",378,281,451,50,1140,632,794,273,769,701
"13",729,793,205,177,785,698,289,149,569,1028
"14",708,208,688,34,476,175,113,255,1168,1230
"15",471,427,159,491,165,298,370,619,197,604
"16",419,613,559,99,367,142,544,30,344,291
"17",294,457,150,544,107,270,950,124,224,210
"18",155,575,686,316,97,37,701,636,132,29
"19",316,320,236,131,211,134,129,306,112,370
"2",4639,2773,3123,1577,2575,2158,3474,727,1591,780
"20",126,253,189,44,316,291,144,40,246,565
"21",100,379,242,11,168,168,92,151,103,220
"22",147,110,218,145,132,81,406,44,186,30
"23",137,126,124,48,110,46,74,42,205,261
"24",52,173,177,93,13,8,85,144,112,8
"25",55,106,118,18,73,28,85,25,149,76
"26",23,55,76,9,48,7,42,55,192,82
"27",72,37,38,33,28,19,70,78,19,35
"28",39,52,41,31,11,14,34,27,59,20
"3",3274,2377,767,2025,996,2264,2662,439,2760,2058
"4",1127,1309,1837,164,2216,1172,893,451,2360,1993
"5",1664,2635,1192,889,755,911,1334,645,1072,2172
"6",2096,1326,1823,974,1345,908,2455,752,858,257
"7",1612,824,1517,370,1793,586,1192,815,804,698
"8",1024,819,1514,578,1376,731,1525,649,643,588
"9",1003,1044,951,151,949,211,331,737,1357,712
