"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"SELL",6.7115,7.2466,2.2781,5.2419,0.2062,6.0655,1.6907,0.7463,0.4532,0.2145,3.6163,6.3527,0.0952,2.1513,0.2439,2.6845,0.0978,6.465,3.7261,2.1432,3.0182,0.4221,2.0395,1.8852,1.1051,0.6849,0.2803,1.0538,1.0511
"HLA-DRB1",0.0115,0.0109,1.1451,0.0139,0.128,0.0167,1.2868,0.9406,1.6222,0.2859,0.591,0.0165,0.7891,0.0225,0.1903,0.2114,0.2813,0.0103,0.0943,0.0174,0.1138,0.043,0.6278,4.0687,0.7402,3.2911,0.2303,2.7814,1.1997
"TCF4",0.9015,1.4103,19.7358,0.6906,0.6927,0.519,13.3516,17.8963,8.3927,0.4721,7.5589,1.5201,0.3602,0.4405,0.2476,2.0261,0.3497,0.9092,0.867,0.4636,1.6439,0.3505,3.861,48.2308,8.5847,6.4286,0.4658,9.1243,16.3462
"SERPINA1",0.0027,0.0016,0.002,0.0036,0.0017,0.0021,0.0017,8e-04,0.0016,0.0034,0.0017,0.005,0.9267,0.002,0.0019,0.0612,1.9617,6e-04,8e-04,0.0039,0.0028,0,0.5118,4e-04,0.005,0.1447,0.0303,0,0.0184
"CLEC9A",0.0037,0.0036,0.0054,0.0049,0.0027,0.0028,0.0023,0.0019,0.003,0.003,0.0019,0.0029,0.0049,0.0048,8e-04,0.0258,0.0028,0.0035,0.0037,0.0017,0.0034,0.0038,0.005,0.0043,0.001,0.0048,0.0043,0,0.0156
"MT-ND5",6.1733,5.2374,6.481,6.7101,5.0253,5.4642,6.521,6.2567,7.4495,4.7634,6.0285,5.4318,6.0337,5.6967,4.9261,6.2566,4.8658,5.9094,5.3732,6.1909,6.2047,5.2487,5.7039,5.7972,6.413,7.0099,6.2,9.4838,7.753
"TOX",2.2039,6.0272,0.0816,3.6435,9.0316,4.1924,0.258,0.1065,0.6448,8.6981,2.4186,10.8469,0.1184,10.1144,8.2246,3.2193,0.1262,4.2835,5.7603,2.6447,2.7361,3.8018,1.6952,0.706,3.7995,1.5529,5.8939,0.2148,1.8221
"CD3E",1.3639,1.7056,0.0204,1.594,0.3034,1.3358,0.0188,0.0203,0.0175,1.5471,0.7254,1.2868,0.0254,1.4965,1.3396,0.7563,0.0293,1.6486,1.1789,0.9965,0.2112,1.424,0.482,0.1013,0.4333,0.0611,0.4497,0.0871,0.0772
"MT-ND1",0.7982,0.6903,0.8998,0.8386,0.5499,0.6971,0.9878,0.9596,1.0958,0.5399,0.898,0.8132,1.7316,0.6601,0.5113,1.242,1.6576,0.7353,0.6856,0.6959,0.9216,0.6777,1.3246,0.8572,0.731,1.1554,0.8206,1.5281,1.2346
"FCGR3A",0.0038,0.0038,0.0028,0.003,0.7156,0.0042,0.0042,0.0021,0.002,0.2798,0.0165,0.0038,1.1297,0.0052,0.5112,0.0489,0.1189,0.0028,0.1971,0.0035,0.0965,0.0411,0.3314,0.006,0.2424,0.0035,1.189,0,0.0032
"HLA-DRA",0.0151,0.0148,1.2273,0.0159,0.0598,0.0142,1.3863,1.1653,1.9135,0.0939,0.5524,0.0186,1.5128,0.0137,0.0708,0.2937,0.907,0.0185,0.0707,0.0263,0.102,0.0247,0.9342,5.2797,0.7235,5.0335,0.0835,2.402,1.5227
"TRGC1",0.0069,0.0057,2e-04,0.0184,0.139,0.0107,7e-04,0.0014,8e-04,0.0893,0.0101,0.0029,0.0029,0.0852,0.2328,0.0034,0.0037,0.0188,0.0833,0.0826,0.1998,0.3362,0.014,0.0034,0.0812,0.008,0.109,0,0.0028
"TRGV9",4e-04,3e-04,3e-04,0.0027,0.0888,0.0027,6e-04,7e-04,6e-04,0.0567,0.003,0.0023,5e-04,0.0486,0.1082,0.0016,0.0012,0.0032,0.0452,0.0231,0.0899,0.2605,0.0051,0.0027,0.0355,0.0015,0.0404,0,0.0388
"TRBC1",1.3613,1.4553,0.0444,1.7212,0.8786,1.2495,0.0427,0.0441,0.0424,1.6578,0.7104,1.287,0.0596,1.5422,1.3188,1.0497,0.0326,1.3888,1.2083,1.2273,0.4219,1.1887,0.4641,0.1427,0.633,0.0817,0.731,0.0978,0.1235
"TRDV1",0.0078,0.0063,0.002,0.0107,0.0029,0.0062,6e-04,0.0023,0.0023,0.0173,0.0077,0.0095,3e-04,0.2367,0.1111,0.0165,0.0024,0.0223,0.0187,0.0158,0.0017,0.0076,0.0102,0.0036,0.019,0.0017,0.0074,0,0
"TRDV2",0.0014,0.002,0.0013,0.0016,0.0028,0.0022,0.0014,0.0012,0.0011,0.0066,0.0027,0.0012,0.0025,0.0251,0.0295,0.0021,0.0015,0.0056,0.0111,0.0163,0.0011,0.1892,0.0088,0,0.0126,0,0.0069,0,0
"TRDC",0.0176,0.0262,0.0037,0.0271,0.8556,0.0248,0.0025,0.0025,0.0038,0.0558,0.049,0.0225,0.0051,2.195,1.2761,0.0355,0.0052,0.1223,0.2758,0.2363,1.1234,1.0242,0.0857,0.0157,0.3525,0.0074,0.374,0,0.0064
"IGHA2",0.0011,0.0015,0.0749,8e-04,0.001,0.0019,0.1645,0.0441,0.0277,0.0025,0.0457,5e-04,0.001,0.0015,5e-04,0.0309,9e-04,5e-04,0.0024,0.0019,0.0011,0.0047,0.0223,0.0328,0.0578,0.0022,0,0.0385,7.4614
"IGHG4",7e-04,5e-04,0.0039,0.0013,1e-04,5e-04,0.0181,0.0025,0.0161,3e-04,0.0169,4e-04,2e-04,2e-04,0,0.0357,1e-04,0.0014,8e-04,0.0011,0,0,0.0052,0.0025,0.0023,0,0,0,8.0263
"IGHG2",0.0011,9e-04,0.0208,0.0011,8e-04,6e-04,0.1585,0.0109,0.0491,0.0013,0.0341,1e-04,0,0.0021,0.001,0.0516,2e-04,0,8e-04,0.0013,5e-04,9e-04,0.0203,5e-04,0.0536,5e-04,0.227,0.134,9.1678
"IGHA1",0.0052,0.0033,0.2895,0.0038,0.0036,0.0037,0.4627,0.1022,0.0804,0.0054,0.1467,0.0028,0.0026,0.0032,0.0027,0.346,0.0212,0.0015,0.0082,0.0022,0.0118,0.0029,0.0673,0.0189,0.5411,0.0076,0.0226,0.3741,28.983
"IGHG1",0.0039,0.0038,0.0221,0.0057,0.0046,0.0048,0.267,0.0496,0.1607,0.0031,0.1503,0.0024,0.0064,0.0045,0.0058,0.1716,0.0068,0.0077,0.0077,0.0116,0.002,0.0022,0.1277,0.0033,0.0685,0.0065,0,0.2158,50.9504
"IGHG3",0.0011,0.0012,0.1188,0.0011,3e-04,0.0013,0.2233,0.0215,0.131,0.0023,0.0773,0.0028,3e-04,0.0012,8e-04,0.0763,5e-04,2e-04,0.0033,9e-04,0.0011,9e-04,0.0321,0.0021,0.0645,0.0023,0,0.0699,9.4892
"IGHM",0.0621,0.0568,15.0171,0.0648,0.0543,0.0632,13.2232,12.2677,6.9761,0.0863,5.8493,0.0803,0.0578,0.0609,0.0559,1.017,0.0851,0.0593,0.139,0.0885,0.2766,0.0649,2.8443,0.5604,6.1954,0.4702,0.2051,8.5427,25.2684
"IFI30",0.0237,0.0204,0.2838,0.0176,0.0206,0.0222,0.5246,0.3029,0.4191,0.0244,0.1952,0.0264,9.8778,0.0184,0.026,0.3469,1.8331,0.023,0.0284,0.0188,0.0217,0.0114,3.3596,0.3688,0.2477,2.3408,0.1215,0.6334,0.5177
"LTA",0.0432,0.0374,0.0162,0.0325,0.0099,0.0292,0.0194,0.0116,0.064,0.014,0.0317,0.0644,0.0038,0.019,0.0076,0.1251,0.0096,0.0367,0.0227,0.1004,0.1835,0.0343,0.0396,0.2771,0.0161,0.0143,0.0344,0.0172,0.0336
"TRGC2",0.0715,0.0576,0.0052,0.235,0.9014,0.1264,0.0065,0.0092,0.0105,2.3845,0.1343,0.0639,0.0242,2.095,4.0115,0.1351,0.0469,0.2567,0.9809,0.7165,0.915,2.0716,0.2115,0.0376,0.9746,0.0405,0.7992,0.0146,0.0301
"LTB",0.9409,1.1768,0.4383,0.7375,0.027,0.6751,0.3644,0.1872,0.0892,0.0328,0.6545,0.6349,0.0264,0.8969,0.024,1.1448,0.0355,0.8513,0.4572,1.161,0.2733,0.2382,0.527,6.3254,0.1722,0.5145,0.0874,0.5953,1.2847
"HLA-DPA1",0.0178,0.0203,0.601,0.0165,0.1621,0.0181,0.8433,0.5863,0.6827,0.3125,0.3125,0.0158,0.3389,0.0284,0.2747,0.081,0.0998,0.0159,0.0958,0.0101,0.1471,0.0646,0.3586,2.2089,0.4484,1.7933,0.1975,0.9205,0.6547
"TNF",0.0555,0.0379,0.0811,0.0283,0.034,0.0667,0.1031,0.062,0.2351,0.0511,0.1062,0.064,0.7851,0.0214,0.0354,0.5944,12.7594,0.0462,0.052,0.2635,0.1075,0.3693,1.8917,1.6556,0.1027,0.6202,0.8644,0.6145,0.2942
"MIR155HG",0.1052,0.0634,0.1222,0.0852,0.0591,0.088,0.2931,0.1935,6.3697,0.1166,0.6503,0.2319,0.3695,0.0836,0.0669,0.4275,25.5833,0.0832,0.0864,0.2645,0.7833,0.1942,3.162,4.983,0.5622,10.938,0.2153,0.4328,1.3899
"MALAT1",333.4503,327.5354,262.3056,345.0124,256.9949,344.5948,290.7358,329.2089,291.2189,309.5463,278.1702,363.0578,315.1067,317.6899,292.0394,403.4432,272.0163,315.8751,287.2139,298.4102,219.4211,276.3618,275.6635,341.1348,260.8411,356.7462,410.5672,377.3318,307.4606
"CCL5",0.0237,0.0201,0.0196,0.0805,6.3645,0.059,0.0247,0.0295,0.0258,7.8302,0.1641,0.0322,0.0377,0.6206,8.0929,0.3066,0.1679,0.0694,2.6361,0.0503,0.7176,3.4448,0.4596,0.1039,2.8441,0.1109,3.3139,0.1044,0.0878
"CCL4L2",0.0052,0.005,0.0061,0.0047,0.13,0.0041,0.0065,0.0077,0.3014,0.1096,0.0287,0.0053,0.4166,0.0099,0.1411,0.1067,7.0504,0.0037,0.0494,0.0128,0.026,0.4198,0.7923,0.0048,0.0619,0.1306,0.7903,0.0515,0.0025
"CCL3",0.0188,0.0189,0.0185,0.0171,0.1373,0.0177,0.016,0.0209,0.169,0.0344,0.0396,0.0247,1.4608,0.0104,0.0542,0.4153,22.0099,0.0199,0.0562,0.0262,0.0645,0.1959,2.798,0.0281,0.0843,0.5835,0.2741,0.089,0.0465
"TRAC",2.7368,3.2755,0.09,3.6528,0.1265,2.6429,0.0814,0.1168,0.1016,3.4266,1.4105,3.0485,0.0594,1.4287,1.1828,1.6321,0.0874,2.8926,2.0653,2.5243,0.0977,1.3667,0.845,0.218,0.702,0.1209,0.509,0.1925,0.2553
