"cluster","score_T","score_gdT","score_B","score_Plasma","score_NK","score_Monocyte","score_DC","score_Platelet"
"0",0.1067,-0.0339,-0.2744,-0.0172,-0.1354,-0.0367,-0.0703,-1e-04
"1",0.2038,-0.032,-0.2625,-0.0145,-0.1253,-0.0361,-0.0671,0
"10",-0.1604,-0.0287,0.1214,0.005,-0.1337,-0.0275,0.0311,-3e-04
"11",0.0913,-0.031,-0.2682,-1e-04,-0.1173,-0.0343,-0.0645,-2e-04
"12",-0.4073,-0.0617,-0.2727,0.0817,-0.1229,0.6551,-0.0334,0.0016
"13",0.079,0.3022,-0.2571,-0.0177,-0.013,-0.0367,-0.0664,-5e-04
"14",0.0987,0.3439,-0.2771,0.0408,0.6322,-9e-04,-0.0637,-6e-04
"15",-0.0504,-0.0215,-0.15,0.011,-0.0651,-0.0044,-0.0253,3e-04
"16",-0.3392,-0.0568,-0.2324,0.0916,-0.1087,0.2144,0.0589,0.0011
"17",0.1875,-0.0058,-0.309,-0.0212,-0.1537,-0.0453,-0.0842,-5e-04
"18",0.0662,0.0877,-0.3164,0.0205,0.3188,-0.0273,-0.0771,-4e-04
"19",-0.0035,0.048,-0.2577,0.0109,-0.1062,-0.0385,-0.0684,1e-04
"2",-0.469,-0.0373,0.484,0.0063,-0.1437,-0.0142,0.1435,0
"20",-0.431,0.1641,-0.2957,0.0031,1.3326,-0.0342,-0.0326,-0.0011
"21",0.037,0.2518,-0.2736,0.043,0.237,-0.0334,-0.0611,1e-04
"22",-0.2629,-0.0304,-0.1001,0.0478,-0.0615,0.2841,0.0061,0.0014
"23",-0.455,-0.0636,-0.3455,0.2023,-0.1552,-0.0344,0.1902,-0.0011
"24",-0.2718,0.0955,0.1395,0.0416,0.3362,-0.0035,0.0453,1e-04
"25",-0.4118,-0.0546,-0.2923,0.053,-0.1391,0.1562,-0.0105,0.002
"26",-0.1911,0.0573,-0.2058,0.0712,0.555,0.0389,0.0436,2e-04
"27",-0.3078,-0.0252,0.3637,0.0367,-0.0846,0.0028,0.1428,-0.0013
"28",-0.4566,-0.0598,-0.0615,0.9981,-0.1685,-0.0162,0.0141,0.0015
"3",0.2469,-0.0153,-0.2561,-0.0179,-0.121,-0.0355,-0.0682,-2e-04
"4",-0.3362,0.1246,-0.277,0.0546,0.8754,0.0111,-0.0534,-1e-04
"5",0.0964,-0.0271,-0.2814,-0.0068,-0.1332,-0.0363,-0.069,-5e-04
"6",-0.4945,-0.041,0.4775,0.0301,-0.152,1e-04,0.1224,-8e-04
"7",-0.4661,-0.0384,0.3989,0.0111,-0.1358,-0.0138,0.0917,0
"8",-0.4709,-0.0484,0.2128,0.0188,-0.154,-0.0103,0.1062,-7e-04
"9",0.353,0.1388,-0.2644,0.0474,0.4221,-0.015,-0.0616,-2e-04
