"cluster","n_cells","pct_of_total"
"0",41890,17.16
"1",39200,16.06
"10",6103,2.5
"11",5577,2.28
"12",5469,2.24
"13",5422,2.22
"14",5055,2.07
"15",3801,1.56
"16",3408,1.4
"17",3330,1.36
"18",3364,1.38
"19",2265,0.93
"2",23417,9.59
"20",2214,0.91
"21",1634,0.67
"22",1499,0.61
"23",1173,0.48
"24",865,0.35
"25",733,0.3
"26",589,0.24
"27",429,0.18
"28",328,0.13
"3",19622,8.04
"4",13522,5.54
"5",13269,5.44
"6",12794,5.24
"7",10211,4.18
"8",9447,3.87
"9",7446,3.05
