"cluster","BCG_treated","media_treated"
"0",21502,20388
"1",17687,21513
"10",2756,3347
"11",2902,2675
"12",66,5403
"13",2608,2814
"14",2623,2432
"15",1752,2049
"16",2889,519
"17",1717,1613
"18",1380,1984
"19",1119,1146
"2",11378,12039
"20",1138,1076
"21",835,799
"22",387,1112
"23",545,628
"24",345,520
"25",370,363
"26",316,273
"27",210,219
"28",166,162
"3",9577,10045
"4",7025,6497
"5",6804,6465
"6",6180,6614
"7",5454,4757
"8",5066,4381
"9",3818,3628
