Layer,n_samples,n_pos,n_neg,n_folds,n_predictors_input,n_dropped_missing,n_dropped_nzv,n_predictors_final,n_selected_nonzero,lambda_use,CV_AUC_cvglmnet,OOF_AUC_roc
Plasma_Maternal_Entry,32,19,13,10,34,0,0,34,0,0.16767870343362884,NA,0.7348178137651822
Flow_Maternal_Entry_DosR,28,16,12,10,53,0,0,53,0,0.20239077895231183,NA,0.7005208333333334
Flow_Maternal_Entry_E6C10,30,17,13,10,53,0,0,53,0,0.1779612485068394,NA,0.6968325791855204
Flow_Maternal_Entry_GAG,23,12,11,10,53,0,0,53,0,0.1800894310508601,NA,0.7045454545454546
