"Sample_ID","singlet","doublet","pct_doublet"
"6062151",4830,286,5.59
"6067021",4894,292,5.63
"6063421",6386,478,6.96
"6063411",1738,80,4.4
"6044931",6441,475,6.87
"6044981",7946,841,9.57
"6061161",6956,600,7.94
"6063481",6657,601,8.28
"6071261",7618,587,7.15
"6065761",7252,640,8.11
