"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25"
"CD101",0.267524709235801,0.00297616271488262,0.722439689339473,0.099553633499269,0.0482680098984754,0.263994762882031,0.490530866059092,0.0961008771308216,0.00335972136235175,0.104155623511047,0.0462651373817335,0.0175139830552682,0.123394785878831,3.57290566322701,0.265734748629572,0.0462210021389445,0.00239033293119758,0.229094344279775,1.02869201101917,0.00918695395771441,0.143473005915971,2.40958308989847,0.00226724098405848,0.169421013489291,0.0610384473013895,0.0151391137813056
"ITGAE",0.0223816766404224,0.023861973227871,0.102696892988764,0.019925644887739,0.0120907700741045,0.0326535204875033,0.0226978463744956,0.101057585839125,0.0330378750910198,0.0198004046285564,0.0221510404051134,0.0643984004531301,0.0791270774511,0.0650496032298984,0.0651201934152127,0.0638534527543331,0.0351498906366838,0.157211219619805,0.697333171021919,0.0314149272969265,0.0412094730355348,0.111185800190259,5.45271914068883,0.032654041686503,0.0393814375535234,0.0425143473467807
"ENG",0.000763948054751023,0.00148488283599183,0.00156699078867145,0.000931452048615089,0.00118257998704102,0.00188749857350794,0.001147071325072,0.000498902755964468,0.00257113955962457,0.00187618204215575,0.00156337938584057,0.00127251703634876,0.00181712746130308,0.000799511354573643,0.00295694433217757,0.000682179907555408,0.00856517550933715,0.00117036664076064,0.0032963168590811,0.0043131137873964,0.000242906521121821,0.00108071296327518,0.00385897488206883,0,0.0544211914274061,0
"LAMP1",0.0113186878150971,0.061450952351428,0.0249199548272287,0.0156707727327245,0.00389192189827879,0.00893180954167332,0.00950201372089968,0.0178045515876345,0.0209867485576407,0.0265402273619714,0.0430827916729441,0.266966790397895,0.00913896337949776,0.395532835745492,0.0793445182265522,0.0300342188753486,0.244471278570417,0.0457332424277232,0.00504443713670889,0.0157255526546071,0.0082964881932496,0.0705580356425336,0.0384804918891049,0,0.524753117722009,0.0762798101532274
"NECTIN2",0.00115408869815291,0.000529072829767698,0.00104164463351037,0.00272873726239465,0.000345882996807943,0.00249318704126674,0.000500677286186927,0.00126821117436651,0.00163780307137186,0.000176771614652915,0.00165232099216305,0.000483211827052836,0.000366422788058109,0.00853718747605985,0.00612469552573488,0.00205085188068753,0.000166202311113583,0.00158426950018568,0.00139338172307838,0.000562786655351808,0.00139181619910033,0.00700667881978243,0.000455621757086215,0,0.0385761697968758,0
"IFNGR1",0.00629075342059537,0.0649608148592951,0.00585446597341673,0.00968708485557712,0.00152803435425256,0.0117178237084888,0.00589105235804216,0.00637113843065745,0.0596768916298226,0.00485772574566747,0.00205285489463846,0.194375884147491,0.00366475055998046,0.219273936558057,0.010663219877596,0.00605422792399887,0.0433676675932236,0.0534506070289743,0.00288192144860151,0.0116243911364365,0.00445064320552044,0.12120522753315,0.0104397142987559,0.00503839782943023,0.636071076556408,0.0390047952056081
"ITGAL",1.97013677872703,0.373430988786788,1.83887449128879,4.62177267592121,1.11136013991467,1.98096973230058,5.76458900976164,3.04193107931591,0.222755616728401,1.61909655704517,0.671681331935211,0.638458264957562,1.78895778922873,6.10659760391702,2.32683270961008,4.03487236810785,0.440502123592387,5.37427218354124,5.27662954323063,2.66254649101795,1.26055299806398,3.27326707518394,1.65100099121729,2.40576302251943,1.45122417477289,0.660113658327568
"ITGAM",0.00948867528365348,0.0113982461095287,0.00998263304918734,0.21271355163427,0.0031889339838332,0.0040863691728686,0.0179731566485347,0.0150528827389556,0.0119469764783426,0.0156436387029081,0.00942848053059276,0.0479204280124379,0.00554673990022049,3.56817108140422,0.0361889287893536,0.128049866733542,0.0127199952641461,0.105747381951568,0.0217718313868545,0.177159020330468,0.00149911774865949,0.0614973549073565,0.134146511408266,0.0310295558902864,0.228712891748584,0
"ITGAX",0.0287079524584136,0.0422590193382171,0.0250442334680906,2.55298034970628,0.0133294372487527,0.01794762301621,0.271272445656151,0.0192778028387938,0.0395515465993603,0.0249861039315571,0.0406782614102086,1.99375418312229,0.0208215167956938,12.4688746143192,0.268502858987854,0.567994143907636,0.161801435393113,0.585908064888127,0.312335537564509,5.09900046601715,0.00424776511254524,5.88917395922704,0.245643917736051,0.513380978165328,0.0462207613045659,0.0129847407236736
"IL2RB",0.0116565947341497,0.00836229113669828,0.0128503944359516,0.607659122476836,0.00365940122885931,0.00850593684815128,0.0341392648232407,0.0214168215880279,0.00674082851620512,0.00845699675074846,0.0158046412250136,0.00939237849698637,0.0318355116583452,0.0287238459395808,0.0491294651634294,0.0785721040393276,0.00324587680488952,0.103814541374507,0.0942447957014798,1.30467955634916,0.000654112039409071,0.0367974967322249,0.00251499008182272,0.147923945318272,0.00498802546726566,0
"IL3RA",0.0155485241504126,0.736809865000859,0.00835435140146762,0.0163231975095606,0.00821260441987331,0.0205748770620513,0.00883586203279257,0.0360928664948913,1.25580551850682,0.0128404539211591,0.00916348515125014,0.479887902767421,0.00526166023591844,2.61676895087605,0.0868801998812919,0.00807799123711798,0.584314007252596,0.0283986057404712,0.0180895350043631,0.041689423835581,0.00471608945594353,8.934088307755,0.0132802631393827,0,0.045212679085313,0.499097837069548
"IL4R",0.00263941874444631,0.0123196618959363,0.00137236557568864,0.00122261906298738,0.00182567457917791,0.00415343227765924,0.00282667592907706,0.00602734445863852,0.00970549566402087,0.000996708353889389,0.000844350238107953,0.011122809773122,0.00177792961304712,0.0059317950420808,0.002675055425418,0.000767422045020162,0.00932123727360197,0.000541780481665413,0.00209193086787512,0.00180942452195465,0,0.0192213121483431,0,0.000250262667023211,0.0162765019300471,0
"IL7R",2.03841580972214,0.0227473344714483,1.56886093068833,0.0124694112214009,0.71617076389056,2.17344473018644,0.0146227936510393,1.0424197847325,0.0330470600259021,1.60263554710001,0.45277050157621,0.0447573173478906,0.0829681951949504,0.0981347529381473,0.805333337512123,0.804522371241686,0.0314492427019595,0.637672579570384,0.0689557333362242,0.0372733597057662,1.20863933366787,0.0290685253691656,2.15250107284218,0.831635947714216,0.962357816582383,0.119359771692174
"ANPEP",0.0145570963853005,0.0171052941338899,0.0137921408894025,0.0132087597367767,0.00932965148153313,0.0169514540083103,0.0162619585966042,0.0196021796144781,0.0201943051609919,0.0103887202970616,0.00989425225308528,0.082557721175809,0.0129619807448033,2.36869909878499,0.0434801179724358,0.0197709260753471,0.0292743343515342,0.0157759635781053,0.0105552412339485,0.0160378461279155,0.0118783521932479,0.463653177426689,0.0158269781138497,0.0243188953726488,0.359222918252723,0.0133963266284382
"TNFRSF4",0.00341203245712159,0.00444925163429512,0.00230263949457166,0.00222360044824538,0.000894705714522149,0.00399374448871573,0.00123725880650985,0.0249410532152523,0.00395515980519904,0.00188671317514885,0.00255831180655796,0.00408766568892058,0.00830430750923825,0.0103865245319326,0.00864218961049504,0.00232504988633692,0.00189892847864442,0.00370007860069818,0.000524474209106286,0.00289766514367004,0.002108770395395,0.00530769306472575,0.0182302424444347,0,0.279111595807915,0
