"","CD8A","CD8B","CD3D","CD3E","CD3G","TRAC","TRBC1","TRBC2","CD4","IL7R","FOXP3","IL2RA","CTLA4","IKZF2","CCR4","RORC","GATA3","TBX21","BCL6","CXCR5","MAF","ICOS","BATF","TNFRSF18","TIGIT","CCR7","SELL","TCF7","LEF1","BACH2","BCL2","S1PR1","KLF2","FOXP1","SATB1","GZMB","GZMA","GZMH","GZMK","GZMM","PRF1","GNLY","NKG7","KLRG1","CX3CR1","FGFBP2","FCGR3A","EOMES","RUNX3","PRDM1","ZEB2","ID2","TOX","TOX2","PDCD1","HAVCR2","LAG3","ENTPD1","CD160","CD244","CD27","CD28","MKI67","HLA-DRA","HLA-DRB1","CD38","FAS","TNFRSF9","CXCR6","CD69","ITGAE","ITGA1","ZNF683","TRDV1","TRDV2","TRGV9","TRDC","TRGC1","TRGC2","TRAV1-2","SLC4A10","KLRB1","ZBTB16","TYROBP","KLRD1","KIR2DL3","KIR3DL1","NCAM1","KLRF1","KLRC1","KLRC2","NCR1","NCR3","FCER1G","SH2D1B","SPON2","CLIC3","MYOM2","ISG15","IFIT1","IFIT2","IFIT3","IFI44L","MX1","OAS1","STAT1","IRF7","HSPA1A","HSPA1B","HSP90AA1","DNAJB1","IFI27","CCL3","CCL4","CCL4L2","CCL5","XCL1","XCL2","IFNG","TNF","CSF2","B3GAT1","CD19","MS4A1","CD79A","CD79B","PAX5","BANK1","BLK","BLNK","TCL1A","IGHM","IGHD","IGKC","IGLC2","XBP1","MZB1","JCHAIN","IGHG1","IGHA1","IRF4","CD14","LYZ","S100A8","S100A9","S100A12","CSF1R","CD68","MARCO","VCAN","FCN1","MNDA","FCER1A","CLEC10A","CD1C","BATF3","IRF8","LAMP3","LILRA4","CLEC4C","TCF4","IL3RA","PPBP","PF4","GP9","ITGA2B","TUBB1","TREML1","HBB","HBA1","HBA2","ALAS2","SLC4A1","GYPA","CD34","SPINK2","AVP","CYTL1","SOX4","HOPX","KIT","AREG","NCR2"
"10",3.1,2.84,64.88,70.5,39.29,14.88,24.25,49.36,11.94,79.23,0.91,0.91,2.25,16.38,0.91,0.05,15.85,1.39,8.35,1.18,0.91,45.29,19.43,1.12,1.02,74.95,60.55,71.25,75.32,72.59,19.22,56.05,81.91,79.87,44.43,3.32,3.37,2.89,1.12,29.12,2.89,3.16,3.91,5.25,0.64,3.85,1.28,0.75,28.16,2.14,4.66,21.15,15.9,5.89,0.37,1.98,1.23,0.32,0.59,0.48,25.27,23.66,0.21,3.43,4.34,7.71,5.35,0.54,0.05,62.04,12.85,1.02,0.75,1.45,0.21,0.48,0.91,0.21,1.98,1.02,0.43,1.98,0.32,2.36,2.52,0.43,0,0.16,0.43,0.32,2.03,0.16,0.75,1.77,0.59,3.1,2.73,3.69,16.43,2.62,4.23,4.28,8.24,15.69,2.68,22.86,23.07,9.1,8.73,70.02,44.38,0.43,1.12,3.27,1.45,4.12,0.11,0.37,0.27,6.37,0.05,0.11,0.37,1.12,2.78,0.91,0.43,0.59,1.18,0.48,0.43,1.12,0.54,0.59,0.59,21.52,0.43,0.7,0.11,0.37,7.87,0.27,0.96,0.86,1.55,0.21,0.16,0.96,0,0.16,0.8,0.16,0,0,0.16,0.32,1.82,1.18,0,0,3.75,0.7,0.27,0.11,0,0,0.05,0,14.24,0.7,0.7,0.37,0.11,0,0,0.75,0.05,0,30.14,1.34,0,6.05,0
"11",0.41,0.14,1.69,0.34,0.41,6.02,1.01,71.94,0.14,1.08,0,10.89,0.14,12.98,0.07,0,0.14,5,17.44,52.33,0.14,0.27,13.52,44.76,1.28,84.04,28.4,12.17,1.01,79.11,72.21,50.37,65.45,89.32,10.82,0.27,0.14,0.2,0,1.08,0.34,1.08,4.67,2.3,0,0.2,0.07,0.07,71.87,1.56,70.45,9.53,6.42,9.8,6.22,2.03,0,14.06,0.14,0.88,18.12,0.2,0.47,99.93,99.86,10.34,26.23,0.41,0,76.4,31.85,0,0,0,0,0,0.07,0,0,0.14,0.88,0.27,0.95,2.5,0.34,0.07,0,0,0.2,0.14,0.14,0.14,12.58,0.2,0.07,4.53,16.16,2.7,31.24,1.89,9.33,7.1,20.42,38.47,28.67,41.11,50.57,10.62,9.26,94.39,19.61,1.42,1.28,2.84,2.84,2.97,0,0,0.07,30.9,0.2,0.07,57.61,97.9,99.46,76.61,45.64,83.3,72.82,58.96,10.48,76.13,48.41,53.21,23.19,31.24,25.83,35.43,31.24,31.58,56.52,0,0.14,0.14,0.54,0,0.54,8.18,0,0.14,0.2,4.6,0.07,0,19.27,1.08,52.67,0.2,1.96,0.07,74.65,7.23,0.14,0,0,0,0.27,0,18.8,1.89,1.69,1.22,0.27,0.07,0,0.14,0.07,0.07,14.27,11.02,0.07,5.54,0
"12",1.06,1.74,81.53,86.3,60.56,31.49,34.52,63.97,15.75,79.64,55.11,21.73,30.13,66.99,8.25,0.08,30.96,0.3,16.58,1.82,4.16,41.79,32.78,4.84,20.59,91.52,82.89,75.09,83.35,76.46,38.53,72.82,90.31,91.9,52.91,0.45,0.45,0,0.08,26.34,6.51,0.98,0.61,8.86,0.08,0.3,0,0,30.81,4.77,1.06,5.75,33.99,10.83,1.67,0.91,1.06,2.57,0.15,0,47.69,25.97,0.38,1.97,4.01,4.84,17.87,2.57,0.98,43.53,18.4,0.08,0,2.12,0,0,0.68,0.3,0.91,0.83,0.23,2.5,0.23,0.08,0.15,0,0,0.08,0,0.08,0.15,0,4.47,4.47,0,3.03,7.49,1.36,23.85,3.1,4.39,4.84,10.3,26.72,7.95,25.06,31.79,9.24,3.18,75.85,48.07,0.76,0.23,0.15,0.08,0.38,0,0,0,3.18,0,0,0,0.15,5.75,1.67,0.08,0.38,1.44,0,0.08,0.45,0.08,0.08,0.15,24.07,0.3,0.45,0.3,0.08,10.75,0.08,0.3,0.3,0.53,0,0.08,0.38,0,0,0,0,0,0,0,0.23,0.53,4.92,0,0,5.07,0.61,0.08,0,0,0.08,0.08,0,9.99,0.61,0.53,0.15,0,0,0,0.83,0,0,27.93,0.08,0,2.42,0.08
"13",1.42,1.03,5.92,6,3.31,1.74,3.47,6.79,27.62,10.02,0.47,1.5,0.39,3.16,0.55,0,1.42,0.63,34.81,1.74,5.84,2.76,9.08,8.84,0.39,10.5,28.02,6.24,5.76,15.63,19.1,6.87,51.85,77.35,13.73,1.66,0.95,1.26,0.63,3.08,1.26,2.92,23.99,3.71,9.31,1.03,52.17,0.39,52.64,17.76,94.63,60.62,2.53,1.74,1.26,73.72,0.32,9.08,0.24,14.52,1.82,1.58,0.16,93.84,92.19,8.37,14.13,4.03,0,20.76,18.31,2.76,0.08,0.16,0.08,0.55,0.47,0.16,1.03,0,0.79,1.26,1.26,93.13,3.24,0.63,0.08,0.79,0.32,0.24,0.79,2.05,1.03,92.34,1.34,3.08,1.58,2.13,50.36,7.73,23.84,19.73,28.26,31.25,37.73,57.62,60.69,53.51,24.47,92.11,49.09,17.36,52.33,40.49,37.17,8.84,0.32,0.39,0.24,39.54,0.79,0.08,1.42,2.45,4.42,13.81,0.55,2.21,1.18,1.03,0.47,2.68,1.42,1.18,0.79,40.81,0.47,1.03,0.63,0.32,3.31,48.22,86.98,67.64,83.27,38.04,46.8,88.24,7.18,40.96,74.11,19.02,0.08,1.34,1.03,12.15,33.86,2.05,2.76,0,14.36,59.35,4.74,3.55,0.47,0.79,2.13,0.32,25.73,1.42,1.82,1.1,0.16,0,0,0.08,0,0,9.63,0.95,0.08,9.79,0
"14",26.33,21.65,70.92,71.65,55.49,23.26,31.91,67.85,10.18,56.54,1.53,2.42,4.2,22.94,2.18,0.16,21,11.79,13.25,5.01,4.77,33.6,20.19,9.69,7.11,66.56,57.67,58.24,51.29,69.63,23.91,65.27,77.22,77.79,43.54,25.2,20.19,25.36,6.87,42.81,24.47,23.34,29.64,8.64,7.84,25.44,12.52,10.74,50.89,9.29,35.86,25.93,22.05,8.89,4.68,9.94,11.71,2.26,1.21,3.55,28.68,18.42,1.86,27.22,35.54,23.02,13.09,2.34,2.18,53.63,26.01,4.93,3.8,2.26,0.65,6.14,2.26,0.65,10.1,2.26,0.4,9.45,1.62,7.03,18.98,2.34,0.4,0.73,2.58,2.42,6.54,3.15,4.2,6.14,2.34,18.09,20.76,4.28,31.91,5.49,7.35,7.51,11.79,23.67,8.64,34.89,34.73,10.99,5.74,83.28,40.87,2.42,3.72,18.58,4.93,33.44,0.89,2.18,5.49,5.65,0.16,1.05,5.33,12.52,15.91,9.94,5.17,8.8,9.53,3.63,4.2,11.63,7.92,6.22,3.23,29.32,2.58,3.39,0.32,1.94,16.24,0.89,1.7,1.86,2.75,1.13,0.65,2.67,0.24,0.89,1.45,0.57,0,0,0.4,0.57,7.84,1.94,0.08,0,13.41,2.75,9.77,3.63,1.05,2.18,4.44,0.73,15.75,1.78,1.21,0.81,0.16,0,0.08,1.05,0.08,0.08,21.97,7.75,0.4,3.88,0
"15",30.52,15.47,75.77,79.4,45.49,23.57,58.73,75.1,0.33,83.87,0.17,0.5,0.66,65.51,1.08,0,27.79,8.27,28.21,1.99,0.83,15.3,3.47,8.77,11.25,65.01,34,84.12,60.46,87.18,26.88,70.31,80.4,54.09,45.41,1.57,2.4,1.24,21.59,48.14,6.78,11.08,40.78,14.72,0.33,9.18,1.08,9.59,71.79,0.33,42.6,27.63,36.39,17.62,7.28,3.56,5.05,0.83,2.89,1.57,31.43,17.78,0.25,5.46,9.18,8.6,16.21,8.52,0.25,57.4,36.56,3.89,12.08,28.62,2.73,11.08,27.3,2.4,33.58,0.66,0.58,9.35,1.57,3.14,25.31,3.31,1.24,0.25,0.41,1.08,24.65,2.48,11.08,0.66,0.41,6.37,20.76,5.29,49.63,2.73,2.81,1.57,7.69,34.08,4.38,21.75,47.73,6.29,4.3,88.25,40.69,0.74,0.58,1.65,0.66,38.54,7.69,8.52,1.82,0.83,0,0,0,0.25,11.08,0.41,0.17,0.25,1.41,0,0,0.99,0.25,0.17,0.25,41.03,1.9,0.25,0.17,0.33,8.35,0,0.17,0,1.65,0,0.41,0.25,0,0.17,0,0,0,0,0.08,0.58,3.72,5.38,0,0,1.9,0.83,0.33,0.08,0,0.08,0.08,0,15.38,0.74,0.66,0.17,0.08,0,0,0.5,0.33,0,38.71,5.79,0.91,14.97,0
"16",0.47,0.28,1.04,1.04,0.66,1.98,0.85,40.08,0.28,1.23,0,3.31,0,15.5,0,0,0.19,1.23,19.75,57.37,0,0.38,3.31,25.8,0.38,77.03,30.72,3.78,2.36,89.13,55.1,30.62,72.02,88.94,27.5,0.47,0.09,0.28,0,0.76,0.19,1.04,0.95,0.66,0.09,0.09,0.09,0.09,37.81,1.42,46.5,10.21,0.95,1.23,2.08,0.19,0.38,3.31,0,2.08,0.47,0.38,0.28,99.43,99.24,13.89,7.66,0,0.09,95.65,14.37,0,0.09,0.09,0.09,0,0,0,0.09,0,0.66,0.28,1.51,0.66,0.76,0,0,0.19,0.38,0,0.28,0.19,7.66,0.19,0,2.84,2.08,2.74,29.58,0.95,3.59,1.42,19.19,19.94,7.28,23.16,39.41,15.12,21.55,91.68,46.31,0.57,1.32,6.33,4.25,1.8,0,0.09,0,23.91,0,0,33.27,89.22,93.86,33.74,34.31,67.77,35.92,22.59,19.38,60.49,38.19,32.33,11.25,17.11,16.26,16.64,1.32,6.81,52.27,0.09,0.28,0.57,1.04,0.09,0.19,1.13,0,0,0.09,0.38,0,0,2.36,0.19,58.22,0.47,0.38,0,66.82,9.83,0.19,0.09,0,0.09,0,0,19.47,1.7,1.51,0.38,0.28,0,0.09,0.57,0.38,0,19.28,2.93,0.09,26.75,0
"17",48.23,14.93,83.08,84.4,50.88,21.24,53.87,66.26,1,49.56,0.11,0.88,1.33,19.14,1.33,10.29,29.65,32.3,18.81,1.77,18.14,13.5,17.81,3.43,7.63,14.71,18.47,40.49,3.43,42.81,8.19,35.84,70.24,39.16,32.74,68.14,51.11,60.51,27.32,77.77,62.61,59.51,97.12,36.28,9.07,44.36,19.8,12.28,77.32,23.12,70.46,59.62,18.36,2.99,6.31,8.41,41.92,0.33,7.08,6.19,14.27,10.4,0.55,15.6,36.17,21.35,17.04,5.31,22.12,84.51,34.18,1.99,10.84,4.76,27.1,44.14,12.17,4.65,28.76,6.75,11.17,68.69,23.89,17.81,56.31,3.87,0.55,0.77,2.65,13.05,13.5,5.42,23.56,1.33,1,37.72,52.77,3.21,55.09,4.87,11.73,8.52,12.06,23.34,5.75,28.65,40.93,28.65,27.43,92.92,62.17,3.32,15.93,62.06,33.85,91.37,6.42,12.61,26.33,29.87,0.11,2.1,0,0.55,1,1.55,0.11,0.22,10.51,0.11,0,0.55,0.22,0.66,0.77,56.31,0.88,0.22,0.22,0.33,13.83,0,0.33,0.55,1.55,0.11,0.11,0.66,0,0,0.22,0.33,0,0,0,0.44,6.31,1.88,0,0,1,0.44,0.11,0.22,0,0,0.22,0,21.35,1.11,1,0.55,0.11,0,0,0,0,0,2.77,21.02,0.88,4.87,0
"18",76.56,66.05,91.76,90.48,77.98,40.34,53.84,82.39,2.98,16.48,0.14,0.28,13.78,23.72,0.85,0.14,30.26,31.82,14.63,3.55,10.23,29.69,33.1,1.7,25.14,34.8,33.52,46.88,21.31,55.54,16.62,58.81,72.44,63.92,28.98,60.65,62.93,63.21,38.78,82.24,62.22,41.34,88.21,20.74,12.64,68.75,23.3,42.76,86.08,20.31,79.69,42.05,34.09,15.48,16.62,30.11,39.77,6.82,5.68,8.38,43.61,22.44,13.21,48.15,68.18,64.2,28.27,7.1,10.51,51.28,51.85,14.35,12.93,2.7,0.14,12.5,5.97,1.7,24.72,7.67,1.14,21.59,1.28,7.67,53.84,4.69,0.71,1.85,3.98,7.67,16.19,4.55,8.66,4.4,4.12,40.34,45.03,1.28,59.8,7.81,13.78,10.65,10.8,38.92,23.86,43.32,53.27,22.02,10.51,96.31,63.21,5.11,5.54,38.92,9.09,86.65,3.84,7.67,10.09,2.7,0,2.41,0.14,0.14,3.98,2.84,0,0.14,6.68,0,0,1.14,0,0.14,0.14,35.8,2.13,0.43,0.43,0.28,31.39,0,0,0,0.43,0.14,0.14,3.12,0,0,0,0.14,0,0,0,0.99,2.7,2.98,0,0,2.41,0.43,0.14,0.28,0,0.14,0.14,0,21.73,0.57,1.42,0.14,0.28,0,0,0.14,0,0,5.97,18.32,0.43,1.56,0
"19",9.15,0.34,2.88,37.12,0.51,1.86,46.1,71.19,0,54.92,0,14.24,0.17,32.88,0,0.17,63.05,21.86,55.42,0.51,4.58,0.68,8.31,68.98,11.69,63.73,72.03,92.03,9.66,92.03,1.86,55.25,50.68,53.22,38.47,82.88,44.24,46.1,64.07,63.39,73.22,98.98,98.81,5.76,0.85,27.46,21.69,23.73,88.64,4.41,64.41,68.47,13.73,6.27,0.34,39.15,0.34,11.69,4.41,23.05,6.95,0,1.02,41.86,55.08,72.88,16.95,5.93,3.05,54.58,29.66,6.1,2.03,0,0.17,25.25,26.95,3.39,17.12,0,2.03,67.63,13.56,97.12,86.78,3.9,2.37,45.25,66.95,78.31,78.14,28.98,25.93,87.46,55.93,15.42,60.85,1.02,55.76,6.1,15.08,8.81,25.42,32.03,8.14,32.37,83.73,24.58,12.88,93.05,23.39,1.02,0.85,4.07,0.68,42.88,66.44,78.64,4.92,3.05,9.83,0,0.17,0.85,2.2,2.54,0,0.34,0.17,0,0,0.68,0,1.53,0.34,63.22,2.71,0.51,0.17,3.22,8.81,0.17,0.34,0,0.34,0,0.17,1.36,0,0,0.17,0,0,0,0,5.76,18.14,1.69,0,0,11.19,0.68,0.51,0.34,0,0,0.17,0,16.44,0.51,0.85,0.85,0,0,0,8.64,0,0,20.68,61.53,15.08,23.22,1.19
"20",0,2.74,83.79,87.28,69.83,15.71,28.93,58.1,23.19,97.76,0,0.5,1,26.18,1.75,0.25,17.21,0,14.71,2.24,0.25,51.37,7.73,0.25,0.25,90.77,82.29,86.28,88.53,84.04,13.22,82.29,92.27,87.03,63.84,0.25,3.49,0,1.5,32.42,0.5,0.75,0.25,3.24,0,2.99,0,0,26.43,1.25,0.25,13.97,30.92,20.45,0,0.75,0,0,0.5,0,36.16,29.93,1,1.25,0.75,8.98,4.74,0,0,44.64,17.96,0.5,0,2.99,0,0,0,0.25,0.25,1.25,0.75,2,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,3.99,13.22,4.99,4.49,3.99,9.23,18.45,3.74,27.43,20.95,6.98,2.99,71.07,37.91,0,0.25,0.5,0.25,0.5,0,0,0.25,4.49,0,0,0,0.25,2.74,0.75,0,0,0.5,0,0,0.75,0.25,0,0.25,29.18,1.25,0.5,0.25,0,4.49,0,0.25,0,1,0,0,0.25,0,0,0,0,0,0,0,0.5,0.25,1.75,0,0,6.48,0.5,0.25,0,0,0,0,0,11.22,0.5,0.5,0,0,0,0,0.25,0,0,54.36,0.5,0.25,2.24,0
"21",2.5,0.31,0.94,5.94,0.62,1.56,2.19,14.06,51.88,19.38,0,0.62,0.62,17.19,0,0,0.94,0.94,15.31,1.88,0.94,1.25,1.25,12.5,0,61.56,66.56,10,2.19,28.44,20,3.44,8.44,80.62,35.62,48.75,0,2.5,0.31,0.31,0,2.5,40.31,3.75,2.5,0,2.5,0.31,72.81,19.06,85,79.69,10,3.75,2.81,40.94,3.12,20.94,0.94,6.88,0.94,0,0.94,98.75,98.44,33.12,21.25,4.38,0,28.75,75.62,0.31,0.62,0,0,0.31,0.31,0,0,0,1.25,0.94,3.12,88.12,1.56,0,0,0.62,0.31,0.31,0.62,0.31,0.94,80,0,34.69,49.06,3.75,40.94,1.25,12.81,5.31,39.69,62.5,13.12,68.75,86.88,37.5,21.56,98.75,36.25,8.75,3.12,1.88,5.94,3.44,0,0,0.31,15.62,0,0,0.62,0.62,7.19,1.25,0.31,6.25,31.56,39.38,8.75,40.94,4.38,49.06,14.69,74.38,46.25,52.19,0.62,1.88,56.88,4.69,40.31,10,20,4.69,20,65.62,0.31,11.88,16.88,13.12,18.12,8.12,17.5,2.19,69.06,5.94,37.5,20.94,75.94,71.56,4.69,0.62,0.62,1.25,1.56,0.62,30.63,1.56,0.62,0.94,0,0,5,9.06,5.31,4.69,37.81,8.12,6.56,24.06,8.12
"22",3.8,3.04,39.92,38.78,15.21,14.07,55.89,66.92,0.76,97.34,0,33.08,0,10.65,34.22,15.21,82.51,1.9,17.87,1.52,31.56,36.5,12.55,61.6,0,42.97,50.57,75.67,31.56,73.76,10.65,85.17,62.36,62.74,46.77,1.9,1.9,0.38,0,15.59,4.56,8.75,15.21,36.12,0.38,0.38,0,0,60.46,3.8,27.38,33.08,14.45,3.42,6.08,1.9,0.76,0.38,0,0.38,13.31,13.31,0.38,2.28,2.66,0.76,36.5,13.31,6.08,54.75,34.6,8.75,1.9,0.76,0.76,7.6,14.83,2.28,7.6,0.76,0.76,96.58,30.8,9.89,0.76,0,0,0,0.38,2.66,1.52,0.38,25.48,17.11,4.56,2.66,16.73,4.94,41.83,3.8,7.22,9.89,17.11,28.14,4.56,25.1,42.59,9.51,4.56,89.73,25.86,0,0,0.38,0.76,0.76,4.94,6.46,0,7.98,2.66,0,0,0.38,4.94,1.9,0,0,26.62,0,0,0.38,0,1.14,0,73,0,0.76,0,0.38,1.9,0,0,0,0,0,0,1.14,0,0.76,0,0.38,0,0,0,0.76,0.76,1.9,0,0,2.66,2.28,0,0,0,0,0,0,13.31,1.14,0.38,0.38,0,0,0,2.66,0,0,27.76,21.67,24.71,6.84,0.38
"23",15,3,65,69,52,21,37,66,9,60,5,1,5,26,1,1,27,16,13,5,6,25,16,5,11,62,59,69,54,60,17,60,81,77,47,34,23,30,2,43,34,35,36,14,13,32,25,7,54,14,38,39,18,8,1,16,6,1,0,10,28,29,0,9,15,27,10,2,0,53,30,1,4,1,0,6,4,1,9,1,1,29,5,29,34,12,1,10,19,12,26,10,5,17,20,27,31,7,38,4,6,11,14,29,4,34,40,6,2,79,30,1,6,28,4,34,1,7,3,1,0,0,1,1,1,5,0,1,0,0,0,2,2,2,0,29,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,10,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,1,25,11,0,7,0
"24",1.64,1.64,55.74,57.38,37.7,22.95,18.03,65.57,8.2,65.57,1.64,1.64,3.28,29.51,1.64,0,18.03,0,9.84,4.92,6.56,27.87,18.03,14.75,4.92,90.16,67.21,65.57,59.02,88.52,37.7,72.13,75.41,85.25,45.9,0,9.84,1.64,6.56,16.39,1.64,1.64,1.64,4.92,1.64,1.64,0,0,39.34,3.28,22.95,8.2,19.67,11.48,1.64,0,1.64,0,0,0,36.07,16.39,0,31.15,31.15,14.75,6.56,0,0,49.18,14.75,4.92,0,1.64,0,0,1.64,0,1.64,1.64,1.64,4.92,1.64,0,0,0,0,0,0,1.64,0,0,3.28,1.64,0,3.28,6.56,1.64,18.03,0,6.56,3.28,16.39,21.31,3.28,13.11,29.51,3.28,3.28,83.61,34.43,0,0,3.28,0,8.2,0,0,1.64,4.92,0,0,18.03,19.67,27.87,22.95,11.48,19.67,19.67,11.48,9.84,24.59,14.75,13.11,9.84,36.07,3.28,1.64,0,3.28,21.31,0,0,3.28,0,0,0,1.64,0,0,0,1.64,0,0,1.64,0,13.11,0,0,0,27.87,1.64,0,0,0,0,0,0,9.84,0,0,0,0,0,0,0,1.64,0,19.67,1.64,0,11.48,0
"25",2.17,2.17,10.87,6.52,8.7,2.17,6.52,34.78,0,13.04,0,0,2.17,6.52,0,0,4.35,4.35,4.35,4.35,0,4.35,13.04,10.87,2.17,10.87,23.91,8.7,10.87,45.65,36.96,19.57,71.74,26.09,6.52,4.35,2.17,2.17,0,6.52,2.17,6.52,6.52,2.17,2.17,4.35,2.17,0,32.61,80.43,8.7,17.39,19.57,6.52,0,4.35,0,45.65,0,2.17,41.3,2.17,23.91,39.13,47.83,80.43,15.22,0,0,39.13,30.43,0,0,0,0,0,0,0,2.17,0,2.17,2.17,2.17,2.17,4.35,2.17,0,0,0,0,0,0,0,2.17,0,2.17,4.35,2.17,36.96,6.52,2.17,2.17,0,50,36.96,52.17,47.83,23.91,15.22,93.48,28.26,2.17,2.17,4.35,0,6.52,0,0,0,0,0,0,26.09,8.7,78.26,34.78,6.52,6.52,41.3,45.65,0,45.65,4.35,60.87,41.3,86.96,93.48,95.65,56.52,52.17,69.57,0,2.17,2.17,0,0,0,10.87,0,0,0,0,0,0,0,0,13.04,4.35,0,0,50,0,0,0,0,0,0,0,36.96,0,0,0,0,0,0,0,0,0,30.43,2.17,0,2.17,0
