"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25"
"ISG15",0.1072,0,0.2537,0.8785,0.0888,0.0824,0.9236,0.3894,0.1549,0.1253,0.1105,0.2619,0.22,0.604,0.3731,0.7782,0.3368,0.9573,0.8861,1,0.028,0.3481,0.4665,0.4774,0.089,0.3356
"TNFRSF18",8e-04,0.5288,0.0058,0.221,2e-04,0,0.0538,0.1346,1,0.0015,0.0146,0.4562,0.0606,0.0772,0.1104,0.0938,0.3098,0.0343,0.0149,0.9482,0.002,0.0923,0.8089,0.0449,0.1904,0.0747
"TNFRSF9",0.0017,0.0037,0.0218,0.8064,0.0049,0.005,0.5622,0.0415,0.0298,0.0064,0.0438,0.0164,0.1854,0.2094,0.1886,0.6979,0,0.4187,0.4248,0.4138,0,0.1663,1,0.2097,0,0
"RUNX3",0.0677,0.1883,0.2628,0.9747,0.0698,0.0529,0.9318,0.1572,0.1445,0.0693,0.0702,0.4869,0.0605,0.2135,0.3483,0.628,0.1369,0.8083,0.8087,1,0.0147,0.466,0.3999,0.3749,0.1395,0
"ZNF683",0,0,0.0039,0.3366,0.001,0,1,0.0089,0.0025,0,0.0373,0,0,0.0027,0.1685,0.5057,0.0051,0.5478,0.5623,0.0614,0,0.0194,0.0774,0.1482,0,0
"IFI44L",0.4002,0.5204,0.2745,0.9679,0.3737,0.4104,0.4966,0.542,0.5511,0.2817,0.3554,0.6003,0.3799,0.7764,0.4463,0.2734,0.7893,0.4445,0.351,0.8876,0.3321,1,0.5156,0.4351,0.5439,0
"S1PR1",0.9116,0.6748,0.7147,0.2559,0.9191,0.8726,0.3821,1,0.5342,0.5333,0.6199,0.3813,0.7769,0.0406,0.6809,0.7592,0.2783,0.314,0.4884,0.4641,0.988,0,0.9794,0.6761,0.785,0.1149
"CD160",0.0098,0.0126,0.0151,1,0.0208,0.0129,0.2163,0.0112,0.0152,0.0076,0.044,0.0063,0.0106,0.015,0.0933,0.1968,0,0.518,0.3233,0.2501,0.029,0.0296,0,0,0,0
"S100A9",0.0023,0.0018,0.0022,0.0036,0.0029,0.0039,0.0034,0.0014,0.0018,0.0031,0.0132,0.0018,0.0027,1,0.0298,0.0074,0.005,0.0077,0.0012,0.0015,0.0056,0.1192,0,0,0,0
"S100A8",0.001,6e-04,0.0021,0.0034,0.0014,7e-04,0.0029,7e-04,5e-04,0.0013,0.0102,5e-04,0.0019,1,0.0335,0,0.0034,0.0038,0,0,0,0.0616,0,0,0.0184,0.0109
"CD1C",0,0.0941,8e-04,0,0,0,0,9e-04,0.1811,0,0.0086,1,0,0.0485,0.0201,0.0039,0.1485,0,0,0,0,0.9749,0,0,0.0804,0
"MNDA",7e-04,0.0392,8e-04,0.0038,0,0,0.0049,0,0.0217,0.0026,0.0134,0.2177,0,1,0.0335,0,0.0219,0.0228,0.0056,0,0,0.477,0.0194,0,0.0961,0
"CD244",0.0035,0.009,0.0077,1,0.0038,0.0067,0.2351,0.0031,0.0191,0.0024,0.0201,0.0205,0,0.3499,0.1089,0.0426,0.0595,0.202,0.1956,0.6509,0,0.1013,0.0086,0.3351,0,0.0425
"FCER1G",0.0012,0.0011,0.0155,0.3074,0.0016,5e-04,0.0029,0.0019,8e-04,7e-04,0.0121,5e-04,0.0206,1,0.0418,0.0027,7e-04,0.0073,0.0206,0.602,0,0.4988,0.1067,0.1051,0.0075,0.0125
"FCGR3A",7e-04,4e-04,0.0035,1,6e-04,0.0011,0.5012,3e-04,0.001,0,0.0211,7e-04,0,0.8688,0.1565,0.0108,0.0012,0.2636,0.2782,0.2197,0,0.0127,0,0.3592,0,0.0173
"SH2D1B",2e-04,1e-04,6e-04,1,0,0,0.0167,4e-04,6e-04,0,0.0111,9e-04,0,0.0144,0.0433,0.0055,0,0.0172,0.0566,0.8458,0,0,0.0756,0.3976,0,0
"XCL2",1e-04,0,3e-04,0.2427,0,2e-04,0.0488,6e-04,0,3e-04,0.005,0,0,0.0029,0.0228,0.0997,0.001,0.1699,0.0706,1,0,0,0.0883,0.0742,0,0
"XCL1",2e-04,1e-04,6e-04,0.11,0,0,0.0182,0.0014,0,0,0.0011,0,0,0.0034,0.0097,0.1129,0,0.1125,0.0397,1,0,0,0.1002,0.0109,0,0
"SELL",1,0.3946,0.7826,0.0738,0.9564,0.9864,0,0.5566,0.122,0.5256,0.6389,0.1475,0.9476,0.1398,0.5668,0.2714,0.2154,0.0929,0.2186,0.6448,0.9146,0.3807,0.3826,0.6222,0.671,0.105
"BATF3",0.03,0.0524,0.0794,0.0415,0.0151,0.0183,0.0562,0.0266,0.0094,0.0396,0.0496,0.0829,0.022,1,0.0553,0.0633,0.0237,0.049,0.0845,0.6061,0.0884,0.1652,0.0746,0,0,0
"ID2",0.1434,0,0.1665,0.9504,0.1244,0.1349,0.8263,0.1863,0.1039,0.1061,0.2828,0.0736,0.0482,0.689,0.3045,0.3007,0.1058,0.9012,0.4883,0.8615,0.1485,1,0.3774,0.4821,0.067,0.1677
"GNLY",0.0014,2e-04,0.0018,0.8774,9e-04,0,0.59,0.0064,6e-04,1e-04,0.0218,5e-04,7e-04,0.0108,0.1804,0.0644,0.002,0.4123,0.2819,1,2e-04,0.0014,0.0522,0.3098,0.0128,0.0301
"CD8A",0.0017,0.0011,0.5416,0.3069,0.0019,0.0048,1,0.0078,0.0022,0.0028,0.0292,0.0017,0.0067,0.0102,0.2837,0.3097,0.0032,0.4859,0.8705,0.0543,0,0.008,0.0244,0.1195,0.0148,0.0088
