"","ADGRG1","ANPEP","B3GAT1","BTLA","C5AR1","CCR4","CCR5","CCR6","CD101","CD14","CD163","CD19","CD1C","CD1D","CD2","CD22","CD226","CD24","CD244","CD27","CD274","CD28","CD33","CD36","CD38","CD3D","CD4","CD40","CD40LG","CD44","CD45","CD45RA","CD45RO","CD47","CD48","CD5","CD52","CD58","CD69","CD7","CD79B","CD81","CD82","CD83","CD86","CD8A","CD99","CLEC12A","CLEC4C","CR1","CR2","CTLA4","CX3CR1","CXCR3","CXCR5","DPP4","ENG","ENTPD1","FAS","FCER1A","FCER2","FCGR1A","FCGR2A","FCGR3A","GGT1","GP1BB","HLA-A","HLA-DRA","HLA-E","ICAM1","ICOS","IFNGR1","IGHD","IGHM","IGKC","IGLC1","IL2RA","IL2RB","IL3RA","IL4R","IL7R","ITGA1","ITGA2","ITGA2B","ITGA4","ITGA6","ITGAE","ITGAL","ITGAM","ITGAX","ITGB1","ITGB2","ITGB7","KIR2DL1","KIR2DL3","KIR3DL1","KLRB1","KLRD1","KLRG1","KLRK1","LAG3","LAMP1","LILRB1","MCAM","MS4A1","NCAM1","NCR1","NECTIN2","NT5E","OLR1","PDCD1","PECAM1","PVR","SELL","SELP","SIGLEC1","SIGLEC7","SLAMF6","SLAMF7","TCR-AB","TCR-vA7.2","TCR-vD2","TFRC","THBD","TIGIT","TNFRSF13B","TNFRSF13C","TNFRSF14","TNFRSF4","TNFRSF9"
"0",2.28,2.27,1.14,26.24,0.66,4.57,0.47,1.73,18.16,0.81,0.99,3.71,3.38,0.7,99.93,4.48,2.55,0.51,1.76,95.87,0.19,91.19,2.34,0.74,84.09,99.85,99.79,1.3,0.22,99.69,99.72,92.11,14.63,66.63,99.71,99.98,83.62,0.53,14.58,99.74,0.52,28.45,19.7,0.47,1.98,1.97,62.06,0.79,1.89,11.67,35.52,0.39,0.23,0.32,1.21,85.36,0.25,2.07,1.57,0.6,0.14,2.09,1.06,1.1,18.68,0.75,39.35,1.99,17.7,1.34,92.62,1.34,2.31,0.74,0.4,0.5,1.52,1.31,1.74,0.93,87.02,10.45,0.43,1.36,51.73,1.89,3.72,94.13,1.35,1.46,6.8,87.8,17.11,1.04,1.79,2.24,1.07,1,2.26,0.65,0.05,1.42,0.38,3.73,2.66,1.36,3.43,0.43,5.5,0.46,0.45,34.73,0.37,98.96,0.59,0.65,1.58,54.92,0.29,94.32,3.02,1.88,4.03,0.97,0.52,0.22,1.71,10.41,0.92,25.93
"1",2.23,2.35,1.09,56.69,1.33,1.63,0.54,74.06,0.6,0.63,1.6,99.4,80.69,25.28,3.3,93.85,0.24,30.9,1.63,1.68,0.39,2.15,1.62,1.18,79.61,3.13,2.23,93.9,0.27,84.87,89.85,95.8,0.65,56.69,96.94,21.45,59.6,0.62,48.54,3.1,33.56,33.83,25.33,28.45,6.33,1.65,4,0.76,2.54,98.4,99.34,0.49,0.22,3.13,73.43,1.8,0.43,64.32,0.85,0.84,5.18,2.46,94.02,0.84,0.76,1,82.33,98.18,28,23.53,1.62,10.32,97.77,62.05,37.5,35.12,2.89,0.92,33.49,2.54,3.76,0.96,0.56,1.95,78.16,0.37,3.75,30.11,1.05,1.71,4,23.34,17.79,1.37,1.68,1.56,0.84,1.33,0.82,0.58,0.2,6.75,3.7,2.58,97.54,1.3,1.62,0.14,51.8,0.87,0.28,17.84,0.18,43.58,1.04,0.67,1.62,98.01,0.91,1.76,2.44,1.82,10.62,1.22,0.82,2.16,97.82,23.33,0.48,2.2
"2",2,2.23,1.17,15.58,1.21,2.43,0.58,1.81,36.82,0.88,1.11,3.73,2.83,1,99.83,4.56,2.66,0.37,1.55,90.58,0.28,51.71,2.12,0.89,58.89,98.45,2.15,1.17,0.22,97.8,99.39,98.29,10.57,37.79,99.05,99.71,68.51,0.2,21.52,99.23,0.84,22.78,0.8,0.31,1.92,98.28,35.39,0.65,2.1,21.67,53.64,0.34,0.22,18.96,2.06,49.46,0.41,2.33,1.74,0.69,0.11,2.24,1.26,1.08,2.6,0.68,49.85,1.44,29.25,1.52,63.47,1.52,2.21,0.75,0.55,0.6,1.37,1.63,1.77,0.45,79.59,9.08,0.48,1.35,71.98,0.71,6.5,90.08,1.08,1.75,3.86,86.37,37,0.78,1.6,1.77,1.4,0.92,2.17,19.46,0.09,3.2,0.29,4.29,2.26,1.27,1.78,0.37,80.48,0.57,0.25,85.25,0.25,88.1,0.54,0.52,2.1,70.05,0.32,67.54,6.21,1.55,3.35,0.8,0.8,0.06,2.49,14.76,0.54,24.29
"3",95.7,2.23,38.14,2.76,1.78,1.66,0.82,2.33,8.39,0.9,1,6.88,4.44,0.68,60.24,4.52,8.59,0.45,98.51,3.99,0.2,1.45,3.79,1.49,90.91,25.91,1.8,1.51,0.16,52.38,85.49,94.17,1.6,17.7,80.87,5.22,8.47,2.76,26.64,74.89,0.8,33.23,0.45,0.41,1.88,28.93,91.18,1.43,1.84,2.52,6.47,0.31,22.37,0.63,0.92,1.35,0.27,4.44,22.45,0.49,0.1,2.89,2.17,85.16,0.72,1.1,45.94,5.12,15.1,13.81,2.8,2.15,2.39,1.56,2.39,2.15,1.45,37.86,2.58,0.29,1.9,22.82,0.92,2.33,91.34,3.15,3.13,99.77,17.74,66.34,77.37,99.47,14.3,29.98,33.66,17.9,38.16,68.37,29.18,15.78,0.1,1.56,0.7,2.46,1.31,58.54,45.28,0.47,1.58,0.45,2.84,5.69,0.31,33.95,1.7,0.45,23.51,74.91,3.87,8.53,2.19,2.58,2.72,1.21,16.57,0.57,1.72,6.22,0.43,4.09
"4",0.91,1.58,0.51,11.17,0.33,2.14,0.13,1.13,6.63,0.65,1.29,2.96,2.42,0.67,99.82,3.6,0.58,0.27,0.33,87.94,0.18,72.98,2.42,0.49,70.8,99.47,99,0.96,0.16,98.69,99.29,96.31,4.74,43.64,98.75,99.96,59.39,0.27,7.94,99.47,0.31,16.75,11.34,0.2,1.53,1,43.02,0.53,1.56,6.67,26.16,0.24,0.04,0.13,0.71,72.22,0.31,1.45,0.4,0.58,0.09,1.65,0.69,1,4.89,0.42,21.51,0.8,6.34,1.33,70.91,0.62,1.36,0.49,0.4,0.29,1.78,0.67,1.38,0.33,61.21,3.56,0.27,1.13,30.85,1.6,2.45,81.27,0.65,0.76,4.05,69.86,4.4,0.8,1.2,1.96,0.62,0.71,1.13,0.44,0.09,0.76,0.24,2.54,1.82,0.91,2.2,0.18,3.23,0.4,0.2,29.54,0.2,98.73,0.38,0.42,1.73,33.65,0.13,87.7,2.89,1.2,2.6,0.27,0.27,0.02,1.29,3.36,0.31,15.46
"5",1.75,2.88,0.84,45.2,1.05,4.77,1.13,2.44,20.21,1.13,1.49,6.89,5.63,1.44,99.97,6.39,3.3,0.6,1.34,94.53,0.31,93.11,2.59,0.81,86.72,99.79,99.45,2.83,0.45,99.92,99.84,96.15,32.52,72.58,99.79,100,84.81,0.52,15.82,99.79,1.52,38.33,30.4,0.86,2.36,2.17,58.68,0.52,2.33,14.64,43.1,0.92,0.24,0.55,2.33,87.98,0.58,3.46,1.83,0.81,0.21,2.3,2.12,0.52,17.28,0.76,46.87,3.33,29.35,1.99,93.27,3.14,3.72,1.18,1.05,1.26,2.09,1.57,3.95,1.75,88.32,12.41,0.45,1.41,56.17,2.83,5.55,93.27,1.05,1.39,9.24,88.14,21.26,0.86,2.28,2.78,1.28,0.89,2.78,0.71,0.24,1.96,0.45,4.56,3.98,1.02,4.48,1.05,6.86,0.86,0.47,45.06,0.42,99.42,0.34,1.26,2.04,61.14,0.65,94.47,3.48,2.78,6.31,1.7,0.97,0.76,4.06,34.51,1.7,89.29
"6",96.04,2.21,78.07,3.42,1.37,1.41,0.93,1.98,26.66,0.67,1.25,4.44,4.57,0.67,96.48,4.7,15.7,0.26,79.06,7.54,0.38,1.69,3.29,0.9,57.8,98.21,12.66,1.53,0.35,93.45,98.43,71.77,19.28,13.2,90.54,73.82,24.26,1.95,15.51,32.48,0.38,57.26,0.35,0.35,3.74,88.62,99.14,0.67,1.6,1.89,7.19,0.22,24.84,0.58,1.09,1.57,0.42,2.78,32.77,0.86,0.26,2.33,1.5,15.31,2.49,1.09,51.28,6.14,22.95,5.08,25.7,1.44,2.53,0.54,0.45,0.38,0.99,5.85,2.08,0.58,2.14,19.5,0.99,2.62,96.32,0.45,3.13,100,2.72,11.67,87.6,99.84,7.13,2.65,9.91,4.51,8.47,19.25,57.51,12.5,0.16,1.31,0.8,2.08,1.47,2.3,2.37,0.29,1.76,0.54,5.66,3.1,0.32,25.19,2.37,0.93,2.49,91.59,3.32,75.51,7.96,1.57,2.62,1.53,7.35,0.54,1.69,5.79,0.54,2.21
"7",2.08,3.28,1.26,24.69,2.29,49.08,2.94,11.37,7.41,0.89,1.23,3.35,3.59,0.99,96.52,4.68,14.65,0.65,2.08,83.03,0.82,97.95,2.63,2.77,47.2,98.57,98.91,1.54,0.51,99.69,99.66,16.84,71.99,52.19,99.35,99.8,89,5.64,22.78,84.39,0.55,22.23,57.58,0.72,1.88,2.53,96.21,0.85,1.57,9.12,10.89,0.44,0.27,5.91,5.53,32.96,0.34,10.14,58.74,0.79,0.17,1.84,1.16,0.92,66.73,2.08,52.8,2.63,24.86,5.7,96.72,1.47,1.71,0.58,0.61,0.55,19.67,2.9,3.14,2.02,56.11,6.39,3.07,4.44,86.41,33.4,4.23,96.86,1.47,0.75,60.72,95.53,30.81,1.16,3.31,4.06,19.43,0.92,6.8,0.82,0.14,3.18,0.58,5.84,1.84,1.95,5.19,0.72,7.04,0.51,15.61,4.61,0.38,78.35,3.89,1.4,1.95,96.48,0.44,78.96,2.9,2.9,11.92,1.91,7.24,0.72,2.02,9.6,5.4,21.31
"8",2.65,2.72,1.03,74.08,1.18,1.66,1.51,48.38,0.74,0.88,2.32,99.71,64.62,13.33,4.42,73.12,0.52,87.81,2.36,1.91,0.55,1.88,2.17,1.95,98.82,3.9,2.47,86.34,0.41,35.01,86.01,94.77,0.74,66.97,94.77,30.6,63.22,0.59,56.55,3.98,81.66,85.31,52.28,26.62,9.06,2.06,1.84,1.25,3.17,89.73,88.73,1.1,0.33,3.39,57.88,2.72,0.85,19.59,0.52,0.77,1.77,3.17,95.43,0.99,0.81,1.47,86.34,96.8,28.06,20.51,1.77,9.43,95.36,92.42,53.61,36.05,3.39,0.92,50.66,1.51,5.15,1.14,0.85,2.69,91.46,1.07,5.41,19.26,1.1,1.66,22.13,15.39,26.07,1.69,1.95,2.36,1.14,1.91,1.58,0.88,0.18,1.8,3.98,3.65,99.37,1.18,4.16,0.29,9.02,1.18,0.07,24.45,0.29,21.28,1.55,0.7,1.69,93.45,1.03,2.28,4.27,2.43,5.67,2.06,1.29,1.4,91.27,23.31,0.48,3.35
"9",1.45,1.84,0.77,22.04,0.97,2.61,0.39,1.93,10.2,0.53,0.92,4.16,3.87,0.77,99.9,4.49,1.88,0.34,1.16,88.45,0.14,86.85,2.61,0.53,73.13,99.66,99.52,1.74,0.24,99.13,99.71,91.3,2.75,68.58,99.32,99.95,75.98,0.29,75.93,99.57,0.58,26.58,14.35,0.39,2.37,1.45,43.26,0.87,2.37,16.53,37.07,0.19,0.14,0.19,0.97,84.92,0.63,2.37,1.64,0.97,0.1,1.88,1.11,0.72,17.83,0.58,45,1.59,18.56,1.69,86.9,1.35,2.22,0.58,0.39,0.63,1.88,0.82,1.59,0.63,79.89,8.55,0.39,1.16,48.62,1.5,3.38,90.87,1.21,1.3,4.74,78.73,12.76,0.68,1.55,1.35,0.68,0.63,2.56,0.63,0,4.16,0.34,3.24,1.79,1.01,2.8,0.19,6.38,0.53,0.19,28.03,0.29,68.58,0.63,0.43,1.64,48.28,0.24,91.3,3.04,1.3,3.24,0.72,0.48,0.19,2.17,12.57,0.53,14.6
