Contrast,Analyte,n_A,n_B,median_A,median_B,median_diff_AminusB,p_value,test,p_adj
InfantIGRA_Pos_vs_Neg,CD14,5,24,14.129082613321277,14.481355930104241,-0.3522733167829646,0.3708443333042211,wilcox_unpaired,0.663616175386501
InfantIGRA_Pos_vs_Neg,CD163,4,12,13.90485824274439,14.328248812101478,-0.4233905693570872,0.8556598556131285,wilcox_unpaired,0.909138596588949
InfantIGRA_Pos_vs_Neg,CD25,4,12,7.920541024471401,7.813959961653672,0.10658106281772906,0.30264568476714504,wilcox_unpaired,0.663616175386501
InfantIGRA_Pos_vs_Neg,CRP,4,12,14.590739128355935,14.864455103865337,-0.2737159755094023,0.4305558790359921,wilcox_unpaired,0.6734019291399566
InfantIGRA_Pos_vs_Neg,D-Dimer,3,12,14.981691101732995,15.620395778833277,-0.6387046771002822,0.5160029354435864,wilcox_unpaired,0.7310041585450808
InfantIGRA_Pos_vs_Neg,GM-CSF,5,24,0.21589120821276891,0,0.21589120821276891,0.06565073550538805,wilcox_unpaired,0.5871243540523792
InfantIGRA_Pos_vs_Neg,ICAM-1,4,12,11.388309766138004,10.968404745404342,0.41990502073366187,0.10160634497555672,wilcox_unpaired,0.5871243540523792
InfantIGRA_Pos_vs_Neg,IFN-a2,5,24,0,0.7495311025281353,-0.7495311025281353,0.13814690683585393,wilcox_unpaired,0.5871243540523792
InfantIGRA_Pos_vs_Neg,IFN-g,5,24,2.379120713143607,1.8561211728702323,0.5229995402733749,0.3407786135629546,wilcox_unpaired,0.663616175386501
InfantIGRA_Pos_vs_Neg,IL-10,5,24,1.726159080584935,1.5597609645120443,0.16639811607289068,0.8852339144732017,wilcox_unpaired,0.9120591846087532
InfantIGRA_Pos_vs_Neg,IL-13,5,24,3.584519479914692,1.854341040705058,1.7301784392096342,0.1232169492962,wilcox_unpaired,0.5871243540523792
InfantIGRA_Pos_vs_Neg,IL-17A,5,24,1.391547914378839,1.1587016637790994,0.2328462505997395,0.2365840933218762,wilcox_unpaired,0.663616175386501
