"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"PSMD9",0.1103589480963,0.254403336082823,0.19,0.149,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"LCORL",0.110431489424872,-0.16096895935935,0.665,0.682,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"BAP1",0.110670014032995,-0.194863506928905,0.18,0.157,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RPL36",0.110702220003578,-0.132814223149788,0.23,0.211,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"GATAD1",0.110733961986273,-0.522935002792024,0.114,0.123,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000289942",0.110862652621013,0.231205235266153,0.106,0.129,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"AK8",0.110904700831382,-0.167517295916436,0.154,0.184,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CDKAL1",0.111057481218269,0.205351335684976,0.472,0.434,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ZBTB10",0.111103752179989,-0.179219430345741,0.375,0.413,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PIGV",0.111159812670994,0.481050467212706,0.105,0.074,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CHD7",0.111234920725293,0.296788834782722,0.289,0.24,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PSMD1",0.111313289242036,-0.119110974073126,0.706,0.743,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ROR1-AS1",0.111387103780722,0.641975355370416,0.166,0.151,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ZNF644",0.111419664626311,0.128695324902653,0.701,0.655,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"XKR6",0.111526174865893,0.35601704227241,0.26,0.214,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"SENP7",0.11158762173291,0.301919527076944,0.303,0.277,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"NDUFAF2",0.111639920934544,0.43854925803701,0.314,0.272,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"DCAF17",0.111953453724147,0.304938395952171,0.129,0.095,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PHLDA1",0.112075225395256,0.19186139877548,0.403,0.409,1,NA,NA,NA,"CD14_Mono_Infl","week12"
