"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"INTS6L",0.36865998456324,0.37067244366347,0.307,0.275,1,NA,NA,NA,"MAIT","week12"
"TEX2",0.368876183585273,0.451982513887046,0.197,0.132,1,NA,NA,NA,"MAIT","week12"
"KMT5B",0.368914105301545,0.114757959405432,0.475,0.451,1,NA,NA,NA,"MAIT","week12"
"PGM2L1",0.368985362852676,-0.266338833804495,0.197,0.214,1,NA,NA,NA,"MAIT","week12"
"ZDHHC6",0.369177466867601,0.550283127679777,0.218,0.17,1,NA,NA,NA,"MAIT","week12"
"DSE",0.369289260592596,0.125230571811509,0.186,0.126,1,NA,NA,NA,"MAIT","week12"
"SYNJ2BP",0.369773691332689,1.09649259575454,0.108,0.06,1,NA,NA,NA,"MAIT","week12"
"RGL2",0.369792762794642,-0.351085088760815,0.093,0.11,1,NA,NA,NA,"MAIT","week12"
"RMDN1",0.370282551898415,0.38802656243243,0.203,0.137,1,NA,NA,NA,"MAIT","week12"
"TRIM13",0.370335625082049,0.249093927961547,0.173,0.159,1,NA,NA,NA,"MAIT","week12"
"FXR1",0.370369999627419,-0.288416585331824,0.4,0.423,1,NA,NA,NA,"MAIT","week12"
"GRIPAP1",0.370558575902793,-0.193422505743185,0.458,0.489,1,NA,NA,NA,"MAIT","week12"
"CCDC43",0.371165705736154,-0.513891164214161,0.091,0.115,1,NA,NA,NA,"MAIT","week12"
"MAGOH",0.371826505665523,-0.457487202894547,0.108,0.132,1,NA,NA,NA,"MAIT","week12"
"DAZAP1",0.371909192777033,-0.213705318746406,0.391,0.407,1,NA,NA,NA,"MAIT","week12"
"RFWD3",0.372009124882812,0.271858144858803,0.246,0.17,1,NA,NA,NA,"MAIT","week12"
"EXOSC3",0.372034343392874,-0.104123833542431,0.229,0.242,1,NA,NA,NA,"MAIT","week12"
"TAB3",0.372199560935841,0.402556982218817,0.276,0.203,1,NA,NA,NA,"MAIT","week12"
"C19orf12",0.372346526594361,0.304767951095327,0.199,0.143,1,NA,NA,NA,"MAIT","week12"
"ZFPM1",0.373068939946814,0.407539853145217,0.259,0.187,1,NA,NA,NA,"MAIT","week12"
"ENSG00000237596",0.373078896310824,0.40755991181414,0.158,0.132,1,NA,NA,NA,"MAIT","week12"
"ESR2",0.373302491733175,1.17025814394704,0.149,0.11,1,NA,NA,NA,"MAIT","week12"
"VHL",0.373364412334561,0.241449293325865,0.287,0.231,1,NA,NA,NA,"MAIT","week12"
"RHOT2",0.373371210083915,0.571384105858027,0.162,0.137,1,NA,NA,NA,"MAIT","week12"
"FAM102A",0.373998629069094,0.234926041413168,0.672,0.626,1,NA,NA,NA,"MAIT","week12"
"SAP30BP",0.374190299163191,0.302686526133062,0.337,0.247,1,NA,NA,NA,"MAIT","week12"
