"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"IL1RAPL2",7.36510187752149e-12,2.81412012375457,0.123,0.018,4.61865538739372e-07,5,4,FALSE,"Treg","week12"
"HDGFL3",1.07070904946647e-11,2.15230160700983,0.185,0.049,6.71441644920426e-07,6,4,FALSE,"Treg","week12"
"MAN1C1",1.08004065233147e-10,-0.518406776238555,0.673,0.757,6.77293493077068e-06,6,4,FALSE,"Treg","week12"
"PLCD1",1.91503780293351e-10,2.15758358652649,0.189,0.077,1.2009202062196e-05,5,4,FALSE,"Treg","week12"
"UBASH3A",1.97546662798515e-10,-0.589778811113948,0.503,0.611,1.23881512240949e-05,6,4,FALSE,"Treg","week12"
"RN7SKP255",3.72025232291878e-10,-1.66180899181727,0.105,0.185,2.33297023170237e-05,5,3,FALSE,"Treg","week12"
"MT-RNR2",4.41173129154976e-10,-0.105307028202842,0.983,1,2.76659669293085e-05,6,4,FALSE,"Treg","week12"
"FAM210A",4.48850619062035e-10,-1.773219850106,0.189,0.285,2.81474223213802e-05,6,4,FALSE,"Treg","week12"
"SDK1",4.80373924472021e-10,1.30268693512387,0.387,0.241,3.01242488036405e-05,6,4,FALSE,"Treg","week12"
"BTN3A3",9.27688731445878e-10,-0.513416211541367,0.508,0.574,5.8175360348971e-05,6,4,FALSE,"Treg","week12"
"PHKB",1.22981541500345e-09,-0.529206228379431,0.716,0.81,7.71217246748663e-05,6,4,FALSE,"Treg","week12"
"GRAMD1A",1.9994383075709e-09,-0.560954682119307,0.512,0.601,0.000125384776267771,6,4,FALSE,"Treg","week12"
"PRKCB",2.07972709266526e-09,-0.526419308186099,0.481,0.609,0.000130419685981038,6,4,FALSE,"Treg","week12"
"ZNF395",2.08854059425107e-09,-1.71559248247598,0.281,0.371,0.000130972380665485,6,4,FALSE,"Treg","week12"
"ACSS2",2.2859304296828e-09,1.37539394248726,0.312,0.19,0.000143350697245408,6,4,FALSE,"Treg","week12"
"DDX5",3.354534683074e-09,-0.335833393357518,0.937,0.967,0.000210362869975571,6,4,FALSE,"Treg","week12"
"ENSG00000266302",5.35531835104485e-09,2.31637047309885,0.102,0.016,0.000335832013794023,4,3,FALSE,"Treg","week12"
"HLA-H",8.4909475943923e-09,1.18443210987671,0.332,0.192,0.000532467323644341,6,4,FALSE,"Treg","week12"
"ENSG00000270066",1.14007144072643e-08,-1.15803863627803,0.138,0.207,0.000714938800479542,5,4,FALSE,"Treg","week12"
"SATB1",1.56810211797572e-08,-0.461266187853232,0.667,0.718,0.000983356838182573,6,4,FALSE,"Treg","week12"
"ENSG00000283907",2.78931719345376e-08,2.76689488755183,0.151,0.059,0.00174918081201485,5,4,FALSE,"Treg","week12"
"RPL3",3.15241611775084e-08,-0.436848774526405,0.603,0.638,0.00197688014744155,6,4,FALSE,"Treg","week12"
"MAFIP",3.81148598433183e-08,-2.34760910818103,0.037,0.104,0.00239018286077449,5,4,FALSE,"Treg","week12"
"MIR3667HG",4.66615445183734e-08,-0.438119381288657,0.493,0.605,0.0029261454567472,6,4,FALSE,"Treg","week12"
"PRKCH",5.85164271966071e-08,-0.256309791988366,0.968,0.98,0.00366956514949923,6,4,FALSE,"Treg","week12"
"NRG1",6.31925188156145e-08,2.31520637662926,0.106,0.022,0.00396280285492719,4,4,FALSE,"Treg","week12"
"SLC4A5",7.05608284923286e-08,-1.9004455847309,0.155,0.225,0.00442486955475393,6,4,FALSE,"Treg","week12"
"ADAMTS3",7.61541490214823e-08,-7.32197741855849,0.146,0.196,0.00477562668513716,6,4,FALSE,"Treg","week12"
"LITAF",9.84633022905104e-08,-0.821492158262312,0.286,0.373,0.00617463368663791,6,4,FALSE,"Treg","week12"
"NPIPB11",1.18175108367648e-07,1.86632630300178,0.148,0.046,0.00741076104573521,6,3,FALSE,"Treg","week12"
"CYTH1",1.36425599229083e-07,-0.341082925220859,0.902,0.938,0.00855524932765576,6,4,FALSE,"Treg","week12"
"MLYCD",1.47053306772066e-07,1.12070828739752,0.285,0.143,0.00922171286767628,6,4,FALSE,"Treg","week12"
"ERAP2",1.7934798901135e-07,-0.457130143870262,0.631,0.704,0.0112469123909018,6,4,FALSE,"Treg","week12"
"TAPT1",1.99127892165185e-07,-0.584080042541242,0.489,0.583,0.0124873101176787,6,4,FALSE,"Treg","week12"
"LRFN2",2.29355222753707e-07,1.83827984822629,0.18,0.069,0.014382866018885,6,3,FALSE,"Treg","week12"
"NECAP2",2.32181471464291e-07,0.834999927837396,0.476,0.364,0.0145601000755257,6,4,FALSE,"Treg","week12"
"ADAM19",2.4009956883196e-07,0.849640272664141,0.379,0.23,0.0150566439614522,6,4,FALSE,"Treg","week12"
"FKBP5",2.52356540051993e-07,-0.392579106140397,0.722,0.806,0.0158252786266605,6,4,FALSE,"Treg","week12"
"SLCO5A1",2.70581369267455e-07,-1.01412129751766,0.158,0.243,0.0169681576667621,5,4,FALSE,"Treg","week12"
"ACAP1",4.00680700254826e-07,-0.564949638454492,0.41,0.499,0.0251266867129801,6,4,FALSE,"Treg","week12"
"TMEM204",4.03130675171379e-07,-0.692968056795602,0.232,0.272,0.0252803246399972,5,4,FALSE,"Treg","week12"
"SESN3",4.1980859183388e-07,-0.241916333307853,0.852,0.931,0.0263261967939026,6,4,FALSE,"Treg","week12"
"ENSG00000262370",4.8506457145312e-07,1.66276233175946,0.121,0.033,0.0304183992758252,5,4,FALSE,"Treg","week12"
"APBA2",6.09637357179194e-07,-0.405406931198852,0.548,0.605,0.0382303586687073,6,4,FALSE,"Treg","week12"
"ZNF100",6.28912589762576e-07,-1.00699802783707,0.126,0.205,0.0394391085040112,6,4,FALSE,"Treg","week12"
"PCBP3",6.90944215163043e-07,1.06679356793842,0.258,0.13,0.0433291117328744,6,4,FALSE,"Treg","week12"
"GRAMD1B",7.25445535193206e-07,0.799759951882429,0.336,0.186,0.045492689511966,6,4,FALSE,"Treg","week12"
"SDR39U1",7.53752863188579e-07,-0.865981709227894,0.167,0.238,0.0472678420505558,6,4,FALSE,"Treg","week12"
"RPS6",8.78985400273041e-07,-0.390376746255139,0.751,0.821,0.0551211744511224,NA,NA,NA,"Treg","week12"
"LPAL2",1.07493296913162e-06,-1.03369684379378,0.167,0.272,0.0674090464942438,NA,NA,NA,"Treg","week12"
"ZNF337-AS1",1.10410681385254e-06,1.21474981161362,0.18,0.069,0.0692385382966927,NA,NA,NA,"Treg","week12"
"ENSG00000290199",1.28601218120736e-06,-1.08461848232555,0.075,0.155,0.0806458238835136,NA,NA,NA,"Treg","week12"
"STAMBPL1",1.40526522034357e-06,-0.360034126750487,0.696,0.779,0.0881241819677451,NA,NA,NA,"Treg","week12"
"UPF3A",1.62865726307771e-06,-0.56509789405974,0.396,0.473,0.102133096967603,NA,NA,NA,"Treg","week12"
"RBPJ",2.30864754304549e-06,0.57629371239827,0.563,0.4,0.144775287424383,NA,NA,NA,"Treg","week12"
"RASA3",3.03707251435343e-06,-0.277055654356433,0.84,0.892,0.190454817375104,NA,NA,NA,"Treg","week12"
"TXK",3.2006054575081e-06,-0.276482268545336,0.785,0.865,0.200709968240333,NA,NA,NA,"Treg","week12"
"PDCD4",3.50870210006334e-06,-0.200659954919599,0.835,0.894,0.220030708694972,NA,NA,NA,"Treg","week12"
"TXLNGY.1",3.90593312290503e-06,0.77776701018537,0.203,0.091,0.244941066137375,NA,NA,NA,"Treg","week12"
"TRPM2",4.24734445899582e-06,1.05376167564531,0.111,0.037,0.266350971023628,NA,NA,NA,"Treg","week12"
"URGCP",4.57399953916493e-06,0.854044117940513,0.364,0.236,0.286835511101033,NA,NA,NA,"Treg","week12"
"FUT8",4.60143384601796e-06,0.619710993382475,0.65,0.572,0.288555916483786,NA,NA,NA,"Treg","week12"
"RABGAP1L",4.86414857880884e-06,0.297815895754641,0.908,0.861,0.305030757377102,NA,NA,NA,"Treg","week12"
"EEF1A1",5.43653879594042e-06,-0.222448417567595,0.799,0.87,0.340925347893424,NA,NA,NA,"Treg","week12"
"DMGDH",5.5025441606559e-06,2.62359323009636,0.105,0.037,0.345064544314731,NA,NA,NA,"Treg","week12"
"SOS1",5.7880099406625e-06,-0.360264775094126,0.861,0.898,0.362966103378946,NA,NA,NA,"Treg","week12"
"SNRK",6.13907145201154e-06,-0.29602266715313,0.66,0.72,0.384981170755643,NA,NA,NA,"Treg","week12"
