"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"SAMD4A",0,5.8094783700988,0.277,0.027,0,5,5,FALSE,"CD4_TCM","week12"
"CDH12",0,4.63661738574019,0.263,0.032,0,5,5,FALSE,"CD4_TCM","week12"
"CCDC144A",0,3.96958997299919,0.246,0.018,0,4,5,FALSE,"CD4_TCM","week12"
"ENSG00000260990",0,8.77581157403324,0.207,0.001,0,3,5,FALSE,"CD4_TCM","week12"
"ENSG00000265781",0,-10.254774703515,0.002,0.154,0,3,5,FALSE,"CD4_TCM","week12"
"ANK3",0,-1.04805937811597,0.817,0.941,0,5,5,FALSE,"CD4_TCM","week12"
"XIST",7.99624360427781e-314,-1.27101861778318,0.236,0.542,5.01444436424262e-309,5,5,FALSE,"CD4_TCM","week12"
"RNU4ATAC",2.19059581377309e-298,4.21667831259021,0.216,0.017,1.3737226348171e-293,4,5,FALSE,"CD4_TCM","week12"
"ENSG00000250137",1.90459456321859e-289,6.10101009174469,0.168,0.005,1.19437125059438e-284,4,5,FALSE,"CD4_TCM","week12"
"MTCO1P12",3.38159524834358e-289,4.83226059659138,0.178,0.006,2.12059838023626e-284,5,5,FALSE,"CD4_TCM","week12"
"UTY",2.88981995051428e-281,1.0037206813127,0.666,0.351,1.8122060909675e-276,5,5,FALSE,"CD4_TCM","week12"
"CCDC144BP",2.94788369139816e-281,2.56402897784139,0.396,0.162,1.84861786287579e-276,5,5,FALSE,"CD4_TCM","week12"
"CENPK",3.31302307240387e-259,1.36332042804418,0.494,0.189,2.07759676870447e-254,5,5,FALSE,"CD4_TCM","week12"
"MT-RNR1",5.65721659123652e-240,0.553495965664621,0.986,0.998,3.54764052436442e-235,5,5,FALSE,"CD4_TCM","week12"
"PCDH7",2.23408476503387e-238,4.58650691553446,0.163,0.009,1.40099455615274e-233,4,5,FALSE,"CD4_TCM","week12"
"ENSG00000282218",7.57468877789023e-234,4.60466643590701,0.16,0.009,4.75008733261497e-229,5,5,FALSE,"CD4_TCM","week12"
"USP9Y",1.69651748908452e-222,1.02488483931183,0.564,0.279,1.0638861174049e-217,5,5,FALSE,"CD4_TCM","week12"
"PRKY",1.12552570814067e-215,0.87736011105454,0.603,0.318,7.05817171575013e-211,5,5,FALSE,"CD4_TCM","week12"
"NPAS3",1.27459632820372e-211,3.46552435906521,0.181,0.02,7.99299357416555e-207,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000285860",2.15933970203497e-207,6.98021376789871,0.111,0.001,1.35412192714613e-202,3,3,FALSE,"CD4_TCM","week12"
"LTBP3",8.58003188073638e-187,-1.19583151659158,0.329,0.476,5.38053799240978e-182,5,5,FALSE,"CD4_TCM","week12"
"ERC2",3.83766679596418e-185,-5.46571624071247,0.03,0.131,2.40660084774913e-180,5,5,FALSE,"CD4_TCM","week12"
"DCLRE1A",2.05251072328071e-180,-4.69197202849164,0.02,0.124,1.28712947456934e-175,5,5,FALSE,"CD4_TCM","week12"
"SNAP91",8.80444268539571e-179,4.82631803120063,0.112,0.004,5.52126600801165e-174,4,5,FALSE,"CD4_TCM","week12"
"ENSG00000267320",2.32108725238818e-171,-5.19377869672098,0.005,0.109,1.45555381597263e-166,3,5,FALSE,"CD4_TCM","week12"
"ENSG00000266302",4.82770369779629e-170,3.33114348483111,0.139,0.013,3.02745298888805e-165,4,5,FALSE,"CD4_TCM","week12"
"ENSG00000259103",3.78946563386602e-161,-6.50983437145064,0.009,0.106,2.37637389899738e-156,5,5,FALSE,"CD4_TCM","week12"
"TFCP2",1.55395044470981e-159,-2.4442403162977,0.529,0.568,9.74482323877522e-155,5,5,FALSE,"CD4_TCM","week12"
"SNED1",2.63613759797204e-158,-1.40116596516922,0.217,0.405,1.65312188768826e-153,5,5,FALSE,"CD4_TCM","week12"
"TXLNGY",4.10244507675646e-156,0.979735688638475,0.392,0.169,2.57264330763398e-151,5,5,FALSE,"CD4_TCM","week12"
"BAIAP2L1",7.2007074659543e-156,2.75314320308295,0.165,0.028,4.51556365189994e-151,5,5,FALSE,"CD4_TCM","week12"
"HLA-H",1.79744055557e-154,1.52852503320522,0.363,0.153,1.12717497239795e-149,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000285658",5.11594332711202e-151,-3.52719644705628,0.028,0.123,3.20820806043195e-146,5,5,FALSE,"CD4_TCM","week12"
"KCNMA1",6.89612098291815e-147,3.35127348260519,0.13,0.015,4.32455746838797e-142,5,5,FALSE,"CD4_TCM","week12"
"LINC02899",1.22864964359561e-141,-2.31031504269493,0.027,0.138,7.7048619149881e-137,5,5,FALSE,"CD4_TCM","week12"
"ZNF423",2.34752042205901e-140,1.63281119354053,0.293,0.111,1.4721300566732e-135,5,5,FALSE,"CD4_TCM","week12"
"TRAV27",7.39692371958642e-140,4.89015192387481,0.1,0.007,4.63861086455264e-135,4,5,FALSE,"CD4_TCM","week12"
"NRXN3",1.33096694376696e-134,4.24830702294192,0.129,0.047,8.34649370436262e-130,5,5,FALSE,"CD4_TCM","week12"
"DDX3Y",2.95555601433333e-132,1.049919683821,0.308,0.122,1.85342917658843e-127,5,5,FALSE,"CD4_TCM","week12"
"7SK",2.03867916096479e-131,0.549892434644108,0.831,0.821,1.27845570184102e-126,5,5,FALSE,"CD4_TCM","week12"
"HLA-C",1.83044336990074e-130,-0.496991502687371,0.802,0.848,1.14787103726475e-125,5,5,FALSE,"CD4_TCM","week12"
"PRKCB",2.84327168142355e-125,-0.706827069534212,0.471,0.609,1.78301567142071e-120,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000283907",2.44248421347458e-122,3.37960345806845,0.184,0.081,1.53168185026991e-117,5,5,FALSE,"CD4_TCM","week12"
"KDM5D",4.50540737150135e-116,1.08047252544426,0.303,0.125,2.82534096266849e-111,5,5,FALSE,"CD4_TCM","week12"
"LINC02997",1.82908893220935e-113,2.10173509172619,0.128,0.022,1.14702166938848e-108,5,5,FALSE,"CD4_TCM","week12"
"PLCD1",2.80896730600777e-113,1.82039610989173,0.229,0.087,1.76150339759747e-108,5,5,FALSE,"CD4_TCM","week12"
"CFAP418-AS1",2.36015452267928e-112,1.02482070366271,0.289,0.116,1.48005290117218e-107,5,5,FALSE,"CD4_TCM","week12"
"XACT",5.83144753357102e-111,3.06232126395527,0.101,0.012,3.65690074830239e-106,4,5,FALSE,"CD4_TCM","week12"
"MTERF4",8.20958584766536e-111,-0.593655928370341,0.525,0.649,5.14823128507095e-106,5,5,FALSE,"CD4_TCM","week12"
"RNU4-2",3.93447158412467e-109,0.737448640265047,0.821,0.741,2.46730713040458e-104,5,5,FALSE,"CD4_TCM","week12"
"RPS4Y1",7.30788429017319e-108,0.591828908360686,0.407,0.219,4.58277423836761e-103,5,5,FALSE,"CD4_TCM","week12"
"PDE3B",5.57058087795835e-105,-0.308490953355454,0.989,0.997,3.49331126856768e-100,5,5,FALSE,"CD4_TCM","week12"
"SARAF",1.0389613388075e-103,-0.401634891753276,0.916,0.945,6.51532655566183e-99,5,5,FALSE,"CD4_TCM","week12"
"IFI44L",1.48858079366796e-103,1.26904466746304,0.438,0.259,9.33489015709181e-99,5,5,FALSE,"CD4_TCM","week12"
"NEAT1",2.5130327722692e-103,-0.596425554498398,0.833,0.861,1.57592285149001e-98,5,5,FALSE,"CD4_TCM","week12"
"TXLNGY.1",9.29607377194162e-103,1.12709833652316,0.235,0.088,5.82956786238459e-98,5,5,FALSE,"CD4_TCM","week12"
"PPP1R42",1.40562877404488e-102,2.59443377014841,0.109,0.017,8.81469804203542e-98,5,5,FALSE,"CD4_TCM","week12"
"GRAMD1A",2.54491291373517e-100,-0.533229811163114,0.602,0.692,1.59591488820333e-95,5,5,FALSE,"CD4_TCM","week12"
"XAF1",1.27500259591003e-99,0.917327892740347,0.598,0.41,7.99554127895181e-95,5,5,FALSE,"CD4_TCM","week12"
"IL1RAPL2",7.90591117013258e-99,2.43886661572252,0.123,0.025,4.95779689479014e-94,5,5,FALSE,"CD4_TCM","week12"
"NRG1",3.78161689769397e-96,2.5441230684021,0.134,0.031,2.37145195654389e-91,5,5,FALSE,"CD4_TCM","week12"
"RPL3",6.66280443396541e-95,-0.487230194696039,0.629,0.7,4.17824466053971e-90,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000273674",1.31298705236373e-94,2.21710744030397,0.11,0.019,8.23374180537292e-90,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000290199",1.93217132202495e-94,-1.34633618140167,0.043,0.138,1.21166463604185e-89,5,5,FALSE,"CD4_TCM","week12"
"SORL1",2.82890193864711e-94,-0.413723265179104,0.79,0.847,1.7740044057256e-89,5,5,FALSE,"CD4_TCM","week12"
"MALAT1",1.64470901095267e-93,-0.161522198047424,1,1,1.03139702076842e-88,5,5,FALSE,"CD4_TCM","week12"
"ABTB3",1.26193514707514e-92,-0.46584769354761,0.737,0.821,7.91359530730823e-88,5,5,FALSE,"CD4_TCM","week12"
"KCNQ5",1.97452811238242e-89,0.738551901606333,0.553,0.354,1.23822657927501e-84,5,5,FALSE,"CD4_TCM","week12"
"TCP11L2",7.48971341211918e-88,-0.446840835422333,0.669,0.75,4.69679928073994e-83,5,5,FALSE,"CD4_TCM","week12"
"DEAF1",4.57156414389258e-86,-0.701445518174625,0.371,0.445,2.86682787463503e-81,5,5,FALSE,"CD4_TCM","week12"
"CHST11",6.61065872830404e-86,-0.417857168682123,0.777,0.843,4.14554408851947e-81,5,5,FALSE,"CD4_TCM","week12"
"HFM1",1.03326955843715e-85,2.59534122541451,0.155,0.082,6.47963340095937e-81,5,5,FALSE,"CD4_TCM","week12"
"ACSS2",4.51452257029798e-83,-1.51395302303422,0.126,0.181,2.83105710383386e-78,5,5,FALSE,"CD4_TCM","week12"
"MT-CO1",1.24999618041602e-81,0.463797389016161,0.861,0.781,7.83872604738889e-77,5,5,FALSE,"CD4_TCM","week12"
"FMN1",7.76786973336097e-76,-1.99541261188397,0.04,0.121,4.87123110979066e-71,5,5,FALSE,"CD4_TCM","week12"
"ADAMTS3",1.64200047522711e-75,-7.78434962419543,0.111,0.197,1.02969849801492e-70,5,5,FALSE,"CD4_TCM","week12"
"RNF125",4.70248745898117e-75,-0.545379425744975,0.474,0.579,2.94892988552709e-70,5,5,FALSE,"CD4_TCM","week12"
"ABCA5",3.35169449839114e-74,-0.589294312841312,0.42,0.483,2.10184761994108e-69,5,5,FALSE,"CD4_TCM","week12"
"CRYBB2P1.1",6.06376315218419e-74,1.29961226478737,0.24,0.105,3.80258587273471e-69,5,5,FALSE,"CD4_TCM","week12"
"TMEM229B",1.21661670363826e-73,1.86492900706739,0.181,0.079,7.62940334851554e-69,5,5,FALSE,"CD4_TCM","week12"
"STAT1",1.39210200766681e-73,0.534849565158635,0.888,0.828,8.72987169007857e-69,5,5,FALSE,"CD4_TCM","week12"
"NELL2",1.72486507241274e-73,-0.535125758919402,0.46,0.578,1.08166288691003e-68,5,5,FALSE,"CD4_TCM","week12"
"RPS4X",7.97815491177609e-73,-0.502537089166058,0.542,0.605,5.00310094517478e-68,5,5,FALSE,"CD4_TCM","week12"
"IL7R",1.09253911757131e-72,-0.374967171824551,0.931,0.956,6.85131280628969e-68,5,5,FALSE,"CD4_TCM","week12"
"RBFOX1",4.37272899517537e-72,-1.77716201865038,0.107,0.164,2.74213835287448e-67,5,5,FALSE,"CD4_TCM","week12"
"MBP",1.37606156560113e-71,-0.409802763661631,0.755,0.813,8.62928207788468e-67,5,5,FALSE,"CD4_TCM","week12"
"ZFY",2.92822887024535e-71,0.988442249005243,0.201,0.084,1.83629232453086e-66,5,5,FALSE,"CD4_TCM","week12"
"NECAP2",3.49907905525878e-70,-0.661891922565786,0.407,0.423,2.19427247555278e-65,5,5,FALSE,"CD4_TCM","week12"
"SYNPO2",1.61618522571062e-68,0.867441611288179,0.206,0.086,1.01350975504313e-63,5,5,FALSE,"CD4_TCM","week12"
"RPS6",3.14012071790141e-68,-0.446648907928132,0.824,0.864,1.96916970219597e-63,5,5,FALSE,"CD4_TCM","week12"
"XYLT1",2.66329544646028e-67,-0.387955206159519,0.753,0.809,1.67015257447524e-62,5,5,FALSE,"CD4_TCM","week12"
"SPOCK2",3.25577321681095e-67,-0.376782330868822,0.649,0.706,2.04169538426215e-62,5,5,FALSE,"CD4_TCM","week12"
"IFI44",8.21693210668941e-67,1.03751644590967,0.324,0.174,5.15283812410493e-62,5,5,FALSE,"CD4_TCM","week12"
"MTATP6P1",3.10137963418094e-66,1.13787590848125,0.231,0.101,1.94487516859487e-61,5,5,FALSE,"CD4_TCM","week12"
"ST6GALNAC3",2.50253591797614e-65,0.914689441942484,0.235,0.108,1.56934027416284e-60,5,5,FALSE,"CD4_TCM","week12"
"NUTM2B-AS1",5.29017525484571e-65,-0.4183370574167,0.622,0.658,3.31746890231374e-60,5,5,FALSE,"CD4_TCM","week12"
"XRRA1",2.91355394509381e-64,0.625063284074139,0.477,0.302,1.82708967896833e-59,5,5,FALSE,"CD4_TCM","week12"
"PALLD",6.58391165952924e-64,-2.5061477407737,0.039,0.102,4.12877100169079e-59,5,5,FALSE,"CD4_TCM","week12"
"TTTY14",4.19574422766276e-63,1.06868602570508,0.217,0.102,2.63115120516732e-58,5,5,FALSE,"CD4_TCM","week12"
"ZNF215",1.50800685416021e-62,1.61683043075363,0.137,0.046,9.4567109824387e-58,5,5,FALSE,"CD4_TCM","week12"
"LEPROTL1",3.03772492143569e-61,-0.319266060960716,0.831,0.87,1.90495729823232e-56,5,5,FALSE,"CD4_TCM","week12"
"XKR6",3.07099011156496e-61,-0.72985300030056,0.259,0.361,1.92581789896238e-56,5,5,FALSE,"CD4_TCM","week12"
"URGCP",1.36732360398776e-59,0.817497893821,0.427,0.281,8.57448632060721e-55,5,5,FALSE,"CD4_TCM","week12"
"SYNM",1.44285828118419e-59,-1.69666366112081,0.047,0.113,9.04816428130606e-55,5,5,FALSE,"CD4_TCM","week12"
"KLF3",1.81761520332894e-59,-0.385759220199551,0.637,0.692,1.13982649400758e-54,5,5,FALSE,"CD4_TCM","week12"
"ATG16L1",6.73079862010687e-59,0.686770160376957,0.575,0.433,4.22088381466902e-54,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000283415",1.00563425635955e-57,1.49229425801732,0.131,0.045,6.30633242163071e-53,5,5,FALSE,"CD4_TCM","week12"
"PAX8-AS1",3.79657127393004e-57,1.21401729861888,0.152,0.058,2.38082984588153e-52,5,5,FALSE,"CD4_TCM","week12"
"KDM6A",9.44220316613401e-57,-0.304778120213919,0.737,0.769,5.92120560548264e-52,5,5,FALSE,"CD4_TCM","week12"
"DDX60",1.33349893696403e-56,0.778518911088864,0.503,0.36,8.36237183370141e-52,5,5,FALSE,"CD4_TCM","week12"
"RSAD2",2.58956216103713e-56,1.05854776740777,0.282,0.153,1.62391443118638e-51,5,5,FALSE,"CD4_TCM","week12"
"B4GALNT1",2.92113902039967e-56,7.42032355700104,0.108,0.096,1.83184627969264e-51,5,5,FALSE,"CD4_TCM","week12"
"PGGHG",4.75204025025133e-56,0.583755539186033,0.621,0.463,2.98000444093261e-51,5,5,FALSE,"CD4_TCM","week12"
"POLR2J3",1.70995655986063e-55,-0.758084630194126,0.22,0.298,1.0723137586886e-50,5,5,FALSE,"CD4_TCM","week12"
"HLA-A",1.12057244358797e-53,-0.290033859942411,0.856,0.879,7.02710979374013e-49,5,5,FALSE,"CD4_TCM","week12"
"AAK1",2.04250388867483e-53,-0.263665713214122,0.935,0.95,1.28085418858799e-48,5,5,FALSE,"CD4_TCM","week12"
"TRPM2",2.89601170202595e-53,1.60627100766918,0.119,0.04,1.81608893834047e-48,5,5,FALSE,"CD4_TCM","week12"
"ZNF337-AS1",3.4942300759742e-53,0.743590676149532,0.184,0.084,2.19123168064342e-48,5,5,FALSE,"CD4_TCM","week12"
"RPL23",7.29967199330774e-53,-0.572715583831527,0.479,0.537,4.57762430700328e-48,5,5,FALSE,"CD4_TCM","week12"
"PIK3IP1",1.04051325161234e-52,-0.322166578372867,0.709,0.746,6.52505860086098e-48,5,5,FALSE,"CD4_TCM","week12"
"NPIPB11",2.97867175258719e-52,1.1150057446735,0.155,0.062,1.86792505604743e-47,5,5,FALSE,"CD4_TCM","week12"
"LIN7C",3.91305771438459e-52,1.69761075466203,0.225,0.134,2.45387849269057e-47,5,5,FALSE,"CD4_TCM","week12"
"CD55",9.97467733603444e-52,-0.36908128330064,0.727,0.766,6.2551201574272e-47,5,5,FALSE,"CD4_TCM","week12"
"TENM2",2.31097255761839e-51,1.49556912098903,0.127,0.046,1.4492108908825e-46,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000255026",2.84725612526731e-51,0.513435540670158,0.616,0.454,1.78551431615513e-46,5,5,FALSE,"CD4_TCM","week12"
"RN7SKP255",1.18849142826056e-48,-1.25538625183447,0.098,0.151,7.453029746622e-44,5,5,FALSE,"CD4_TCM","week12"
"OAS1",1.81713953675708e-48,1.37372058492541,0.155,0.066,1.13952820350037e-43,5,5,FALSE,"CD4_TCM","week12"
"RNU4-1",2.07605541730253e-48,0.459176265487613,0.399,0.243,1.30189435219042e-43,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000285280",6.42182085700548e-48,0.772852159902578,0.196,0.097,4.02712385942814e-43,5,5,FALSE,"CD4_TCM","week12"
"MX1",6.13758616132112e-47,0.821725749241997,0.442,0.307,3.84888028176448e-42,5,5,FALSE,"CD4_TCM","week12"
"PRKCH",1.43140763414418e-46,-0.210769576920949,0.958,0.973,8.97635727371817e-42,5,5,FALSE,"CD4_TCM","week12"
"ADAM23",2.49265452689821e-46,-1.05315120908799,0.114,0.19,1.56314365381787e-41,5,5,FALSE,"CD4_TCM","week12"
"GPA33",3.86593165043055e-46,-0.743648258896417,0.147,0.226,2.424325737985e-41,5,5,FALSE,"CD4_TCM","week12"
"SNX25",4.47448243175642e-46,-0.623201737869264,0.226,0.295,2.80594793295445e-41,5,5,FALSE,"CD4_TCM","week12"
"MGAT5",8.37651122924288e-46,-0.332454688688886,0.698,0.745,5.25291019185821e-41,5,5,FALSE,"CD4_TCM","week12"
"P2RY8",1.94434453429131e-45,-0.342318553793031,0.792,0.817,1.21929845745408e-40,5,5,FALSE,"CD4_TCM","week12"
"TAB2",3.22156918151499e-45,0.351483353375569,0.831,0.769,2.02024603372805e-40,5,5,FALSE,"CD4_TCM","week12"
"NBPF26",5.48376210159434e-45,-1.3034942788137,0.062,0.117,3.43886721390981e-40,5,5,FALSE,"CD4_TCM","week12"
"IFIT3",9.65714176315746e-45,1.50170531143259,0.136,0.057,6.05599359967604e-40,5,5,FALSE,"CD4_TCM","week12"
"POLR2J3.1",1.31968989923217e-44,-0.7528574723531,0.137,0.219,8.27577535808492e-40,5,5,FALSE,"CD4_TCM","week12"
"OAS3",1.39053982823422e-44,0.938504708060998,0.277,0.155,8.72007526285677e-40,5,5,FALSE,"CD4_TCM","week12"
"MYL6",2.01459871444093e-44,-0.622938153843364,0.261,0.331,1.26335485382591e-39,5,5,FALSE,"CD4_TCM","week12"
"IL21R",2.86976076002011e-44,-0.368523222634212,0.558,0.623,1.79962697260861e-39,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000197585",4.66368734387348e-44,1.53739346767335,0.108,0.04,2.92459833334306e-39,5,5,FALSE,"CD4_TCM","week12"
"EEF1A1",4.97363398225728e-44,-0.268367830160204,0.852,0.898,3.11896587027354e-39,5,5,FALSE,"CD4_TCM","week12"
"ITK",5.51145236214275e-44,0.183017964871622,0.973,0.973,3.45623177629972e-39,5,5,FALSE,"CD4_TCM","week12"
"LINC00623",2.56941102176806e-43,-0.475016813398134,0.397,0.456,1.61127765175075e-38,5,5,FALSE,"CD4_TCM","week12"
"TRIM22",4.08173134464754e-43,0.500198963161707,0.696,0.574,2.55965372622847e-38,5,5,FALSE,"CD4_TCM","week12"
"RFLNB",6.88140848829166e-43,0.609689651584725,0.266,0.152,4.3153312630077e-38,5,5,FALSE,"CD4_TCM","week12"
"HNRNPUL1",8.82450424192913e-43,-0.319693198808249,0.622,0.647,5.53384661011375e-38,5,5,FALSE,"CD4_TCM","week12"
"PASK",1.3000240062647e-42,-0.316767899820718,0.337,0.413,8.15245054328596e-38,5,5,FALSE,"CD4_TCM","week12"
"BMF",1.71888110523652e-42,1.07780474910632,0.18,0.086,1.07791034109382e-37,5,5,FALSE,"CD4_TCM","week12"
"ITGA4",2.34711723093914e-42,-0.325021812264728,0.668,0.71,1.47187721552194e-37,5,5,FALSE,"CD4_TCM","week12"
"RPL35A",2.666831394875e-42,-0.54479674958797,0.459,0.505,1.67236996772612e-37,5,5,FALSE,"CD4_TCM","week12"
"SAMD9L",3.25864070091411e-42,0.641009497817436,0.53,0.391,2.04349358354324e-37,5,5,FALSE,"CD4_TCM","week12"
"CHRNA6",5.85507719435671e-42,1.11679140395846,0.13,0.054,3.67171890858109e-37,5,5,FALSE,"CD4_TCM","week12"
"FAM210A",7.7535391657623e-42,-1.04860340068968,0.198,0.226,4.86224441084954e-37,5,5,FALSE,"CD4_TCM","week12"
"EIF1AY",1.37607750335942e-41,0.749970122728792,0.112,0.047,8.62938202356693e-37,5,5,FALSE,"CD4_TCM","week12"
"EIF2AK2",2.05596660633001e-41,0.68281530575651,0.499,0.366,1.28929665882955e-36,5,5,FALSE,"CD4_TCM","week12"
"STK38",2.44178924759214e-41,-0.227660951238746,0.93,0.945,1.53124603716503e-36,5,5,FALSE,"CD4_TCM","week12"
"MT-ND5",1.06565222689714e-40,0.270847783324181,0.9,0.869,6.682705114872e-36,5,5,FALSE,"CD4_TCM","week12"
"SERINC5",1.75197882546992e-40,-0.22662266625951,0.924,0.934,1.09866592145219e-35,5,5,FALSE,"CD4_TCM","week12"
"SESN3",1.8233202020344e-40,-0.384265306571407,0.535,0.608,1.14340409869577e-35,5,5,FALSE,"CD4_TCM","week12"
"ARHGEF18",2.63414596843625e-40,-0.243494378048757,0.87,0.903,1.65187293680637e-35,5,5,FALSE,"CD4_TCM","week12"
"CBLB",3.0868903658615e-40,-0.254806875239951,0.873,0.895,1.93578894843175e-35,5,5,FALSE,"CD4_TCM","week12"
"ADD2",3.11745395750516e-40,-1.63423194497804,0.048,0.1,1.95495537675148e-35,5,5,FALSE,"CD4_TCM","week12"
"RPS23",3.47155383232346e-40,-0.587438799796037,0.319,0.37,2.17701140825004e-35,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000285582",4.37342682255809e-40,-0.516157660718787,0.228,0.312,2.74257596042618e-35,5,5,FALSE,"CD4_TCM","week12"
"FAM117B",1.68926609553823e-39,-0.336381139214968,0.702,0.737,1.05933876851203e-34,5,5,FALSE,"CD4_TCM","week12"
"JAML",1.75332582570899e-39,-0.480394496831328,0.319,0.381,1.09951062530211e-34,5,5,FALSE,"CD4_TCM","week12"
"TUBB",1.88858554925181e-39,0.583715984471828,0.359,0.221,1.18433199793581e-34,5,5,FALSE,"CD4_TCM","week12"
"ZNF395",2.32556017410854e-39,-1.33306352695679,0.322,0.333,1.45835878518346e-34,5,5,FALSE,"CD4_TCM","week12"
"JPX",3.95744736669177e-39,-0.310992464961602,0.623,0.649,2.48171524365241e-34,5,5,FALSE,"CD4_TCM","week12"
"DPEP2",1.45011522038594e-38,-0.460355033292159,0.365,0.431,9.09367254704025e-34,5,5,FALSE,"CD4_TCM","week12"
"RPL27",1.73369382995449e-38,-0.571715858229569,0.381,0.433,1.08719940076446e-33,5,5,FALSE,"CD4_TCM","week12"
"LMBR1",1.73862029169074e-38,-0.321875567104038,0.537,0.594,1.09028878491926e-33,5,5,FALSE,"CD4_TCM","week12"
"MCUB",1.88284459228686e-38,-0.244797918236701,0.81,0.845,1.18073184382309e-33,5,5,FALSE,"CD4_TCM","week12"
"LINC00278",2.48168822071136e-38,1.23728824625798,0.12,0.051,1.55626668320809e-33,5,5,FALSE,"CD4_TCM","week12"
"OAS2",4.531013766933e-38,0.677310148677693,0.454,0.327,2.84139873324368e-33,5,5,FALSE,"CD4_TCM","week12"
"LRP6",9.51959481204666e-38,0.741919046844563,0.208,0.111,5.96973790663446e-33,5,5,FALSE,"CD4_TCM","week12"
"ARID5B",1.21350137348314e-37,-0.246409082193598,0.756,0.795,7.60986711311279e-33,5,5,FALSE,"CD4_TCM","week12"
"TSHZ2",1.91915368074117e-37,-0.884840739308534,0.159,0.22,1.20350127319278e-32,5,5,FALSE,"CD4_TCM","week12"
"MAN1A1",3.22846995364486e-37,-0.711025769210221,0.19,0.255,2.02457350793069e-32,5,5,FALSE,"CD4_TCM","week12"
"SDR39U1",3.47675872956754e-37,-0.697352280420222,0.191,0.239,2.18027539931181e-32,5,5,FALSE,"CD4_TCM","week12"
"LINC02649",6.35892656983807e-37,-0.322805470131319,0.488,0.55,3.98768285194545e-32,5,5,FALSE,"CD4_TCM","week12"
"LRRN3",6.69462888582827e-37,0.393600094005912,0.723,0.642,4.19820177430291e-32,5,5,FALSE,"CD4_TCM","week12"
"DDX60L",6.73091296414209e-37,0.622910808903646,0.508,0.378,4.22095551981351e-32,5,5,FALSE,"CD4_TCM","week12"
"ADAR",7.04986606692125e-37,0.325677090547653,0.797,0.72,4.42097101056631e-32,5,5,FALSE,"CD4_TCM","week12"
"PNPLA7",8.17087400500477e-37,0.622220506259649,0.228,0.128,5.12395508853849e-32,5,5,FALSE,"CD4_TCM","week12"
"EPHA4",1.18262907547545e-36,-0.469511959133335,0.354,0.42,7.41626693230655e-32,5,5,FALSE,"CD4_TCM","week12"
"ENSG00000287092",1.29034824012817e-36,-0.677023550850325,0.419,0.468,8.09177381384373e-32,5,5,FALSE,"CD4_TCM","week12"
"AHRR",2.34507040996226e-36,0.780172415354332,0.256,0.147,1.47059365408734e-31,5,5,FALSE,"CD4_TCM","week12"
"HERC6",8.01333401154531e-36,0.872697311873049,0.302,0.2,5.02516175864006e-31,5,5,FALSE,"CD4_TCM","week12"
"CCND3",1.33495375097702e-35,-0.212673954885806,0.913,0.942,8.3714949723769e-31,5,5,FALSE,"CD4_TCM","week12"
"CDC25B",2.63137048071471e-35,-0.404479201861593,0.316,0.362,1.65013242845619e-30,5,5,FALSE,"CD4_TCM","week12"
"DDX3X",3.33522620528948e-35,-0.249134550475122,0.612,0.624,2.09152035333703e-30,5,5,FALSE,"CD4_TCM","week12"
"CUTALP",4.6409084425702e-35,-0.427532826529241,0.331,0.396,2.91031368433577e-30,5,5,FALSE,"CD4_TCM","week12"
"RASA3",1.18481315775665e-34,-0.196425521426466,0.913,0.942,7.42996331229197e-30,5,5,FALSE,"CD4_TCM","week12"
"IFIH1",1.6031399452545e-34,0.628963098193498,0.399,0.271,1.00532905966909e-29,5,5,FALSE,"CD4_TCM","week12"
"PABPC1",2.5401503953101e-34,-0.269328030200471,0.965,0.975,1.59292831289897e-29,5,5,FALSE,"CD4_TCM","week12"
"ZEB1",2.96408117276686e-34,-0.208854725209471,0.966,0.977,1.8587753034421e-29,5,5,FALSE,"CD4_TCM","week12"
"NBPF1",3.83391022591995e-34,-0.730366734528259,0.146,0.201,2.4042451026744e-29,5,5,FALSE,"CD4_TCM","week12"
