"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"CASP8AP2",9.26948263182376e-06,-0.236199906650611,0.342,0.383,0.581289255841668,NA,NA,NA,"CD8_Naive_T","week44"
"TIA1",9.40828498900058e-06,-0.228404641196557,0.348,0.377,0.589993551660226,NA,NA,NA,"CD8_Naive_T","week44"
"SP1",9.64848188067678e-06,-0.236921165710018,0.346,0.373,0.605056298737241,NA,NA,NA,"CD8_Naive_T","week44"
"COLGALT1",9.69271749194349e-06,-0.406973866992505,0.154,0.197,0.607830313919776,NA,NA,NA,"CD8_Naive_T","week44"
"CALCB",9.86627348976773e-06,0.490348793373309,0.236,0.194,0.618714010543334,NA,NA,NA,"CD8_Naive_T","week44"
"ANXA5",9.97067473473863e-06,0.563490211881029,0.101,0.07,0.62526101261546,NA,NA,NA,"CD8_Naive_T","week44"
"HCFC1",9.98978989785916e-06,-0.235178647694109,0.304,0.34,0.626459724494748,NA,NA,NA,"CD8_Naive_T","week44"
"NEDD9",1.00221074952144e-05,0.334841599876628,0.404,0.345,0.628486361024893,NA,NA,NA,"CD8_Naive_T","week44"
"RAB35",1.01177414652762e-05,-0.356978127104151,0.195,0.223,0.634483567287473,NA,NA,NA,"CD8_Naive_T","week44"
"ENSG00000291149",1.02725602928846e-05,-0.27213232084391,0.287,0.327,0.644192255966796,NA,NA,NA,"CD8_Naive_T","week44"
"ZFAND6",1.03176755610426e-05,-0.182868865426794,0.539,0.559,0.647021434432981,NA,NA,NA,"CD8_Naive_T","week44"
"TRIP12",1.03804377464885e-05,-0.114172381671395,0.886,0.894,0.650957251082296,NA,NA,NA,"CD8_Naive_T","week44"
"RPL10A",1.04257319840178e-05,-0.287379503784878,0.224,0.259,0.653797652717759,NA,NA,NA,"CD8_Naive_T","week44"
"FLNB",1.05056826510644e-05,-0.166929695037805,0.454,0.503,0.658811359048246,NA,NA,NA,"CD8_Naive_T","week44"
"HPS1",1.05308021917975e-05,0.262448985881639,0.193,0.152,0.660386605447621,NA,NA,NA,"CD8_Naive_T","week44"
"CA6",1.06317059310606e-05,0.545577860379102,0.219,0.175,0.66671427893681,NA,NA,NA,"CD8_Naive_T","week44"
"GIMAP2",1.0782805252358e-05,-0.206539192768501,0.317,0.339,0.676189717375368,NA,NA,NA,"CD8_Naive_T","week44"
"TTN",1.08101716352905e-05,0.275651739699546,0.547,0.486,0.677905863249068,NA,NA,NA,"CD8_Naive_T","week44"
"ME2",1.09326412432744e-05,-0.152995069247653,0.42,0.429,0.68558593236574,NA,NA,NA,"CD8_Naive_T","week44"
"HBS1L",1.09705600961763e-05,-0.171438226798703,0.577,0.589,0.687963823631213,NA,NA,NA,"CD8_Naive_T","week44"
"SLC35E2B",1.11010495945979e-05,-0.221817080046264,0.285,0.327,0.696146820077235,NA,NA,NA,"CD8_Naive_T","week44"
"ENSG00000272657",1.12652829027753e-05,-0.384024089709607,0.186,0.212,0.706445890833041,NA,NA,NA,"CD8_Naive_T","week44"
"ENSG00000291066",1.13003609311652e-05,0.538007182528784,0.103,0.072,0.708645633993371,NA,NA,NA,"CD8_Naive_T","week44"
"KMT2D",1.13250695844551e-05,-0.127929207358838,0.628,0.638,0.710195113641178,NA,NA,NA,"CD8_Naive_T","week44"
"LINC02615",1.15933804484414e-05,0.403077829183533,0.155,0.116,0.727020887921763,NA,NA,NA,"CD8_Naive_T","week44"
"CELF1",1.20464126988634e-05,-0.13133708586716,0.725,0.733,0.755430540345724,NA,NA,NA,"CD8_Naive_T","week44"
"FCGBP",1.20606824364412e-05,-0.269810916517738,0.316,0.362,0.756325395589226,NA,NA,NA,"CD8_Naive_T","week44"
"CFAP298-TCP10L",1.20829568805427e-05,0.488318775237362,0.199,0.153,0.757722225978835,NA,NA,NA,"CD8_Naive_T","week44"
"UBA52",1.23174493976531e-05,-0.344574352991102,0.182,0.218,0.772427251726828,NA,NA,NA,"CD8_Naive_T","week44"
"ATG12",1.26000347027486e-05,-0.271809168323069,0.258,0.29,0.790148176209365,NA,NA,NA,"CD8_Naive_T","week44"
"FARS2",1.26701093573194e-05,0.171090759781259,0.737,0.671,0.794542557797502,NA,NA,NA,"CD8_Naive_T","week44"
"MYC",1.29373050665861e-05,-0.229839758178738,0.256,0.277,0.811298400725615,NA,NA,NA,"CD8_Naive_T","week44"
"PABPN1",1.32791717741609e-05,-0.222424039927098,0.356,0.383,0.83273686195763,NA,NA,NA,"CD8_Naive_T","week44"
"NR3C1",1.33215832089325e-05,0.209624073595979,0.807,0.765,0.835396483032159,NA,NA,NA,"CD8_Naive_T","week44"
"USP48",1.33729438619233e-05,-0.124207400951537,0.54,0.541,0.838617309581209,NA,NA,NA,"CD8_Naive_T","week44"
"ELMO1",1.36400650650321e-05,-0.131062266367204,0.9,0.903,0.855368480228162,NA,NA,NA,"CD8_Naive_T","week44"
"CMTR1",1.36788748228991e-05,0.291201432250641,0.282,0.231,0.857802240144006,NA,NA,NA,"CD8_Naive_T","week44"
"BDP1",1.37420283415856e-05,-0.103432104636107,0.697,0.696,0.861762597300836,NA,NA,NA,"CD8_Naive_T","week44"
"PPP3CC",1.39056325912642e-05,0.215296745120344,0.664,0.596,0.872022219798178,NA,NA,NA,"CD8_Naive_T","week44"
"ADA2",1.39305480509137e-05,-0.309483380397953,0.248,0.285,0.8735846682728,NA,NA,NA,"CD8_Naive_T","week44"
"RASA3",1.40243650585448e-05,-0.128066526028669,0.908,0.907,0.879467932821346,NA,NA,NA,"CD8_Naive_T","week44"
"MSH2",1.43149174776083e-05,-0.184536090477422,0.434,0.447,0.897688475020818,NA,NA,NA,"CD8_Naive_T","week44"
"SLC8B1",1.4316868299313e-05,-0.186062513212492,0.479,0.498,0.897810811049915,NA,NA,NA,"CD8_Naive_T","week44"
"HDAC5",1.43278824708264e-05,-0.386397818008718,0.172,0.196,0.898501509745526,NA,NA,NA,"CD8_Naive_T","week44"
"METAP1",1.44237143830208e-05,-0.281105183061696,0.28,0.317,0.904511128959234,NA,NA,NA,"CD8_Naive_T","week44"
"PPP1R10",1.45039715592745e-05,-0.198743158655075,0.441,0.477,0.909544056482104,NA,NA,NA,"CD8_Naive_T","week44"
"GTF2I",1.45721732473346e-05,-0.152329638687686,0.652,0.671,0.913820984340353,NA,NA,NA,"CD8_Naive_T","week44"
"HIF1A",1.46268866712021e-05,-0.11656153603612,0.74,0.752,0.917252063151086,NA,NA,NA,"CD8_Naive_T","week44"
"SMAD5",1.46549295824195e-05,0.533492833243194,0.111,0.078,0.919010634113527,NA,NA,NA,"CD8_Naive_T","week44"
"KLHDC4",1.48246224463496e-05,-0.164094633830237,0.596,0.615,0.929652073610583,NA,NA,NA,"CD8_Naive_T","week44"
"STIM2",1.48458982403068e-05,0.119850959135538,0.696,0.629,0.930986278649636,NA,NA,NA,"CD8_Naive_T","week44"
"TCP10L",1.50239127692777e-05,0.392310598348383,0.292,0.244,0.942149569761406,NA,NA,NA,"CD8_Naive_T","week44"
"RFT1",1.51420881069512e-05,0.14547313250899,0.147,0.122,0.949560345186912,NA,NA,NA,"CD8_Naive_T","week44"
"TRIM62",1.55938635887098e-05,0.135313752046703,0.141,0.115,0.977891185647993,NA,NA,NA,"CD8_Naive_T","week44"
"YPEL2",1.56985713720783e-05,-0.140478758500969,0.562,0.581,0.984457410743031,NA,NA,NA,"CD8_Naive_T","week44"
"JAK2",1.57781246639465e-05,0.196810996081168,0.389,0.332,0.989446197676084,NA,NA,NA,"CD8_Naive_T","week44"
"IL2RB",1.58629467072713e-05,0.358203173315637,0.18,0.142,0.994765388012982,NA,NA,NA,"CD8_Naive_T","week44"
"KLF2",1.59095645948325e-05,-0.368456777693352,0.167,0.208,0.997688795741948,NA,NA,NA,"CD8_Naive_T","week44"
"RPS5",1.60864035798566e-05,-0.190310901356022,0.338,0.364,1,NA,NA,NA,"CD8_Naive_T","week44"
"PDCD4",1.62519411433648e-05,-0.10688930220846,0.914,0.921,1,NA,NA,NA,"CD8_Naive_T","week44"
"GOLGB1",1.62827995699634e-05,-0.155571164215608,0.655,0.683,1,NA,NA,NA,"CD8_Naive_T","week44"
"ZUP1",1.6361719262703e-05,0.160615703751668,0.122,0.099,1,NA,NA,NA,"CD8_Naive_T","week44"
"RPL30",1.63651950918009e-05,-0.161761670493219,0.504,0.524,1,NA,NA,NA,"CD8_Naive_T","week44"
"SERBP1",1.65948155643705e-05,-0.161485286533417,0.549,0.568,1,NA,NA,NA,"CD8_Naive_T","week44"
"OCIAD1",1.68535790835225e-05,-0.235566062355124,0.4,0.44,1,NA,NA,NA,"CD8_Naive_T","week44"
"BRD9",1.70185448128219e-05,-0.110416787877562,0.341,0.338,1,NA,NA,NA,"CD8_Naive_T","week44"
