"set","timepoint","n_pseudobulk_sig","n_MAST_sig","n_shared"
"CD4_Naive_T","week12",3,1152,2
"CD4_Naive_T","week44",0,1373,0
"CD4_TCM","week12",2,1239,1
"CD4_TCM","week44",1,1372,0
"CD8_Naive_T","week12",4,728,2
"CD8_Naive_T","week44",2,555,1
"CD8_TCM_TEM","week12",0,1248,0
"CD8_TCM_TEM","week44",1,651,0
"Treg","week12",0,147,0
"Treg","week44",0,305,0
"gdT","week12",2,288,0
"gdT","week44",43,1114,35
"CD14_Mono_Infl","week12",60,417,33
"CD14_Mono_Infl","week44",0,429,0
"MAIT","week12",0,50,0
"MAIT","week44",1,82,1
"NK","week12",2,2008,0
"NK","week44",2,549,1
"B","week12",10,2253,3
"B","week44",10,797,3
"Plasmablast","week12",0,4,0
"Plasmablast","week44",0,1,0
"DC","week12",12,136,4
"DC","week44",14,51,6
