"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"OXR1",2.28831387787532e-55,7.70599055108405,0.568,0.343,1.43500163281561e-50,5,5,FALSE,"Treg","week44"
"UTY",3.33761599514636e-53,0.879613350963705,0.742,0.359,2.09301899055628e-48,4,5,FALSE,"Treg","week44"
"XIST",1.57846582474262e-46,-1.66580859333216,0.107,0.412,9.89855918696095e-42,4,4,FALSE,"Treg","week44"
"USP9Y",1.18855062244985e-44,1.18089419475818,0.618,0.268,7.45340095338303e-40,4,5,FALSE,"Treg","week44"
"IFI44L",3.99978343499879e-43,1.75544050864941,0.586,0.306,2.50826419208774e-38,5,5,FALSE,"Treg","week44"
"DDX60",5.54097818030534e-43,1.55501918360429,0.646,0.357,3.47474741686948e-38,5,5,FALSE,"Treg","week44"
"H4C8",3.034186616511e-41,4.2603656481516,0.228,0.023,1.90273842721405e-36,4,5,FALSE,"Treg","week44"
"JDP2",1.83891863502453e-39,6.12402123380621,0.175,0.005,1.15318587602388e-34,3,2,FALSE,"Treg","week44"
"XAF1",3.6909070963379e-37,1.32072230802343,0.66,0.396,2.3145678401135e-32,5,5,FALSE,"Treg","week44"
"LRRC52-AS1",4.82735601130101e-37,-9.68962251689547,0.003,0.148,3.02723495468686e-32,1,2,TRUE,"Treg","week44"
"ENSG00000232855",1.2191517778485e-36,2.70720288311474,0.374,0.17,7.64530079888796e-32,5,5,FALSE,"Treg","week44"
"BCL2",1.25750194424938e-36,1.06728336788408,0.901,0.774,7.88579469238786e-32,5,5,FALSE,"Treg","week44"
"PRKY",4.01501680060196e-36,1.2055684861318,0.602,0.294,2.51781703565749e-31,5,5,FALSE,"Treg","week44"
"RNU4-2",1.21164030786844e-33,1.52182526005232,0.805,0.588,7.59819637064301e-29,5,5,FALSE,"Treg","week44"
"STAT1",4.566425367722e-33,0.833309060495836,0.891,0.788,2.86360534809847e-28,5,5,FALSE,"Treg","week44"
"NEAT1",3.07942571573872e-32,-0.760137490864953,0.848,0.926,1.93110786633975e-27,5,5,FALSE,"Treg","week44"
"MBNL1",5.84795301373049e-32,0.61020772725539,0.995,0.986,3.66725133491039e-27,5,5,FALSE,"Treg","week44"
"ENSG00000267320",8.33989952493727e-32,-3.58178764410371,0.011,0.172,5.22995099208816e-27,1,4,TRUE,"Treg","week44"
"SAMD9L",1.428627016686e-31,1.46517606840886,0.577,0.323,8.9589200216379e-27,5,5,FALSE,"Treg","week44"
"RNU4-1",2.4025154089439e-30,2.21611664111465,0.391,0.157,1.50661741294872e-25,4,5,FALSE,"Treg","week44"
"APAF1",7.1207631909918e-30,-3.5460889385779,0.175,0.279,4.46543059707096e-25,5,5,FALSE,"Treg","week44"
"LINC02934",1.1277523103949e-29,6.51725044998899,0.13,0.015,7.07213473848642e-25,4,5,FALSE,"Treg","week44"
"EIF2AK2",1.45699103300236e-29,1.30417616479774,0.58,0.338,9.13679076795782e-25,5,5,FALSE,"Treg","week44"
"LINC00278",3.58853213111616e-29,2.33890592501851,0.257,0.059,2.25036849942294e-24,5,5,FALSE,"Treg","week44"
"TCP11L2",1.77255659001018e-28,-0.900426108992408,0.527,0.711,1.11157023759539e-23,5,5,FALSE,"Treg","week44"
"RSAD2",3.22179723067213e-28,1.81717777868388,0.365,0.141,2.02038904335449e-23,5,5,FALSE,"Treg","week44"
"ENSG00000289707",7.51152285997389e-28,0.205957734473223,0.559,0.328,4.71047598548963e-23,5,3,FALSE,"Treg","week44"
"CSMD1",2.30735459448591e-27,3.38423698916595,0.199,0.037,1.44694206620211e-22,5,5,FALSE,"Treg","week44"
"MT-RNR2",3.22141436466609e-27,-0.405272037213298,0.984,1,2.02014894808211e-22,5,5,FALSE,"Treg","week44"
"EDIL3",3.31477507326314e-27,5.38581987560338,0.115,0.002,2.07869544844332e-22,4,2,FALSE,"Treg","week44"
