"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"HIVEP2",7.49968475708517e-10,-0.10968165019107,0.942,0.931,4.70305231116811e-05,6,4,FALSE,"CD4_TCM","week44"
"ERAP2",7.69992734591706e-10,-0.188494563810175,0.515,0.509,4.82862443862459e-05,6,4,FALSE,"CD4_TCM","week44"
"CHTOP",7.7105074848358e-10,-0.198965774457563,0.239,0.231,4.83525924374053e-05,6,4,FALSE,"CD4_TCM","week44"
"RABGAP1",7.86310124482409e-10,-0.122324456876196,0.626,0.602,4.93095079062919e-05,6,4,FALSE,"CD4_TCM","week44"
"RAC2",7.90593762941669e-10,-0.159484458062058,0.377,0.375,4.95781348740721e-05,6,4,FALSE,"CD4_TCM","week44"
"DNM2",8.54026569608015e-10,-0.112088320852887,0.692,0.662,5.35560061801186e-05,6,4,FALSE,"CD4_TCM","week44"
"ENSA",8.5898660371277e-10,-0.177854901413584,0.417,0.41,5.38670499188278e-05,6,4,FALSE,"CD4_TCM","week44"
"RNGTT",8.78743698419982e-10,0.214957413576646,0.595,0.493,5.5106017327917e-05,6,4,FALSE,"CD4_TCM","week44"
"ABHD3",8.88370643242873e-10,-0.134966035272067,0.315,0.283,5.57097230377605e-05,6,4,FALSE,"CD4_TCM","week44"
"MBNL3",8.92537749455788e-10,0.354585969192035,0.203,0.144,5.59710422683724e-05,6,4,FALSE,"CD4_TCM","week44"
"BOD1L1",9.14467731504807e-10,-0.11460137932318,0.652,0.617,5.73462714426664e-05,6,4,FALSE,"CD4_TCM","week44"
"MOB1A",9.34328131547115e-10,-0.150677406635471,0.314,0.298,5.85917171293196e-05,6,4,FALSE,"CD4_TCM","week44"
"CASP7",9.67951460649913e-10,0.298872972123736,0.131,0.089,6.07002360973561e-05,6,4,FALSE,"CD4_TCM","week44"
"PTTG1IP",9.75896740626146e-10,-0.179995216238056,0.349,0.354,6.11984846046656e-05,6,4,FALSE,"CD4_TCM","week44"
"CDK6",9.84570511731251e-10,0.353301037158248,0.248,0.181,6.17424167906668e-05,6,4,FALSE,"CD4_TCM","week44"
"TAF7",1.01613498198957e-09,-0.307786456652133,0.214,0.228,6.3721824720566e-05,6,4,FALSE,"CD4_TCM","week44"
"EIF3E",1.01785750666828e-09,-0.163617503004939,0.452,0.432,6.38298442431681e-05,6,4,FALSE,"CD4_TCM","week44"
"CFLAR",1.05121005220229e-09,-0.100119527598527,0.801,0.777,6.59213823736059e-05,6,4,FALSE,"CD4_TCM","week44"
"GRAP",1.06591236480552e-09,-0.322368803221504,0.23,0.244,6.68433643969544e-05,6,4,FALSE,"CD4_TCM","week44"
"TMPO",1.10901612465229e-09,-0.105795351957315,0.441,0.408,6.95464011769451e-05,6,4,FALSE,"CD4_TCM","week44"
"RAI1",1.13024332407877e-09,-0.197929954438307,0.349,0.348,7.08775588529795e-05,6,4,FALSE,"CD4_TCM","week44"
"TUBGCP5",1.13877687849741e-09,0.418079291037411,0.139,0.092,7.14126980505727e-05,6,4,FALSE,"CD4_TCM","week44"
