Feature,Coefficient,OddsRatio,Layer
(Intercept),-1.2729656758128873,0.28,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CCR6+CXCR3+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CCR6+CXCR3-_CD161+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CCR6+CXCR3-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CCR6-CXCR3+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CCR6-CXCR3-_CCR4+_GP,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CCR6-CXCR3-_CCR4+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CCR6-CXCR3-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CD45RO+CD27+_CXCR5+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CD45RO+CD27+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CD45RO+CD27-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CD45RO-CD27+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_CD45RO-CD27-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_HLA-DR+CD38+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_IFNy_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_IL-17a_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_IL-21_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_IL-22_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_IL-2_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_PD-1_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD4_Proliferating_TNFa_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CCR6+CXCR3+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CCR6+CXCR3-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CCR6-CXCR3+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CCR6-CXCR3-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CD107a_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CD45RO+CD27+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CD45RO+CD27-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CD45RO-CD27+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_CD45RO-CD27-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_HLA-DR+CD38+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_IFNy_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_IL-17a_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_IL-21_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_IL-22_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_IL-2_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_PD-1_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR-_CD8_Proliferating_TNFa_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_CCR6+CXCR3+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_CCR6+CXCR3-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_CCR6-CXCR3+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_CCR6-CXCR3-_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_CD107a_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_HLA-DR+CD38+_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_IFNy_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_IL-17a_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_IL-21_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_IL-22_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_IL-2_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_PD-1_P,0,1,Flow_Infant_44wk_DosR
Inf44Flow_DosR_gdTCR_Proliferating_TNFa_P,0,1,Flow_Infant_44wk_DosR
