Contrast,Analyte,n_A,n_B,median_A,median_B,median_diff_AminusB,p_value,test,p_adj
MaternalIGRA_Pos_vs_Neg,CD14,17,13,14.307631535432273,14.432449793739833,-0.12481825830755966,0.9666168792948716,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,CD163,10,7,13.711965771707263,13.569296671206255,0.14266910050100812,0.8072501679320072,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,CD25,10,7,6.326217124691654,6.184355055251171,0.1418620694404833,0.8836174593813683,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,CRP,10,7,16.334486602708445,15.63388323328608,0.7006033694223657,0.5914437399020237,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,D-Dimer,10,7,15.376600073725077,15.522621492853705,-0.14602141912862798,0.5914437399020237,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,GM-CSF,17,13,0,0,0,0.809477320703073,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,ICAM-1,10,7,10.356608523273131,10.269171790632448,0.08743673264068264,0.9610826639451728,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IFN-a2,17,13,0,0,0,0.7769066573021863,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IFN-g,17,13,1.4816045409242156,1.0543120297715298,0.42729251115268574,0.24110059586378782,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,IL-10,17,13,0.5306282510621704,0.5538851132264376,-0.023256862164267256,0.7529937853748907,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IL-13,17,13,0,0,0,0.1505162381218664,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,IL-17A,17,13,0.6931471805599453,1.0224509277025458,-0.32930374714260047,0.30600662010094765,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,IL-18,10,7,6.216081857321357,6.03572063836252,0.18036121895883728,0.9610826639451728,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IL-1RA,17,13,6.118933852353786,6.015376367154295,0.1035574851994907,0.5030949436026939,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IL-1a,17,13,4.078892457663179,3.7553691953827695,0.3235232622804096,0.11650463888468832,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,IL-1b,17,13,0.20701416938432615,0,0.20701416938432615,0.31408011697165555,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,IL-2,17,13,0.2851789422336624,0,0.2851789422336624,0.8944958260672236,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IL-22,17,13,0,0,0,0.4195470302522532,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IL-27,10,7,8.018411343414776,7.685703061234547,0.33270828218022874,0.8451583160845595,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IL-4,17,13,0,0,0,0.7499767690919494,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IL-5,17,13,0,0,0,0.6628452915322323,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IL-6,17,13,0.7323678937132266,0.6043159668533296,0.12805192685989708,0.07135062015971735,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,IL-8,17,13,2.5289235352047745,2.4756977107026907,0.053225824502083796,0.769550997768075,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,IP-10,17,13,4.7730546949842765,4.623010104116422,0.1500445908678545,0.22486199988483282,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,LBP,17,13,16.6569713860658,16.556492829836273,0.1004785562295254,0.19449211365973554,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,MCP-1,17,13,4.575844356606263,4.323867720500349,0.2519766361059137,0.2584773647759016,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,MMP-9,10,7,13.26182154282208,12.938644845294574,0.3231766975275061,0.2617412461903567,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,Neopterin,17,13,2.635551190285971,2.4316816663284557,0.20386952395751523,0.20927824457556052,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,TNF-RI,10,7,7.179379420191274,7.163946684342547,0.015432735848726509,0.8072501679320072,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,TNF-RII,10,7,8.222961888767056,8.014335737299424,0.20862615146763197,0.7695606907748619,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,TNFa,17,13,2.1529243184396396,2.172476407647025,-0.019552089207385492,0.8178885862859564,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,TNFb,17,13,1.1505720275988207,1.5602476682433286,-0.4096756406445079,0.16053246978825636,wilcox_unpaired,0.8898936647530241
MaternalIGRA_Pos_vs_Neg,VCAM-1,10,7,13.367255405582712,13.230435413565509,0.13681999201720352,0.5258621886847662,wilcox_unpaired,0.9666168792948716
MaternalIGRA_Pos_vs_Neg,iFABP,10,7,9.167701016151774,9.082166033252674,0.08553498289909989,0.8072501679320072,wilcox_unpaired,0.9666168792948716
