Feature,Coefficient,OddsRatio,Layer
(Intercept),-1.5695836972671469,0.20813181016543822,Plasma_Infant_12wk
Inf12Plasma_CD14,0,1,Plasma_Infant_12wk
Inf12Plasma_CD163,0,1,Plasma_Infant_12wk
Inf12Plasma_CD25,0,1,Plasma_Infant_12wk
Inf12Plasma_CRP,0,1,Plasma_Infant_12wk
Inf12Plasma_D-Dimer,0,1,Plasma_Infant_12wk
Inf12Plasma_GM-CSF,0,1,Plasma_Infant_12wk
Inf12Plasma_ICAM-1,0,1,Plasma_Infant_12wk
Inf12Plasma_iFABP,0,1,Plasma_Infant_12wk
Inf12Plasma_IFN-a2,0,1,Plasma_Infant_12wk
Inf12Plasma_IFN-g,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-10,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-13,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-17A,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-18,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-1a,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-1b,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-1RA,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-2,0.05532070413210339,1.056879505955368,Plasma_Infant_12wk
Inf12Plasma_IL-22,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-27,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-4,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-5,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-6,0,1,Plasma_Infant_12wk
Inf12Plasma_IL-8,0,1,Plasma_Infant_12wk
Inf12Plasma_IP-10,0,1,Plasma_Infant_12wk
Inf12Plasma_LBP,0,1,Plasma_Infant_12wk
Inf12Plasma_MCP-1,0,1,Plasma_Infant_12wk
Inf12Plasma_MMP-9,0,1,Plasma_Infant_12wk
Inf12Plasma_Neopterin,0,1,Plasma_Infant_12wk
Inf12Plasma_TNFa,0,1,Plasma_Infant_12wk
Inf12Plasma_TNFb,0,1,Plasma_Infant_12wk
Inf12Plasma_TNF-RI,0,1,Plasma_Infant_12wk
Inf12Plasma_VCAM-1,0,1,Plasma_Infant_12wk
