Feature,Coefficient,OddsRatio,Layer
(Intercept),-1.2729656758128873,0.28,Plasma_Maternal_Entry
MatPlasma_CD14,0,1,Plasma_Maternal_Entry
MatPlasma_CD163,0,1,Plasma_Maternal_Entry
MatPlasma_CD25,0,1,Plasma_Maternal_Entry
MatPlasma_CRP,0,1,Plasma_Maternal_Entry
MatPlasma_D-Dimer,0,1,Plasma_Maternal_Entry
MatPlasma_GM-CSF,0,1,Plasma_Maternal_Entry
MatPlasma_ICAM-1,0,1,Plasma_Maternal_Entry
MatPlasma_iFABP,0,1,Plasma_Maternal_Entry
MatPlasma_IFN-a2,0,1,Plasma_Maternal_Entry
MatPlasma_IFN-g,0,1,Plasma_Maternal_Entry
MatPlasma_IL-10,0,1,Plasma_Maternal_Entry
MatPlasma_IL-13,0,1,Plasma_Maternal_Entry
MatPlasma_IL-17A,0,1,Plasma_Maternal_Entry
MatPlasma_IL-18,0,1,Plasma_Maternal_Entry
MatPlasma_IL-1a,0,1,Plasma_Maternal_Entry
MatPlasma_IL-1b,0,1,Plasma_Maternal_Entry
MatPlasma_IL-1RA,0,1,Plasma_Maternal_Entry
MatPlasma_IL-2,0,1,Plasma_Maternal_Entry
MatPlasma_IL-22,0,1,Plasma_Maternal_Entry
MatPlasma_IL-27,0,1,Plasma_Maternal_Entry
MatPlasma_IL-4,0,1,Plasma_Maternal_Entry
MatPlasma_IL-5,0,1,Plasma_Maternal_Entry
MatPlasma_IL-6,0,1,Plasma_Maternal_Entry
MatPlasma_IL-8,0,1,Plasma_Maternal_Entry
MatPlasma_IP-10,0,1,Plasma_Maternal_Entry
MatPlasma_LBP,0,1,Plasma_Maternal_Entry
MatPlasma_MCP-1,0,1,Plasma_Maternal_Entry
MatPlasma_MMP-9,0,1,Plasma_Maternal_Entry
MatPlasma_Neopterin,0,1,Plasma_Maternal_Entry
MatPlasma_TNFa,0,1,Plasma_Maternal_Entry
MatPlasma_TNFb,0,1,Plasma_Maternal_Entry
MatPlasma_TNF-RI,0,1,Plasma_Maternal_Entry
MatPlasma_TNF-RII,0,1,Plasma_Maternal_Entry
MatPlasma_VCAM-1,0,1,Plasma_Maternal_Entry
