Readout,Group,Condition,Compartment,n_pairs,median_Prolif,median_NonProlif,median_diff_pp,wilcox_stat,p_value,effect_rbc,p_adj
CCR6+ CXCR3+,Infants 12wks,BCG,CD4,35,10.624636528406201,2.809676675933338,9.509968978196875,623,4.7390708924719726e-7,0.011111111111111072,4.4963793018363316e-6
CCR6+ CXCR3+,Infants 12wks,BCG,CD8,35,15.9,1.83,13.649999999999999,623,4.7390708924719726e-7,0.011111111111111072,4.4963793018363316e-6
CCR6+ CXCR3+,Infants 12wks,BCG,gdTCR,35,49.949999999999996,38.81270253131419,6.817544611775027,499,0.0026508118801047767,0.20793650793650797,0.003976217820157165
CCR6+ CXCR3+,Infants 12wks,DosR,CD4,34,10.097312433789458,1.682043462675824,8.127424587347189,595,3.8191520023814874e-7,0,4.4963793018363316e-6
CCR6+ CXCR3+,Infants 12wks,DosR,CD8,34,14.8,1.085,13.655,592,4.995977002040369e-7,0.005042016806722671,4.4963793018363316e-6
CCR6+ CXCR3+,Infants 12wks,DosR,gdTCR,34,57.88984974275195,43.43487048777301,14.631537116296869,505,4.01580002285049e-4,0.1512605042016807,6.571309128300802e-4
CCR6+ CXCR3+,Infants 44wks,BCG,CD4,34,11.314808079273678,2.119972217122869,9.535839931046208,578,1.6927240059221892e-6,0.02857142857142858,7.617258026649851e-6
CCR6+ CXCR3+,Infants 44wks,BCG,CD8,34,13.350000000000001,0.9,10.435,578,1.6927240059221892e-6,0.02857142857142858,7.617258026649851e-6
CCR6+ CXCR3+,Infants 44wks,BCG,gdTCR,34,51.5308151536002,37.440607419713004,14.090207733887201,544,2.602261359206655e-5,0.08571428571428574,5.510671113614093e-5
CCR6+ CXCR3+,Infants 44wks,DosR,CD4,32,9.87797541865608,0.9299999999999999,8.419380925677178,512,3.692361180442021e-6,0.030303030303030276,1.208409113599207e-5
CCR6+ CXCR3+,Infants 44wks,DosR,CD8,32,12.600000000000001,0.6599999999999999,9.605,473,1.0853839885207847e-5,0.10416666666666663,3.256151965562354e-5
CCR6+ CXCR3+,Infants 44wks,DosR,gdTCR,32,60.19896551724138,42.76565225583012,17.32452348388201,491,2.2823675511999278e-5,0.07007575757575757,5.1353269901998376e-5
CCR6+ CXCR3+,Mothers Dx,BCG,CD4,3,26.601439289701684,3.997318824938729,20.2525665477249,6,0.1814492077214203,0,0.20413035868659785
CCR6+ CXCR3+,Mothers Dx,BCG,CD8,3,6.39,2.49,3.46,6,0.1814492077214203,0,0.20413035868659785
CCR6+ CXCR3+,Mothers Dx,BCG,gdTCR,3,59.38213117983061,36.10148545492056,17.289914062670377,6,0.1814492077214203,0,0.20413035868659785
CCR6+ CXCR3+,Mothers Dx,DosR,CD4,6,5.462938319515471,1.481254978127886,4.336957535466331,17,0.20841280368414858,0.19047619047619047,0.22067238037145143
CCR6+ CXCR3+,Mothers Dx,DosR,CD8,6,7.84,2.395,3.125,14,0.5293681061847979,0.33333333333333337,0.5293681061847979
CCR6+ CXCR3+,Mothers Dx,DosR,gdTCR,6,52.203225272809235,35.12841504972893,16.35803727831382,20,0.05917206782585943,0.04761904761904767,0.07345498074934274
CCR6+ CXCR3+,Mothers Dx,E6C10,CD4,6,12.329119785178744,1.763511837088514,6.936132227170396,21,0.036031686218233556,0,0.05188562815425632
CCR6+ CXCR3+,Mothers Dx,E6C10,CD8,6,9.205,2.3949999999999996,2.33,17,0.20841280368414858,0.19047619047619047,0.22067238037145143
CCR6+ CXCR3+,Mothers Dx,E6C10,gdTCR,6,61.30679883811479,39.79669092385046,20.08378429615453,20,0.05917206782585943,0.04761904761904767,0.07345498074934274
CCR6+ CXCR3+,Mothers Dx,GAG,CD4,5,8.483557847244606,1.7343400894183487,5.67632218588245,15,0.059058229090536735,0,0.07345498074934274
CCR6+ CXCR3+,Mothers Dx,GAG,CD8,5,4.61,2.56,1.95,11,0.41849223344681974,0.2666666666666667,0.43044915440244313
CCR6+ CXCR3+,Mothers Dx,GAG,gdTCR,5,70.67830095488969,44.13288718929253,25.66337077654994,15,0.059058229090536735,0,0.07345498074934274
CCR6+ CXCR3+,Mothers Entry,BCG,CD4,18,10.49284644516224,1.5701651901490679,9.331142985212827,171,2.1409202584601812e-4,0,3.6701490145031677e-4
CCR6+ CXCR3+,Mothers Entry,BCG,CD8,18,11.6,2.625,9.235,171,2.1409202584601812e-4,0,3.6701490145031677e-4
CCR6+ CXCR3+,Mothers Entry,BCG,gdTCR,18,51.19322687168456,29.655538285687506,21.883350009813007,163,7.98317767497783e-4,0.04678362573099415,0.0012495408534747908
CCR6+ CXCR3+,Mothers Entry,DosR,CD4,29,8.740071261404314,1.0115744303402108,7.685043619400096,434,3.0030449393951785e-6,0.0022988505747126853,1.0810961781822642e-5
CCR6+ CXCR3+,Mothers Entry,DosR,CD8,29,14.6,1.88,12.34,414,2.2537176213361276e-5,0.0482758620689655,5.1353269901998376e-5
CCR6+ CXCR3+,Mothers Entry,DosR,gdTCR,29,60.33563871168507,32.25490334735852,29.041456747411367,435,2.7023691404779837e-6,0,1.0809476561911935e-5
CCR6+ CXCR3+,Mothers Entry,E6C10,CD4,31,8.055022363110318,0.9,7.290751110095171,495,1.3615754282698416e-6,0.0020161290322581182,7.617258026649851e-6
CCR6+ CXCR3+,Mothers Entry,E6C10,CD8,31,5.72,1.78,3.6399999999999997,458,4.0348285049536906e-5,0.0766129032258065,8.069657009907381e-5
CCR6+ CXCR3+,Mothers Entry,E6C10,gdTCR,31,58.52768313755171,36.50356911096691,24.51041812786707,496,1.2337131658718613e-6,0,7.617258026649851e-6
CCR6+ CXCR3+,Mothers Entry,GAG,CD4,24,9.280651487797694,0.9484294596027334,8.148285060768568,300,1.94224739173131e-5,0,5.1353269901998376e-5
CCR6+ CXCR3+,Mothers Entry,GAG,CD8,24,6.915,2.14,5.26,282,1.7186439379663273e-4,0.06000000000000005,3.256377987725673e-4
CCR6+ CXCR3+,Mothers Entry,GAG,gdTCR,24,65.91859951530556,41.07108973434906,20.377368848852733,299,2.206919308346755e-5,0.0033333333333332993,5.1353269901998376e-5
